Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,NodeDAO,2,1,0,27,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,NodeDAO,13,3,1,33,0,neu.mapreduce.autodiscovery.NodeDAO,neu.mapreduce.autodiscovery.NodeDAO
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,NodeDAO,5,1,3,50,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,registerIPPorts,10,1,1,63,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,registerThisNode,7,1,0,77,0,neu.mapreduce.autodiscovery.NodeDAO,neu.mapreduce.autodiscovery.NodeDAO
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,getIp,3,1,0,90,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,setIp,3,1,1,99,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,getFileTransferPort,3,1,0,108,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,setFileTransferPort,3,1,1,117,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,getMessagingServicePort,3,1,0,126,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,setMessagingServicePort,3,1,1,135,0,,
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeRegistration,truncateRegistry,5,2,0,33,0,neu.mapreduce.autodiscovery.NodeRegistration,neu.mapreduce.autodiscovery.NodeRegistration
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeRegistration,register,3,1,1,46,0,neu.mapreduce.autodiscovery.NodeRegistration,neu.mapreduce.autodiscovery.NodeRegistration
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeRegistration,sendRequest,5,1,2,57,0,neu.mapreduce.autodiscovery.NodeRegistration,neu.mapreduce.autodiscovery.NodeRegistration
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeRegistration,getConnection,6,1,0,76,0,,
