Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeDAO,11,7,11,10,116,13,0,0,0.18181818181818182,2,2,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\autodiscovery\NodeDAO.java,7
mit09_my-mapreduce,neu.mapreduce.autodiscovery,NodeRegistration,11,11,10,8,146,17,0,0,0.3,3,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\autodiscovery\NodeRegistration.java,19
mit09_my-mapreduce,neu.mapreduce.autodiscovery,PortUtility,4,1,2,1,45,4,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\autodiscovery\PortUtility.java,12
mit09_my-mapreduce,neu.mapreduce.core.combiner,CombinerRun,2,0,1,1,27,1,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\combiner\CombinerRun.java,14
mit09_my-mapreduce,neu.mapreduce.core.factory,CombinerFactory,2,0,4,4,54,4,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\factory\CombinerFactory.java,16
mit09_my-mapreduce,neu.mapreduce.core.factory,JobConfFactory,2,0,4,4,56,4,0,0,0.0,2,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\factory\JobConfFactory.java,16
mit09_my-mapreduce,neu.mapreduce.core.factory,MapFactory,2,0,4,4,54,4,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\factory\MapFactory.java,16
mit09_my-mapreduce,neu.mapreduce.core.factory,ReducerFactory,2,0,4,4,53,4,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\factory\ReducerFactory.java,13
mit09_my-mapreduce,neu.mapreduce.core.factory,WriteComparableFactory,3,0,4,4,52,4,0,0,0.5,5,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\factory\WriteComparableFactory.java,12
mit09_my-mapreduce,neu.mapreduce.core.mapper,MapRun,1,0,1,1,54,2,0,0,0.0,0,3,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\mapper\MapRun.java,19
mit09_my-mapreduce,neu.mapreduce.core.reducer,ReduceRun,1,0,3,1,97,6,0,0,0.0,0,3,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\reducer\ReduceRun.java,16
mit09_my-mapreduce,neu.mapreduce.core.shuffle,ShuffleRun,9,5,5,1,133,11,0,0,0.0,2,2,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\shuffle\ShuffleRun.java,19
mit09_my-mapreduce,neu.mapreduce.core.sort,ExternalSort,3,1,6,5,136,18,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\core\sort\ExternalSort.java,14
mit09_my-mapreduce,neu.mapreduce.io.fileSplitter,ObjectSizeFetcher,1,0,2,2,9,2,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\fileSplitter\ObjectSizeFetcher.java,9
mit09_my-mapreduce,neu.mapreduce.io.fileSplitter,SplitFile,4,2,3,3,72,8,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\fileSplitter\SplitFile.java,10
mit09_my-mapreduce,neu.mapreduce.io.sockets,ClientRunner,0,0,1,1,13,1,0,0,-1.0,0,2,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\ClientRunner.java,6
mit09_my-mapreduce,neu.mapreduce.io.sockets,ConnectionTypes,0,0,0,0,4,0,0,0,-1.0,3,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\ConnectionTypes.java,7
mit09_my-mapreduce,neu.mapreduce.io.sockets,Constants,8,8,0,0,13,0,0,0,-1.0,4,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\Constants.java,3
mit09_my-mapreduce,neu.mapreduce.io.sockets,IOCommons,0,0,6,6,87,10,0,0,-1.0,6,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\IOCommons.java,10
mit09_my-mapreduce,neu.mapreduce.io.sockets,Job,3,0,6,6,28,6,0,0,0.0,1,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\Job.java,6
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterRunner,7,0,4,4,74,5,0,0,0.0,1,4,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\MasterRunner.java,16
mit09_my-mapreduce,neu.mapreduce.io.sockets,MasterScheduler,16,5,20,2,348,45,0,0,0.1,2,7,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\MasterScheduler.java,21
mit09_my-mapreduce,neu.mapreduce.io.sockets,Message,16,16,0,0,21,0,0,0,-1.0,2,0,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\Message.java,3
mit09_my-mapreduce,neu.mapreduce.io.sockets,SlaveListener,19,15,16,3,271,31,0,0,0.0,3,9,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\SlaveListener.java,16
mit09_my-mapreduce,neu.mapreduce.io.sockets,SlaveMapRunThread,6,0,2,2,33,2,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\SlaveMapRunThread.java,13
mit09_my-mapreduce,neu.mapreduce.io.sockets,SlaveReduceRunThread,4,2,4,4,48,5,0,0,0.5,1,3,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\SlaveReduceRunThread.java,16
mit09_my-mapreduce,neu.mapreduce.io.sockets,SlaveToSlaveFileTransferThread,2,1,2,2,37,3,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\mit09_my-mapreduce\src\main\java\neu\mapreduce\io\sockets\SlaveToSlaveFileTransferThread.java,15
