Project Name,Package Name,Architecture Smell,Cause of the Smell
mk12_mycraft,org.lwjgl.openal,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AL10; AL; ALC10; ALC11; ALCcontext; ALCdevice; EFXUtil; OpenALException; Util; EFX10; AL11; EFX10]; [AL10]; [AL11]. LCC (Lack of Component Cohesion) = 0.21
mk12_mycraft,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.42. All the dependencies among components: from: org.lwjgl.openal to: org.lwjgl; from: org.lwjgl.opencl to: org.lwjgl.opengl; from: org.lwjgl.opencl to: org.lwjgl; from: org.lwjgl.opencl to: org.lwjgl.opencl.api; from: org.lwjgl.opengl to: org.lwjgl; from: org.lwjgl.opengl to: org.lwjgl.input; from: org.lwjgl.opengl to: org.lwjgl.opencl; from: org.lwjgl.opengl to: org.lwjgl.opengles; from: org.lwjgl.opengl to: org.lwjgl.util.generator; from: org.lwjgl.opengles to: org.lwjgl; from: org.lwjgl.opengles to: org.lwjgl.util.generator; from: org.lwjgl to: org.lwjgl.input; from: org.lwjgl to: org.lwjgl.opengl; from: org.lwjgl.examples to: org.lwjgl.input; from: org.lwjgl.examples to: org.lwjgl; from: org.lwjgl.examples to: org.lwjgl.opengl; from: org.lwjgl.examples to: org.lwjgl.openal; from: org.lwjgl.examples.spaceinvaders to: org.lwjgl.opengl; from: org.lwjgl.examples.spaceinvaders to: org.lwjgl.input; from: org.lwjgl.examples.spaceinvaders to: org.lwjgl; from: org.lwjgl.examples.spaceinvaders to: org.lwjgl.util; from: org.lwjgl.examples.spaceinvaders to: org.lwjgl.openal; from: org.lwjgl.input to: org.lwjgl; from: org.lwjgl.input to: org.lwjgl.opengl; from: org.lwjgl.test.applet to: org.lwjgl.input; from: org.lwjgl.test.applet to: org.lwjgl.opengl; from: org.lwjgl.test.applet to: org.lwjgl; from: org.lwjgl.test.applet to: org.lwjgl.util; from: org.lwjgl.test.applet to: org.lwjgl.openal; from: org.lwjgl.test to: org.lwjgl.opengl; from: org.lwjgl.test to: org.lwjgl; from: org.lwjgl.test to: org.lwjgl.util; from: org.lwjgl.test to: org.lwjgl.input; from: org.lwjgl.test.glu.tessellation to: org.lwjgl.util.glu; from: org.lwjgl.test.glu.tessellation to: org.lwjgl.opengl; from: org.lwjgl.test.input to: org.lwjgl.input; from: org.lwjgl.test.input to: org.lwjgl.opengl; from: org.lwjgl.test.input to: org.lwjgl.util; from: org.lwjgl.test.input to: org.lwjgl.util.vector; from: org.lwjgl.test.input to: org.lwjgl; from: org.lwjgl.test.mapped to: org.lwjgl; from: org.lwjgl.test.mapped to: org.lwjgl.util.mapped; from: org.lwjgl.test.mapped to: org.lwjgl.opengl; from: org.lwjgl.test.openal to: org.lwjgl.openal; from: org.lwjgl.test.openal to: org.lwjgl; from: org.lwjgl.test.openal to: org.lwjgl.opengl; from: org.lwjgl.test.openal to: org.lwjgl.util; from: org.lwjgl.test.openal to: org.lwjgl.util.vector; from: org.lwjgl.test.openal to: org.lwjgl.input; from: org.lwjgl.test.opencl.gl to: org.lwjgl.opencl; from: org.lwjgl.test.opencl.gl to: org.lwjgl; from: org.lwjgl.test.opencl.gl to: org.lwjgl.opengl; from: org.lwjgl.test.opencl.gl to: org.lwjgl.opencl.api; from: org.lwjgl.test.opencl.gl to: org.lwjgl.util; from: org.lwjgl.test.opencl.gl to: org.lwjgl.input; from: org.lwjgl.test.opencl to: org.lwjgl; from: org.lwjgl.test.opencl to: org.lwjgl.opencl; from: org.lwjgl.test.opengl.awt to: org.lwjgl; from: org.lwjgl.test.opengl.awt to: org.lwjgl.opengl; from: org.lwjgl.test.opengl.awt to: org.lwjgl.input; from: org.lwjgl.test.opengl to: org.lwjgl.opengl; from: org.lwjgl.test.opengl to: org.lwjgl.util.vector; from: org.lwjgl.test.opengl to: org.lwjgl.input; from: org.lwjgl.test.opengl to: org.lwjgl; from: org.lwjgl.test.opengl.multithread to: org.lwjgl.opengl; from: org.lwjgl.test.opengl.multithread to: org.lwjgl.util; from: org.lwjgl.test.opengl.multithread to: org.lwjgl; from: org.lwjgl.test.opengl.multithread to: org.lwjgl.util.glu; from: org.lwjgl.test.opengl.multithread to: org.lwjgl.input; from: org.lwjgl.test.opengl.pbuffers to: org.lwjgl.opengl; from: org.lwjgl.test.opengl.pbuffers to: org.lwjgl.util.vector; from: org.lwjgl.test.opengl.pbuffers to: org.lwjgl.input; from: org.lwjgl.test.opengl.pbuffers to: org.lwjgl; from: org.lwjgl.test.opengl.shaders to: org.lwjgl.opengl; from: org.lwjgl.test.opengl.shaders to: org.lwjgl.util.glu; from: org.lwjgl.test.opengl.shaders to: org.lwjgl.input; from: org.lwjgl.test.opengl.shaders to: org.lwjgl; from: org.lwjgl.test.opengl.sprites to: org.lwjgl.opengl; from: org.lwjgl.test.opengl.sprites to: org.lwjgl.input; from: org.lwjgl.test.opengl.sprites to: org.lwjgl; from: org.lwjgl.test.opengl.sprites to: org.lwjgl.opencl; from: org.lwjgl.test.opengl.sprites to: org.lwjgl.opencl.api; from: org.lwjgl.test.opengl.sprites to: org.lwjgl.util.mapped; from: org.lwjgl.test.opengles to: org.lwjgl.opengl; from: org.lwjgl.test.opengles to: org.lwjgl.util.vector; from: org.lwjgl.test.opengles to: org.lwjgl.input; from: org.lwjgl.test.opengles to: org.lwjgl; from: org.lwjgl.test.opengles to: org.lwjgl.test.opengles.util; from: org.lwjgl.test.opengles.util to: org.lwjgl.util.vector; from: org.lwjgl.test.opengles.util to: org.lwjgl; from: org.lwjgl.util to: org.lwjgl.opengl; from: org.lwjgl.util to: org.lwjgl; from: org.lwjgl.util to: org.lwjgl.openal; from: org.lwjgl.util.generator to: org.lwjgl; from: org.lwjgl.util.generator.openal to: org.lwjgl.util.generator; from: org.lwjgl.util.generator.opengl to: org.lwjgl.util.generator; from: org.lwjgl.util.glu to: org.lwjgl; from: org.lwjgl.util.glu.tessellation to: org.lwjgl.util.glu; from: org.lwjgl.util.jinput to: org.lwjgl.input; from: org.lwjgl.util.mapped to: org.lwjgl; from: com.mitchellkember.mycraft to: org.lwjgl.input; from: com.mitchellkember.mycraft to: org.lwjgl.opengl; from: com.mitchellkember.mycraft to: org.lwjgl.
mk12_mycraft,org.lwjgl.opencl,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 107
mk12_mycraft,org.lwjgl.opencl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AMDDeviceAttributeQuery]; [AMDDeviceMemoryFlags]; [AMDOfflineDevices]; [APPLEContextLoggingFunctions; CLCapabilities; CLDeviceCapabilities; CLPlatformCapabilities; EXTDeviceFission; EXTMigrateMemobject; KHRGLEvent; KHRGLSharing; KHRICD; APIUtil; APPLEContextLoggingUtil; CL; CLCommandQueue; CLContext; CLContextCallback; CLDevice; CLEvent; CLEventCallback; CLKernel; CLMem; CLObject; CLObjectChild; CLObjectRegistry; CLObjectRetainable; CLPlatform; CLProgram; CLSampler; FastLongMap; InfoUtil; InfoUtilAbstract; InfoUtilFactory; InfoUtilFactory.CLContextUtil; InfoUtilFactory.CLDeviceUtil; InfoUtilFactory.CLEventUtil; InfoUtilFactory.CLKernelUtil; InfoUtilFactory.CLMemUtil; InfoUtilFactory.CLPlatformUtil; InfoUtilFactory.CLProgramUtil; APPLE_gl_sharing; APPLE_SetMemObjectDestructor; CL10; CL10GL; CL11; EXT_device_fission; EXT_migrate_memobject; KHR_gl_event; APPLEGLSharing; CL10; CL10GL; CL11; CallbackUtil; CLBuildProgramCallback; CLChecks; CLFunctionAddress; CLMemObjectDestructorCallback; CLNativeKernel; Util; APPLESetMemObjectDestructor; CLContext.CLContextUtil; CLEvent.CLEventUtil; CLKernel.CLKernelUtil; CLMem.CLMemUtil; CLPlatform.CLPlatformUtil; CLProgram.CLProgramUtil]; [EXTAtomicCounters32]; [EXTAtomicCounters64]; [INTELImmediateExecution]; [KHRFp16]; [KHRFp64]; [NVDeviceAttributeQuery]; [APIUtil.Buffers]; [APIUtil.ObjectDestructor]; [FastLongMap.EntryIterator]; [FastLongMap.Entry]; [OpenCLException]; [AMD_device_attribute_query]; [AMD_device_memory_flags]; [AMD_fp64]; [AMD_media_ops]; [AMD_offline_devices]; [AMD_popcnt]; [AMD_printf]; [AMD_vec3]; [APPLE_ContextLoggingFunctions]; [EXT_atomic_counters_32]; [EXT_atomic_counters_64]; [INTEL_immediate_execution]; [KHR_3d_image_writes]; [KHR_byte_addressable_store]; [KHR_d3d10_sharing]; [KHR_fp16]; [KHR_fp64]; [KHR_global_int32_base_atomics]; [KHR_global_int32_extended_atomics]; [KHR_gl_sharing]; [KHR_icd]; [KHR_int64_base_atomics]; [KHR_int64_extended_atomics]; [KHR_local_int32_base_atomics]; [KHR_local_int32_extended_atomics]; [KHR_select_fprounding_mode]; [NV_compiler_options]; [NV_device_attribute_query]; [NV_pragma_unroll]. LCC (Lack of Component Cohesion) = 0.41
mk12_mycraft,org.lwjgl.opencl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.lwjgl.opencl; org.lwjgl.opengl; org.lwjgl.opencl
mk12_mycraft,org.lwjgl.opengl,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 672
mk12_mycraft,org.lwjgl.opengl,God Component,The tool detected the smell in this component because the component contains high number of LOC (Lines Of Code). The total LOC of the component: 44310
mk12_mycraft,org.lwjgl.opengl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.lwjgl.opencl; org.lwjgl.opengles
mk12_mycraft,org.lwjgl.opengl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AMDBlendMinmaxFactor]; [AMDDebugOutput; ContextCapabilities; EXTBindableUniform; EXTBlendColor; EXTBlendEquationSeparate; EXTBlendFuncSeparate; EXTBlendMinmax; EXTCompiledVertexArray; EXTDepthBoundsTest; EXTDirectStateAccess; EXTDrawBuffers2; EXTDrawInstanced; EXTDrawRangeElements; EXTFogCoord; EXTFramebufferBlit; EXTFramebufferMultisample; EXTFramebufferObject; EXTGeometryShader4; EXTGpuProgramParameters; EXTGpuShader4; EXTMultiDrawArrays; EXTPalettedTexture; EXTPointParameters; EXTProvokingVertex; EXTSecondaryColor; EXTSeparateShaderObjects; EXTShaderImageLoadStore; EXTStencilClearTag; EXTStencilTwoSide; EXTTextureArray; EXTTextureBufferObject; EXTTextureInteger; EXTTimerQuery; EXTTransformFeedback; EXTVertexAttrib64bit; EXTVertexShader; EXTVertexWeighting; GL11; GL12; GL13; GL14; GL15; GL20; GL21; GL30; GL31; GL32; GL33; GL40; GL41; GL42; GREMEDYStringMarker; NVConditionalRender; NVCopyImage; NVDepthBufferFloat; NVEvaluators; NVExplicitMultisample; NVFence; NVFragmentProgram; NVFramebufferMultisampleCoverage; NVGeometryProgram4; NVGpuProgram4; NVGpuShader5; NVHalfFloat; NVOcclusionQuery; NVParameterBufferObject; NVPathRendering; NVPixelDataRange; NVPointSprite; NVPresentVideo; NVPrimitiveRestart; NVProgram; NVRegisterCombiners; NVRegisterCombiners2; NVShaderBufferLoad; NVTextureBarrier; NVTextureMultisample; NVTransformFeedback; NVTransformFeedback2; NVVertexArrayRange; NVVertexAttribInteger64bit; NVVertexBufferUnifiedMemory; NVVertexProgram; NVVideoCapture; References; AMDDebugOutputCallback; APIUtil; BaseReferences; CallbackUtil; ContextGL; ContextImplementation; DrawableGL; DrawableLWJGL; GLChecks; GLContext; GLContext.CapabilitiesCacheEntry; GlobalLock; GLSync; LinuxCanvasImplementation; LinuxContextImplementation; LinuxDisplay; LinuxDisplayPeerInfo; LinuxEvent; LinuxKeyboard; LinuxKeycodes; LinuxMouse; LinuxPbufferPeerInfo; LinuxPeerInfo; MacOSXContextImplementation; MacOSXDisplay; MacOSXFrame; MacOSXGLCanvas; MacOSXMouseEventQueue; MouseEventQueue; NVPresentVideoUtil; NVVideoCaptureUtil; Pbuffer; PeerInfo; PixelFormat; PixelFormatLWJGL; ReferencesStack; RenderTexture; SharedDrawable; StateTracker; Util; WindowsAWTGLCanvasPeerInfo; WindowsCanvasImplementation; WindowsContextImplementation; WindowsDisplay; WindowsDisplayPeerInfo; WindowsFileVersion; WindowsKeyboard; WindowsKeycodes; WindowsMouse; WindowsPbufferPeerInfo; WindowsPeerInfo; WindowsRegistry; XRandR; AMD_debug_output; ARB_blend_func_extended; ARB_cl_event; ARB_gpu_shader_fp64; ARB_shader_subroutine; ARB_sync; ARB_tessellation_shader; ARB_vertex_type_2_10_10_10_rev; GL15; GL30; GL32; GL33; GL40; NV_gpu_shader5; NV_shader_buffer_store; AMDDrawBuffersBlend; AMDMultiDrawIndirect; AMDNameGenDelete; AMDPerformanceMonitor; AMDSamplePositions; AMDVertexShaderTessellator; APPLEElementArray; APPLEFence; APPLEFlushBufferRange; APPLEObjectPurgeable; APPLETextureRange; APPLEVertexArrayObject; APPLEVertexArrayRange; APPLEVertexProgramEvaluators; ARBBaseInstance; ARBBlendFuncExtended; ARBBufferObject; ARBPixelBufferObject; ARBVertexBufferObject; EXTPixelBufferObject; ARBCLEvent; ARBColorBufferFloat; ARBCopyBuffer; ARBDebugOutput; ARBDebugOutputCallback; ARB_debug_output; ARBDrawBuffers; ARBDrawBuffersBlend; ARBDrawElementsBaseVertex; ARBDrawIndirect; ARBDrawInstanced; ARBES2Compatibility; ARBFragmentProgram; ARBProgram; ARBVertexProgram; ARBVertexShader; ARBFramebufferObject; ARBGeometryShader4; ARBGetProgramBinary; ARBGpuShaderFp64; ARBImaging; ARBInstancedArrays; ARBInternalformatQuery; ARBMapBufferRange; ARBMatrixPalette; ARBMultisample; ARBMultitexture; ARBOcclusionQuery; ARBPointParameters; ARBProvokingVertex; ARBRobustness; ARBSamplerObjects; ARBSampleShading; ARBSeparateShaderObjects; ARBShaderAtomicCounters; ARBShaderImageLoadStore; ARBShaderObjects; ARBShaderSubroutine; ARBShadingLanguageInclude; ARBSync; ARBTessellationShader; ARBTextureBufferObject; ARBTextureCompression; ARBTextureMultisample; ARBTextureStorage; ARBTimerQuery; ARBTransformFeedback2; ARBTransformFeedback3; ARBTransformFeedbackInstanced; ARBTransposeMatrix; ARBUniformBufferObject; ARBVertexArrayObject; ARBVertexAttrib64bit; ARBVertexBlend; ARBVertexType2_10_10_10_REV; ARBViewportArray; ARBWindowPos; ATIDrawBuffers; ATIElementArray; ATIEnvmapBumpmap; ATIFragmentShader; ATIMapObjectBuffer; ATIPnTriangles; ATISeparateStencil; ATIVertexArrayObject; ATIVertexAttribArrayObject; ATIVertexStreams; AWTCanvasImplementation; AWTGLCanvas; ContextAttribs; ContextAttribsImplementation; Display; DisplayImplementation; DisplayMode; Drawable; DrawableGLES; InputImplementation; LinuxContextAttribs; MacOSXAWTGLCanvasPeerInfo; MacOSXCanvasImplementation; MacOSXCanvasPeerInfo; MacOSXDisplayPeerInfo; MacOSXPbufferPeerInfo; MacOSXPeerInfo; WindowsContextAttribs; AWTSurfaceLock; LinuxAWTGLCanvasPeerInfo; AWTUtil; Context; ContextGLES; EventQueue; KeyboardEventQueue; FastIntMap; MacOSXCanvasListener; OpenGLException; StateStack; ARB_shadow]; [AMDDepthClampSeparate]; [AMDPinnedMemory]; [AMDSeamlessCubemapPerTexture]; [APPLEAuxDepthStencil]; [APPLEClientStorage]; [APPLEFloatPixels]; [APPLEPackedPixels]; [APPLERgb422]; [APPLERowBytes]; [APPLEYcbcr422]; [ARBCompressedTexturePixelStorage]; [ARBDepthBufferFloat]; [ARBDepthClamp]; [ARBDepthTexture]; [ARBFragmentShader]; [ARBFramebufferSRGB]; [ARBGpuShader5]; [ARBHalfFloatPixel]; [ARBHalfFloatVertex]; [ARBMapBufferAlignment]; [ARBOcclusionQuery2]; [ARBPointSprite]; [ARBSeamlessCubeMap]; [ARBShadingLanguage100]; [ARBShadow]; [ARBShadowAmbient]; [ARBTextureBorderClamp]; [ARBTextureCompressionBPTC]; [ARBTextureCompressionRGTC]; [ARBTextureCubeMap]; [ARBTextureCubeMapArray]; [ARBTextureEnvCombine]; [ARBTextureEnvDot3]; [ARBTextureFloat]; [ARBTextureGather]; [ARBTextureMirroredRepeat]; [ARBTextureRectangle]; [ARBTextureRg]; [ARBTextureRGB10_A2UI]; [ARBTextureSwizzle]; [ARBVertexArrayBgra]; [ATIMeminfo]; [ATITextFragmentShader]; [ATITextureCompression3DC]; [ATITextureEnvCombine3]; [ATITextureFloat]; [ATITextureMirrorOnce]; [EXTAbgr]; [EXTBgra]; [EXTBlendSubtract]; [EXTCgShader]; [EXTFramebufferMultisampleBlitScaled]; [EXTFramebufferSRGB]; [EXTPackedDepthStencil]; [EXTPackedFloat]; [EXTPackedPixels]; [EXTRescaleNormal]; [EXTSeparateSpecularColor]; [EXTSharedTexturePalette]; [EXTStencilWrap]; [EXTTextureCompressionLATC]; [EXTTextureCompressionRGTC]; [EXTTextureCompressionS3TC]; [EXTTextureEnvCombine]; [EXTTextureEnvDot3]; [EXTTextureFilterAnisotropic]; [EXTTextureLODBias]; [EXTTextureMirrorClamp]; [EXTTextureRectangle]; [EXTTextureSharedExponent]; [EXTTextureSnorm]; [EXTTextureSRGB]; [EXTTextureSRGBDecode]; [EXTTextureSwizzle]; [EXTVertexArrayBgra]; [HPOcclusionTest]; [IBMRasterposClip]; [NVCopyDepthToColor]; [NVDepthClamp]; [NVFloatBuffer]; [NVFogDistance]; [NVFragmentProgram2]; [NVGpuProgram5]; [NVLightMaxExponent]; [NVMultisampleCoverage]; [NVMultisampleFilterHint]; [NVPackedDepthStencil]; [NVShaderBufferStore]; [NVTessellationProgram5]; [NVTexgenReflection]; [NVTextureCompressionVTC]; [NVTextureEnvCombine4]; [NVTextureExpandNormal]; [NVTextureRectangle]; [NVTextureShader]; [NVTextureShader2]; [NVTextureShader3]; [NVVertexArrayRange2]; [NVVertexProgram2Option]; [NVVertexProgram3]; [NVXGpuMemoryInfo]; [SGISGenerateMipmap]; [SGISTextureLOD]; [SUNSliceAccum]; [AMDDebugOutputCallback.Handler]; [ARBDebugOutputCallback.Handler]; [FastIntMap.EntryIterator]; [FastIntMap.Entry]; [GLUConstants]; [LinuxDisplay.Compiz]; [LinuxDisplay.Provider]; [StateTracker.VAOState]; [WindowsDisplay.Rect]; [XRandR.Screen]; [AMD_blend_minmax_factor]; [AMD_conservative_depth]; [AMD_depth_clamp_separate]; [AMD_draw_buffers_blend]; [AMD_multi_draw_indirect]; [AMD_name_gen_delete]; [AMD_performance_monitor]; [AMD_pinned_memory]; [AMD_sample_positions]; [AMD_seamless_cubemap_per_texture; ARB_seamless_cube_map]; [AMD_shader_stencil_export]; [AMD_texture_texture4]; [AMD_transform_feedback3_lines_triangles]; [AMD_vertex_shader_tessellator]; [APPLE_aux_depth_stencil]; [APPLE_client_storage]; [APPLE_element_array]; [APPLE_fence]; [APPLE_float_pixels]; [APPLE_flush_buffer_range]; [APPLE_object_purgeable]; [APPLE_packed_pixels]; [APPLE_rgb_422]; [APPLE_row_bytes]; [APPLE_texture_range]; [APPLE_vertex_array_object]; [APPLE_vertex_array_range]; [APPLE_vertex_program_evaluators]; [APPLE_ycbcr_422]; [ARB_base_instance]; [ARB_buffer_object; ARB_pixel_buffer_object; ARB_vertex_buffer_object; EXT_pixel_buffer_object]; [ARB_color_buffer_float]; [ARB_compatibility]; [ARB_compressed_texture_pixel_storage]; [ARB_conservative_depth]; [ARB_copy_buffer]; [ARB_depth_buffer_float]; [ARB_depth_clamp]; [ARB_depth_texture]; [ARB_draw_buffers]; [ARB_draw_buffers_blend]; [ARB_draw_elements_base_vertex]; [ARB_draw_indirect]; [ARB_draw_instanced]; [ARB_ES2_compatibility]; [ARB_explicit_attrib_location]; [ARB_fragment_coord_conventions]; [ARB_fragment_program; ARB_program; ARB_vertex_program]; [ARB_fragment_program_shadow]; [ARB_fragment_shader]; [ARB_framebuffer_object]; [ARB_framebuffer_sRGB]; [ARB_geometry_shader4]; [ARB_get_program_binary]; [ARB_gpu_shader5]; [ARB_half_float_pixel]; [ARB_half_float_vertex]; [ARB_imaging]; [ARB_instanced_arrays]; [ARB_internalformat_query]; [ARB_map_buffer_alignment]; [ARB_map_buffer_range]; [ARB_matrix_palette]; [ARB_multisample]; [ARB_multitexture]; [ARB_occlusion_query]; [ARB_occlusion_query2]; [ARB_point_parameters]; [ARB_point_sprite]; [ARB_provoking_vertex]; [ARB_robustness]; [ARB_sampler_objects]; [ARB_sample_shading]; [ARB_separate_shader_objects]; [ARB_shader_atomic_counters]; [ARB_shader_bit_encoding]; [ARB_shader_image_load_store]; [ARB_shader_objects]; [ARB_shader_precision]; [ARB_shader_stencil_export]; [ARB_shader_texture_lod]; [ARB_shading_language_100]; [ARB_shading_language_420pack]; [ARB_shading_language_include]; [ARB_shading_language_packing]; [ARB_shadow_ambient]; [ARB_texture_border_clamp]; [ARB_texture_buffer_object]; [ARB_texture_buffer_object_rgb32]; [ARB_texture_compression]; [ARB_texture_compression_bptc]; [ARB_texture_compression_rgtc]; [ARB_texture_cube_map]; [ARB_texture_cube_map_array]; [ARB_texture_env_add]; [ARB_texture_env_combine]; [ARB_texture_env_crossbar]; [ARB_texture_env_dot3]; [ARB_texture_float]; [ARB_texture_gather]; [ARB_texture_mirrored_repeat]; [ARB_texture_multisample]; [ARB_texture_non_power_of_two]; [ARB_texture_query_lod]; [ARB_texture_rectangle]; [ARB_texture_rg]; [ARB_texture_rgb10_a2ui]; [ARB_texture_storage]; [ARB_texture_swizzle]; [ARB_timer_query]; [ARB_transform_feedback2]; [ARB_transform_feedback3]; [ARB_transform_feedback_instanced]; [ARB_transpose_matrix]; [ARB_uniform_buffer_object]; [ARB_vertex_array_bgra]; [ARB_vertex_array_object]; [ARB_vertex_attrib_64bit]; [ARB_vertex_blend]; [ARB_vertex_shader]; [ARB_viewport_array]; [ARB_window_pos]; [ATI_draw_buffers]; [ATI_element_array]; [ATI_envmap_bumpmap]; [ATI_fragment_shader]; [ATI_map_object_buffer]; [ATI_meminfo]; [ATI_pn_triangles]; [ATI_separate_stencil]; [ATI_shader_texture_lod]; [ATI_texture_compression_3dc]; [ATI_texture_env_combine3]; [ATI_texture_float]; [ATI_texture_mirror_once]; [ATI_text_fragment_shader]; [ATI_vertex_array_object]; [ATI_vertex_attrib_array_object]; [ATI_vertex_streams]; [EXT_abgr]; [EXT_bgra]; [EXT_bindable_uniform]; [EXT_blend_color]; [EXT_blend_equation_separate]; [EXT_blend_func_separate]; [EXT_blend_minmax]; [EXT_blend_subtract]; [EXT_Cg_shader]; [EXT_compiled_vertex_array]; [EXT_depth_bounds_test]; [EXT_direct_state_access]; [EXT_draw_buffers2]; [EXT_draw_instanced]; [EXT_draw_range_elements]; [EXT_fog_coord]; [EXT_framebuffer_blit]; [EXT_framebuffer_multisample]; [EXT_framebuffer_multisample_blit_scaled]; [EXT_framebuffer_object]; [EXT_framebuffer_sRGB]; [EXT_geometry_shader4]; [EXT_gpu_program_parameters]; [EXT_gpu_shader4]; [EXT_multi_draw_arrays]; [EXT_packed_depth_stencil]; [EXT_packed_float]; [EXT_packed_pixels]; [EXT_paletted_texture]; [EXT_point_parameters]; [EXT_provoking_vertex]; [EXT_rescale_normal]; [EXT_secondary_color]; [EXT_separate_shader_objects]; [EXT_separate_specular_color]; [EXT_shader_image_load_store]; [EXT_shadow_funcs]; [EXT_shared_texture_palette]; [EXT_stencil_clear_tag]; [EXT_stencil_two_side]; [EXT_stencil_wrap]; [EXT_texture_3d]; [EXT_texture_array]; [EXT_texture_buffer_object]; [EXT_texture_compression_latc]; [EXT_texture_compression_rgtc]; [EXT_texture_compression_s3tc]; [EXT_texture_env_combine]; [EXT_texture_env_dot3]; [EXT_texture_filter_anisotropic]; [EXT_texture_integer]; [EXT_texture_lod_bias]; [EXT_texture_mirror_clamp]; [EXT_texture_rectangle]; [EXT_texture_shared_exponent]; [EXT_texture_snorm]; [EXT_texture_sRGB]; [EXT_texture_sRGB_decode]; [EXT_texture_swizzle]; [EXT_timer_query]; [EXT_transform_feedback]; [EXT_vertex_array_bgra]; [EXT_vertex_attrib_64bit]; [EXT_vertex_shader]; [EXT_vertex_weighting]; [GL11]; [GL12]; [GL13]; [GL14]; [GL20]; [GL21]; [GL31]; [GL41]; [GL42]; [GREMEDY_string_marker]; [HP_occlusion_test]; [IBM_rasterpos_clip]; [NVX_gpu_memory_info]; [NV_blend_square]; [NV_conditional_render]; [NV_copy_depth_to_color]; [NV_copy_image]; [NV_depth_buffer_float]; [NV_depth_clamp]; [NV_evaluators]; [NV_explicit_multisample]; [NV_fence]; [NV_float_buffer]; [NV_fog_distance]; [NV_fragment_program; NV_program; NV_vertex_program]; [NV_fragment_program2]; [NV_fragment_program4]; [NV_fragment_program_option]; [NV_framebuffer_multisample_coverage]; [NV_geometry_program4]; [NV_geometry_shader4]; [NV_gpu_program4]; [NV_gpu_program5]; [NV_half_float]; [NV_light_max_exponent]; [NV_multisample_coverage]; [NV_multisample_filter_hint]; [NV_occlusion_query]; [NV_packed_depth_stencil]; [NV_parameter_buffer_object]; [NV_parameter_buffer_object2]; [NV_path_rendering]; [NV_pixel_data_range]; [NV_point_sprite]; [NV_present_video]; [NV_primitive_restart]; [NV_register_combiners]; [NV_register_combiners2]; [NV_shader_buffer_load]; [NV_tessellation_program5]; [NV_texgen_reflection]; [NV_texture_barrier]; [NV_texture_compression_vtc]; [NV_texture_env_combine4]; [NV_texture_expand_normal]; [NV_texture_multisample]; [NV_texture_rectangle]; [NV_texture_shader]; [NV_texture_shader2]; [NV_texture_shader3]; [NV_transform_feedback]; [NV_transform_feedback2]; [NV_vertex_array_range]; [NV_vertex_array_range2]; [NV_vertex_attrib_integer_64bit]; [NV_vertex_buffer_unified_memory]; [NV_vertex_program1_1]; [NV_vertex_program2]; [NV_vertex_program2_option]; [NV_vertex_program3]; [NV_vertex_program4]; [NV_video_capture]; [SGIS_generate_mipmap]; [SGIS_texture_lod]; [SUN_slice_accum]. LCC (Lack of Component Cohesion) = 0.59
mk12_mycraft,org.lwjgl.opengles,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 199
