Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
mk12_mycraft,org.lwjgl.openal,AL10,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AL_INVALID; AL_NONE; AL_FALSE; AL_TRUE; AL_SOURCE_TYPE; AL_SOURCE_ABSOLUTE; AL_SOURCE_RELATIVE; AL_CONE_INNER_ANGLE; AL_CONE_OUTER_ANGLE; AL_PITCH; AL_POSITION; AL_DIRECTION; AL_VELOCITY; AL_LOOPING; AL_BUFFER; AL_GAIN; AL_MIN_GAIN; AL_MAX_GAIN; AL_ORIENTATION; AL_REFERENCE_DISTANCE; AL_ROLLOFF_FACTOR; AL_CONE_OUTER_GAIN; AL_MAX_DISTANCE; AL_CHANNEL_MASK; AL_SOURCE_STATE; AL_INITIAL; AL_PLAYING; AL_PAUSED; AL_STOPPED; AL_BUFFERS_QUEUED; AL_BUFFERS_PROCESSED; AL_FORMAT_MONO8; AL_FORMAT_MONO16; AL_FORMAT_STEREO8; AL_FORMAT_STEREO16; AL_FORMAT_VORBIS_EXT; AL_FREQUENCY; AL_BITS; AL_CHANNELS; AL_SIZE; AL_DATA; AL_UNUSED; AL_PENDING; AL_PROCESSED; AL_NO_ERROR; AL_INVALID_NAME; AL_INVALID_ENUM; AL_INVALID_VALUE; AL_INVALID_OPERATION; AL_OUT_OF_MEMORY; AL_VENDOR; AL_VERSION; AL_RENDERER; AL_EXTENSIONS; AL_DOPPLER_FACTOR; AL_DOPPLER_VELOCITY; AL_DISTANCE_MODEL; AL_INVERSE_DISTANCE; AL_INVERSE_DISTANCE_CLAMPED
mk12_mycraft,org.lwjgl.openal,AL10,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 58 public methods
mk12_mycraft,org.lwjgl.openal,AL11,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AL_SEC_OFFSET; AL_SAMPLE_OFFSET; AL_BYTE_OFFSET; AL_STATIC; AL_STREAMING; AL_UNDETERMINED; AL_ILLEGAL_COMMAND; AL_SPEED_OF_SOUND; AL_LINEAR_DISTANCE; AL_LINEAR_DISTANCE_CLAMPED; AL_EXPONENT_DISTANCE; AL_EXPONENT_DISTANCE_CLAMPED
mk12_mycraft,org.lwjgl.openal,AL11,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 32 methods
mk12_mycraft,org.lwjgl.openal,EFX10,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ALC_EXT_EFX_NAME; ALC_EFX_MAJOR_VERSION; ALC_EFX_MINOR_VERSION; ALC_MAX_AUXILIARY_SENDS; AL_METERS_PER_UNIT; AL_DIRECT_FILTER; AL_AUXILIARY_SEND_FILTER; AL_AIR_ABSORPTION_FACTOR; AL_ROOM_ROLLOFF_FACTOR; AL_CONE_OUTER_GAINHF; AL_DIRECT_FILTER_GAINHF_AUTO; AL_AUXILIARY_SEND_FILTER_GAIN_AUTO; AL_AUXILIARY_SEND_FILTER_GAINHF_AUTO; AL_EFFECTSLOT_EFFECT; AL_EFFECTSLOT_GAIN; AL_EFFECTSLOT_AUXILIARY_SEND_AUTO; AL_EFFECTSLOT_NULL; AL_REVERB_DENSITY; AL_REVERB_DIFFUSION; AL_REVERB_GAIN; AL_REVERB_GAINHF; AL_REVERB_DECAY_TIME; AL_REVERB_DECAY_HFRATIO; AL_REVERB_REFLECTIONS_GAIN; AL_REVERB_REFLECTIONS_DELAY; AL_REVERB_LATE_REVERB_GAIN; AL_REVERB_LATE_REVERB_DELAY; AL_REVERB_AIR_ABSORPTION_GAINHF; AL_REVERB_ROOM_ROLLOFF_FACTOR; AL_REVERB_DECAY_HFLIMIT; AL_EAXREVERB_DENSITY; AL_EAXREVERB_DIFFUSION; AL_EAXREVERB_GAIN; AL_EAXREVERB_GAINHF; AL_EAXREVERB_GAINLF; AL_EAXREVERB_DECAY_TIME; AL_EAXREVERB_DECAY_HFRATIO; AL_EAXREVERB_DECAY_LFRATIO; AL_EAXREVERB_REFLECTIONS_GAIN; AL_EAXREVERB_REFLECTIONS_DELAY; AL_EAXREVERB_REFLECTIONS_PAN; AL_EAXREVERB_LATE_REVERB_GAIN; AL_EAXREVERB_LATE_REVERB_DELAY; AL_EAXREVERB_LATE_REVERB_PAN; AL_EAXREVERB_ECHO_TIME; AL_EAXREVERB_ECHO_DEPTH; AL_EAXREVERB_MODULATION_TIME; AL_EAXREVERB_MODULATION_DEPTH; AL_EAXREVERB_AIR_ABSORPTION_GAINHF; AL_EAXREVERB_HFREFERENCE; AL_EAXREVERB_LFREFERENCE; AL_EAXREVERB_ROOM_ROLLOFF_FACTOR; AL_EAXREVERB_DECAY_HFLIMIT; AL_CHORUS_WAVEFORM; AL_CHORUS_PHASE; AL_CHORUS_RATE; AL_CHORUS_DEPTH; AL_CHORUS_FEEDBACK; AL_CHORUS_DELAY; AL_DISTORTION_EDGE; AL_DISTORTION_GAIN; AL_DISTORTION_LOWPASS_CUTOFF; AL_DISTORTION_EQCENTER; AL_DISTORTION_EQBANDWIDTH; AL_ECHO_DELAY; AL_ECHO_LRDELAY; AL_ECHO_DAMPING; AL_ECHO_FEEDBACK; AL_ECHO_SPREAD; AL_FLANGER_WAVEFORM; AL_FLANGER_PHASE; AL_FLANGER_RATE; AL_FLANGER_DEPTH; AL_FLANGER_FEEDBACK; AL_FLANGER_DELAY; AL_FREQUENCY_SHIFTER_FREQUENCY; AL_FREQUENCY_SHIFTER_LEFT_DIRECTION; AL_FREQUENCY_SHIFTER_RIGHT_DIRECTION; AL_VOCAL_MORPHER_PHONEMEA; AL_VOCAL_MORPHER_PHONEMEA_COARSE_TUNING; AL_VOCAL_MORPHER_PHONEMEB; AL_VOCAL_MORPHER_PHONEMEB_COARSE_TUNING; AL_VOCAL_MORPHER_WAVEFORM; AL_VOCAL_MORPHER_RATE; AL_PITCH_SHIFTER_COARSE_TUNE; AL_PITCH_SHIFTER_FINE_TUNE; AL_RING_MODULATOR_FREQUENCY; AL_RING_MODULATOR_HIGHPASS_CUTOFF; AL_RING_MODULATOR_WAVEFORM; AL_AUTOWAH_ATTACK_TIME; AL_AUTOWAH_RELEASE_TIME; AL_AUTOWAH_RESONANCE; AL_AUTOWAH_PEAK_GAIN; AL_COMPRESSOR_ONOFF; AL_EQUALIZER_LOW_GAIN; AL_EQUALIZER_LOW_CUTOFF; AL_EQUALIZER_MID1_GAIN; AL_EQUALIZER_MID1_CENTER; AL_EQUALIZER_MID1_WIDTH; AL_EQUALIZER_MID2_GAIN; AL_EQUALIZER_MID2_CENTER; AL_EQUALIZER_MID2_WIDTH; AL_EQUALIZER_HIGH_GAIN; AL_EQUALIZER_HIGH_CUTOFF; AL_EFFECT_FIRST_PARAMETER; AL_EFFECT_LAST_PARAMETER; AL_EFFECT_TYPE; AL_EFFECT_NULL; AL_EFFECT_REVERB; AL_EFFECT_CHORUS; AL_EFFECT_DISTORTION; AL_EFFECT_ECHO; AL_EFFECT_FLANGER; AL_EFFECT_FREQUENCY_SHIFTER; AL_EFFECT_VOCAL_MORPHER; AL_EFFECT_PITCH_SHIFTER; AL_EFFECT_RING_MODULATOR; AL_EFFECT_AUTOWAH; AL_EFFECT_COMPRESSOR; AL_EFFECT_EQUALIZER; AL_EFFECT_EAXREVERB; AL_LOWPASS_GAIN; AL_LOWPASS_GAINHF; AL_HIGHPASS_GAIN; AL_HIGHPASS_GAINLF; AL_BANDPASS_GAIN; AL_BANDPASS_GAINLF; AL_BANDPASS_GAINHF; AL_FILTER_FIRST_PARAMETER; AL_FILTER_LAST_PARAMETER; AL_FILTER_TYPE; AL_FILTER_NULL; AL_FILTER_LOWPASS; AL_FILTER_HIGHPASS; AL_FILTER_BANDPASS; AL_MIN_AIR_ABSORPTION_FACTOR; AL_MAX_AIR_ABSORPTION_FACTOR; AL_DEFAULT_AIR_ABSORPTION_FACTOR; AL_MIN_ROOM_ROLLOFF_FACTOR; AL_MAX_ROOM_ROLLOFF_FACTOR; AL_DEFAULT_ROOM_ROLLOFF_FACTOR; AL_MIN_CONE_OUTER_GAINHF; AL_MAX_CONE_OUTER_GAINHF; AL_DEFAULT_CONE_OUTER_GAINHF; AL_MIN_DIRECT_FILTER_GAINHF_AUTO; AL_MAX_DIRECT_FILTER_GAINHF_AUTO; AL_DEFAULT_DIRECT_FILTER_GAINHF_AUTO; AL_MIN_AUXILIARY_SEND_FILTER_GAIN_AUTO; AL_MAX_AUXILIARY_SEND_FILTER_GAIN_AUTO; AL_DEFAULT_AUXILIARY_SEND_FILTER_GAIN_AUTO; AL_MIN_AUXILIARY_SEND_FILTER_GAINHF_AUTO; AL_MAX_AUXILIARY_SEND_FILTER_GAINHF_AUTO; AL_DEFAULT_AUXILIARY_SEND_FILTER_GAINHF_AUTO; AL_MIN_METERS_PER_UNIT; AL_MAX_METERS_PER_UNIT; AL_DEFAULT_METERS_PER_UNIT; AL_REVERB_MIN_DENSITY; AL_REVERB_MAX_DENSITY; AL_REVERB_DEFAULT_DENSITY; AL_REVERB_MIN_DIFFUSION; AL_REVERB_MAX_DIFFUSION; AL_REVERB_DEFAULT_DIFFUSION; AL_REVERB_MIN_GAIN; AL_REVERB_MAX_GAIN; AL_REVERB_DEFAULT_GAIN; AL_REVERB_MIN_GAINHF; AL_REVERB_MAX_GAINHF; AL_REVERB_DEFAULT_GAINHF; AL_REVERB_MIN_DECAY_TIME; AL_REVERB_MAX_DECAY_TIME; AL_REVERB_DEFAULT_DECAY_TIME; AL_REVERB_MIN_DECAY_HFRATIO; AL_REVERB_MAX_DECAY_HFRATIO; AL_REVERB_DEFAULT_DECAY_HFRATIO; AL_REVERB_MIN_REFLECTIONS_GAIN; AL_REVERB_MAX_REFLECTIONS_GAIN; AL_REVERB_DEFAULT_REFLECTIONS_GAIN; AL_REVERB_MIN_REFLECTIONS_DELAY; AL_REVERB_MAX_REFLECTIONS_DELAY; AL_REVERB_DEFAULT_REFLECTIONS_DELAY; AL_REVERB_MIN_LATE_REVERB_GAIN; AL_REVERB_MAX_LATE_REVERB_GAIN; AL_REVERB_DEFAULT_LATE_REVERB_GAIN; AL_REVERB_MIN_LATE_REVERB_DELAY; AL_REVERB_MAX_LATE_REVERB_DELAY; AL_REVERB_DEFAULT_LATE_REVERB_DELAY; AL_REVERB_MIN_AIR_ABSORPTION_GAINHF; AL_REVERB_MAX_AIR_ABSORPTION_GAINHF; AL_REVERB_DEFAULT_AIR_ABSORPTION_GAINHF; AL_REVERB_MIN_ROOM_ROLLOFF_FACTOR; AL_REVERB_MAX_ROOM_ROLLOFF_FACTOR; AL_REVERB_DEFAULT_ROOM_ROLLOFF_FACTOR; AL_REVERB_MIN_DECAY_HFLIMIT; AL_REVERB_MAX_DECAY_HFLIMIT; AL_REVERB_DEFAULT_DECAY_HFLIMIT; AL_EAXREVERB_MIN_DENSITY; AL_EAXREVERB_MAX_DENSITY; AL_EAXREVERB_DEFAULT_DENSITY; AL_EAXREVERB_MIN_DIFFUSION; AL_EAXREVERB_MAX_DIFFUSION; AL_EAXREVERB_DEFAULT_DIFFUSION; AL_EAXREVERB_MIN_GAIN; AL_EAXREVERB_MAX_GAIN; AL_EAXREVERB_DEFAULT_GAIN; AL_EAXREVERB_MIN_GAINHF; AL_EAXREVERB_MAX_GAINHF; AL_EAXREVERB_DEFAULT_GAINHF; AL_EAXREVERB_MIN_GAINLF; AL_EAXREVERB_MAX_GAINLF; AL_EAXREVERB_DEFAULT_GAINLF; AL_EAXREVERB_MIN_DECAY_TIME; AL_EAXREVERB_MAX_DECAY_TIME; AL_EAXREVERB_DEFAULT_DECAY_TIME; AL_EAXREVERB_MIN_DECAY_HFRATIO; AL_EAXREVERB_MAX_DECAY_HFRATIO; AL_EAXREVERB_DEFAULT_DECAY_HFRATIO; AL_EAXREVERB_MIN_DECAY_LFRATIO; AL_EAXREVERB_MAX_DECAY_LFRATIO; AL_EAXREVERB_DEFAULT_DECAY_LFRATIO; AL_EAXREVERB_MIN_REFLECTIONS_GAIN; AL_EAXREVERB_MAX_REFLECTIONS_GAIN; AL_EAXREVERB_DEFAULT_REFLECTIONS_GAIN; AL_EAXREVERB_MIN_REFLECTIONS_DELAY; AL_EAXREVERB_MAX_REFLECTIONS_DELAY; AL_EAXREVERB_DEFAULT_REFLECTIONS_DELAY; AL_EAXREVERB_DEFAULT_REFLECTIONS_PAN_XYZ; AL_EAXREVERB_MIN_LATE_REVERB_GAIN; AL_EAXREVERB_MAX_LATE_REVERB_GAIN; AL_EAXREVERB_DEFAULT_LATE_REVERB_GAIN; AL_EAXREVERB_MIN_LATE_REVERB_DELAY; AL_EAXREVERB_MAX_LATE_REVERB_DELAY; AL_EAXREVERB_DEFAULT_LATE_REVERB_DELAY; AL_EAXREVERB_DEFAULT_LATE_REVERB_PAN_XYZ; AL_EAXREVERB_MIN_ECHO_TIME; AL_EAXREVERB_MAX_ECHO_TIME; AL_EAXREVERB_DEFAULT_ECHO_TIME; AL_EAXREVERB_MIN_ECHO_DEPTH; AL_EAXREVERB_MAX_ECHO_DEPTH; AL_EAXREVERB_DEFAULT_ECHO_DEPTH; AL_EAXREVERB_MIN_MODULATION_TIME; AL_EAXREVERB_MAX_MODULATION_TIME; AL_EAXREVERB_DEFAULT_MODULATION_TIME; AL_EAXREVERB_MIN_MODULATION_DEPTH; AL_EAXREVERB_MAX_MODULATION_DEPTH; AL_EAXREVERB_DEFAULT_MODULATION_DEPTH; AL_EAXREVERB_MIN_AIR_ABSORPTION_GAINHF; AL_EAXREVERB_MAX_AIR_ABSORPTION_GAINHF; AL_EAXREVERB_DEFAULT_AIR_ABSORPTION_GAINHF; AL_EAXREVERB_MIN_HFREFERENCE; AL_EAXREVERB_MAX_HFREFERENCE; AL_EAXREVERB_DEFAULT_HFREFERENCE; AL_EAXREVERB_MIN_LFREFERENCE; AL_EAXREVERB_MAX_LFREFERENCE; AL_EAXREVERB_DEFAULT_LFREFERENCE; AL_EAXREVERB_MIN_ROOM_ROLLOFF_FACTOR; AL_EAXREVERB_MAX_ROOM_ROLLOFF_FACTOR; AL_EAXREVERB_DEFAULT_ROOM_ROLLOFF_FACTOR; AL_EAXREVERB_MIN_DECAY_HFLIMIT; AL_EAXREVERB_MAX_DECAY_HFLIMIT; AL_EAXREVERB_DEFAULT_DECAY_HFLIMIT; AL_CHORUS_WAVEFORM_SINUSOID; AL_CHORUS_WAVEFORM_TRIANGLE; AL_CHORUS_MIN_WAVEFORM; AL_CHORUS_MAX_WAVEFORM; AL_CHORUS_DEFAULT_WAVEFORM; AL_CHORUS_MIN_PHASE; AL_CHORUS_MAX_PHASE; AL_CHORUS_DEFAULT_PHASE; AL_CHORUS_MIN_RATE; AL_CHORUS_MAX_RATE; AL_CHORUS_DEFAULT_RATE; AL_CHORUS_MIN_DEPTH; AL_CHORUS_MAX_DEPTH; AL_CHORUS_DEFAULT_DEPTH; AL_CHORUS_MIN_FEEDBACK; AL_CHORUS_MAX_FEEDBACK; AL_CHORUS_DEFAULT_FEEDBACK; AL_CHORUS_MIN_DELAY; AL_CHORUS_MAX_DELAY; AL_CHORUS_DEFAULT_DELAY; AL_DISTORTION_MIN_EDGE; AL_DISTORTION_MAX_EDGE; AL_DISTORTION_DEFAULT_EDGE; AL_DISTORTION_MIN_GAIN; AL_DISTORTION_MAX_GAIN; AL_DISTORTION_DEFAULT_GAIN; AL_DISTORTION_MIN_LOWPASS_CUTOFF; AL_DISTORTION_MAX_LOWPASS_CUTOFF; AL_DISTORTION_DEFAULT_LOWPASS_CUTOFF; AL_DISTORTION_MIN_EQCENTER; AL_DISTORTION_MAX_EQCENTER; AL_DISTORTION_DEFAULT_EQCENTER; AL_DISTORTION_MIN_EQBANDWIDTH; AL_DISTORTION_MAX_EQBANDWIDTH; AL_DISTORTION_DEFAULT_EQBANDWIDTH; AL_ECHO_MIN_DELAY; AL_ECHO_MAX_DELAY; AL_ECHO_DEFAULT_DELAY; AL_ECHO_MIN_LRDELAY; AL_ECHO_MAX_LRDELAY; AL_ECHO_DEFAULT_LRDELAY; AL_ECHO_MIN_DAMPING; AL_ECHO_MAX_DAMPING; AL_ECHO_DEFAULT_DAMPING; AL_ECHO_MIN_FEEDBACK; AL_ECHO_MAX_FEEDBACK; AL_ECHO_DEFAULT_FEEDBACK; AL_ECHO_MIN_SPREAD; AL_ECHO_MAX_SPREAD; AL_ECHO_DEFAULT_SPREAD; AL_FLANGER_WAVEFORM_SINUSOID; AL_FLANGER_WAVEFORM_TRIANGLE; AL_FLANGER_MIN_WAVEFORM; AL_FLANGER_MAX_WAVEFORM; AL_FLANGER_DEFAULT_WAVEFORM; AL_FLANGER_MIN_PHASE; AL_FLANGER_MAX_PHASE; AL_FLANGER_DEFAULT_PHASE; AL_FLANGER_MIN_RATE; AL_FLANGER_MAX_RATE; AL_FLANGER_DEFAULT_RATE; AL_FLANGER_MIN_DEPTH; AL_FLANGER_MAX_DEPTH; AL_FLANGER_DEFAULT_DEPTH; AL_FLANGER_MIN_FEEDBACK; AL_FLANGER_MAX_FEEDBACK; AL_FLANGER_DEFAULT_FEEDBACK; AL_FLANGER_MIN_DELAY; AL_FLANGER_MAX_DELAY; AL_FLANGER_DEFAULT_DELAY; AL_FREQUENCY_SHIFTER_MIN_FREQUENCY; AL_FREQUENCY_SHIFTER_MAX_FREQUENCY; AL_FREQUENCY_SHIFTER_DEFAULT_FREQUENCY; AL_FREQUENCY_SHIFTER_MIN_LEFT_DIRECTION; AL_FREQUENCY_SHIFTER_MAX_LEFT_DIRECTION; AL_FREQUENCY_SHIFTER_DEFAULT_LEFT_DIRECTION; AL_FREQUENCY_SHIFTER_DIRECTION_DOWN; AL_FREQUENCY_SHIFTER_DIRECTION_UP; AL_FREQUENCY_SHIFTER_DIRECTION_OFF; AL_FREQUENCY_SHIFTER_MIN_RIGHT_DIRECTION; AL_FREQUENCY_SHIFTER_MAX_RIGHT_DIRECTION; AL_FREQUENCY_SHIFTER_DEFAULT_RIGHT_DIRECTION; AL_VOCAL_MORPHER_MIN_PHONEMEA; AL_VOCAL_MORPHER_MAX_PHONEMEA; AL_VOCAL_MORPHER_DEFAULT_PHONEMEA; AL_VOCAL_MORPHER_MIN_PHONEMEA_COARSE_TUNING; AL_VOCAL_MORPHER_MAX_PHONEMEA_COARSE_TUNING; AL_VOCAL_MORPHER_DEFAULT_PHONEMEA_COARSE_TUNING; AL_VOCAL_MORPHER_MIN_PHONEMEB; AL_VOCAL_MORPHER_MAX_PHONEMEB; AL_VOCAL_MORPHER_DEFAULT_PHONEMEB; AL_VOCAL_MORPHER_MIN_PHONEMEB_COARSE_TUNING; AL_VOCAL_MORPHER_MAX_PHONEMEB_COARSE_TUNING; AL_VOCAL_MORPHER_DEFAULT_PHONEMEB_COARSE_TUNING; AL_VOCAL_MORPHER_PHONEME_A; AL_VOCAL_MORPHER_PHONEME_E; AL_VOCAL_MORPHER_PHONEME_I; AL_VOCAL_MORPHER_PHONEME_O; AL_VOCAL_MORPHER_PHONEME_U; AL_VOCAL_MORPHER_PHONEME_AA; AL_VOCAL_MORPHER_PHONEME_AE; AL_VOCAL_MORPHER_PHONEME_AH; AL_VOCAL_MORPHER_PHONEME_AO; AL_VOCAL_MORPHER_PHONEME_EH; AL_VOCAL_MORPHER_PHONEME_ER; AL_VOCAL_MORPHER_PHONEME_IH; AL_VOCAL_MORPHER_PHONEME_IY; AL_VOCAL_MORPHER_PHONEME_UH; AL_VOCAL_MORPHER_PHONEME_UW; AL_VOCAL_MORPHER_PHONEME_B; AL_VOCAL_MORPHER_PHONEME_D; AL_VOCAL_MORPHER_PHONEME_F; AL_VOCAL_MORPHER_PHONEME_G; AL_VOCAL_MORPHER_PHONEME_J; AL_VOCAL_MORPHER_PHONEME_K; AL_VOCAL_MORPHER_PHONEME_L; AL_VOCAL_MORPHER_PHONEME_M; AL_VOCAL_MORPHER_PHONEME_N; AL_VOCAL_MORPHER_PHONEME_P; AL_VOCAL_MORPHER_PHONEME_R; AL_VOCAL_MORPHER_PHONEME_S; AL_VOCAL_MORPHER_PHONEME_T; AL_VOCAL_MORPHER_PHONEME_V; AL_VOCAL_MORPHER_PHONEME_Z; AL_VOCAL_MORPHER_WAVEFORM_SINUSOID; AL_VOCAL_MORPHER_WAVEFORM_TRIANGLE; AL_VOCAL_MORPHER_WAVEFORM_SAWTOOTH; AL_VOCAL_MORPHER_MIN_WAVEFORM; AL_VOCAL_MORPHER_MAX_WAVEFORM; AL_VOCAL_MORPHER_DEFAULT_WAVEFORM; AL_VOCAL_MORPHER_MIN_RATE; AL_VOCAL_MORPHER_MAX_RATE; AL_VOCAL_MORPHER_DEFAULT_RATE; AL_PITCH_SHIFTER_MIN_COARSE_TUNE; AL_PITCH_SHIFTER_MAX_COARSE_TUNE; AL_PITCH_SHIFTER_DEFAULT_COARSE_TUNE; AL_PITCH_SHIFTER_MIN_FINE_TUNE; AL_PITCH_SHIFTER_MAX_FINE_TUNE; AL_PITCH_SHIFTER_DEFAULT_FINE_TUNE; AL_RING_MODULATOR_MIN_FREQUENCY; AL_RING_MODULATOR_MAX_FREQUENCY; AL_RING_MODULATOR_DEFAULT_FREQUENCY; AL_RING_MODULATOR_MIN_HIGHPASS_CUTOFF; AL_RING_MODULATOR_MAX_HIGHPASS_CUTOFF; AL_RING_MODULATOR_DEFAULT_HIGHPASS_CUTOFF; AL_RING_MODULATOR_SINUSOID; AL_RING_MODULATOR_SAWTOOTH; AL_RING_MODULATOR_SQUARE; AL_RING_MODULATOR_MIN_WAVEFORM; AL_RING_MODULATOR_MAX_WAVEFORM; AL_RING_MODULATOR_DEFAULT_WAVEFORM; AL_AUTOWAH_MIN_ATTACK_TIME; AL_AUTOWAH_MAX_ATTACK_TIME; AL_AUTOWAH_DEFAULT_ATTACK_TIME; AL_AUTOWAH_MIN_RELEASE_TIME; AL_AUTOWAH_MAX_RELEASE_TIME; AL_AUTOWAH_DEFAULT_RELEASE_TIME; AL_AUTOWAH_MIN_RESONANCE; AL_AUTOWAH_MAX_RESONANCE; AL_AUTOWAH_DEFAULT_RESONANCE; AL_AUTOWAH_MIN_PEAK_GAIN; AL_AUTOWAH_MAX_PEAK_GAIN; AL_AUTOWAH_DEFAULT_PEAK_GAIN; AL_COMPRESSOR_MIN_ONOFF; AL_COMPRESSOR_MAX_ONOFF; AL_COMPRESSOR_DEFAULT_ONOFF; AL_EQUALIZER_MIN_LOW_GAIN; AL_EQUALIZER_MAX_LOW_GAIN; AL_EQUALIZER_DEFAULT_LOW_GAIN; AL_EQUALIZER_MIN_LOW_CUTOFF; AL_EQUALIZER_MAX_LOW_CUTOFF; AL_EQUALIZER_DEFAULT_LOW_CUTOFF; AL_EQUALIZER_MIN_MID1_GAIN; AL_EQUALIZER_MAX_MID1_GAIN; AL_EQUALIZER_DEFAULT_MID1_GAIN; AL_EQUALIZER_MIN_MID1_CENTER; AL_EQUALIZER_MAX_MID1_CENTER; AL_EQUALIZER_DEFAULT_MID1_CENTER; AL_EQUALIZER_MIN_MID1_WIDTH; AL_EQUALIZER_MAX_MID1_WIDTH; AL_EQUALIZER_DEFAULT_MID1_WIDTH; AL_EQUALIZER_MIN_MID2_GAIN; AL_EQUALIZER_MAX_MID2_GAIN; AL_EQUALIZER_DEFAULT_MID2_GAIN; AL_EQUALIZER_MIN_MID2_CENTER; AL_EQUALIZER_MAX_MID2_CENTER; AL_EQUALIZER_DEFAULT_MID2_CENTER; AL_EQUALIZER_MIN_MID2_WIDTH; AL_EQUALIZER_MAX_MID2_WIDTH; AL_EQUALIZER_DEFAULT_MID2_WIDTH; AL_EQUALIZER_MIN_HIGH_GAIN; AL_EQUALIZER_MAX_HIGH_GAIN; AL_EQUALIZER_DEFAULT_HIGH_GAIN; AL_EQUALIZER_MIN_HIGH_CUTOFF; AL_EQUALIZER_MAX_HIGH_CUTOFF; AL_EQUALIZER_DEFAULT_HIGH_CUTOFF; LOWPASS_MIN_GAIN; LOWPASS_MAX_GAIN; LOWPASS_DEFAULT_GAIN; LOWPASS_MIN_GAINHF; LOWPASS_MAX_GAINHF; LOWPASS_DEFAULT_GAINHF; HIGHPASS_MIN_GAIN; HIGHPASS_MAX_GAIN; HIGHPASS_DEFAULT_GAIN; HIGHPASS_MIN_GAINLF; HIGHPASS_MAX_GAINLF; HIGHPASS_DEFAULT_GAINLF; BANDPASS_MIN_GAIN; BANDPASS_MAX_GAIN; BANDPASS_DEFAULT_GAIN; BANDPASS_MIN_GAINHF; BANDPASS_MAX_GAINHF; BANDPASS_DEFAULT_GAINHF; BANDPASS_MIN_GAINLF; BANDPASS_MAX_GAINLF; BANDPASS_DEFAULT_GAINLF
mk12_mycraft,org.lwjgl.openal,EFX10,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
mk12_mycraft,org.lwjgl.openal,AL,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ALC10; ALCdevice; ALCcontext; Util; AL; ALC11
mk12_mycraft,org.lwjgl.openal,ALC10,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: contexts; devices; ALC_INVALID; ALC_FALSE; ALC_TRUE; ALC_NO_ERROR; ALC_MAJOR_VERSION; ALC_MINOR_VERSION; ALC_ATTRIBUTES_SIZE; ALC_ALL_ATTRIBUTES; ALC_DEFAULT_DEVICE_SPECIFIER; ALC_DEVICE_SPECIFIER; ALC_EXTENSIONS; ALC_FREQUENCY; ALC_REFRESH; ALC_SYNC; ALC_INVALID_DEVICE; ALC_INVALID_CONTEXT; ALC_INVALID_ENUM; ALC_INVALID_VALUE; ALC_OUT_OF_MEMORY
mk12_mycraft,org.lwjgl.openal,ALC10,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 31 methods
mk12_mycraft,org.lwjgl.openal,ALC11,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ALC_DEFAULT_ALL_DEVICES_SPECIFIER; ALC_ALL_DEVICES_SPECIFIER; ALC_CAPTURE_DEVICE_SPECIFIER; ALC_CAPTURE_DEFAULT_DEVICE_SPECIFIER; ALC_CAPTURE_SAMPLES; ALC_MONO_SOURCES; ALC_STEREO_SOURCES
