Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
mk12_mycraft,org.lwjgl.openal,AL10,AL10,2,1,0,329,0,,
mk12_mycraft,org.lwjgl.openal,AL10,initNativeStubs,0,1,0,331,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alEnable,3,1,1,333,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalEnable,0,1,1,343,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alDisable,3,1,1,345,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalDisable,0,1,1,355,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alIsEnabled,4,1,1,357,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalIsEnabled,0,1,1,375,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetBoolean,4,1,1,377,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetBoolean,0,1,1,394,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetInteger,4,1,1,396,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetInteger,0,1,1,413,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetFloat,4,1,1,415,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetFloat,0,1,1,432,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetDouble,4,1,1,434,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetDouble,0,1,1,451,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetInteger,4,1,2,453,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetIntegerv,0,1,2,471,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetFloat,4,1,2,473,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetFloatv,0,1,2,491,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetDouble,4,1,2,493,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetDoublev,0,1,2,511,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetString,4,1,1,513,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetString,0,1,1,527,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetError,4,1,0,529,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetError,0,1,0,610,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alIsExtensionPresent,5,1,1,612,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalIsExtensionPresent,0,1,1,628,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetEnumValue,5,1,1,630,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetEnumValue,0,1,1,653,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alListeneri,3,1,2,655,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalListeneri,0,1,2,664,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alListenerf,3,1,2,666,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalListenerf,0,1,2,675,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alListener,4,1,2,677,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalListenerfv,0,1,2,687,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alListener3f,3,1,4,689,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalListener3f,0,1,4,700,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetListeneri,4,1,1,702,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetListeneri,0,1,1,713,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetListenerf,4,1,1,715,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetListenerf,0,1,1,726,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetListener,4,1,2,728,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetListenerfv,0,1,2,739,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGenSources,4,1,1,741,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGenSources,0,1,2,750,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGenSources,4,1,0,752,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGenSources2,0,1,1,757,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alDeleteSources,4,1,1,759,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalDeleteSources,0,1,2,768,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alDeleteSources,3,1,1,770,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalDeleteSources2,0,1,2,774,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alIsSource,4,1,1,776,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalIsSource,0,1,1,786,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourcei,3,1,3,788,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourcei,0,1,3,799,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourcef,3,1,3,801,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourcef,0,1,3,812,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSource,4,1,3,814,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourcefv,0,1,3,826,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSource3f,3,1,5,828,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSource3f,0,1,5,841,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetSourcei,4,1,2,843,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetSourcei,0,1,2,856,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetSourcef,4,1,2,858,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetSourcef,0,1,2,871,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGetSource,4,1,3,873,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGetSourcefv,0,1,3,886,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourcePlay,4,1,1,888,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourcePlayv,0,1,2,904,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourcePause,4,1,1,906,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourcePausev,0,1,2,918,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourceStop,4,1,1,920,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourceStopv,0,1,2,933,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourceRewind,4,1,1,935,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourceRewindv,0,1,2,950,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourcePlay,3,1,1,952,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourcePlay,0,1,1,967,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourcePause,3,1,1,969,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourcePause,0,1,1,980,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourceStop,3,1,1,982,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourceStop,0,1,1,994,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alSourceRewind,3,1,1,996,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalSourceRewind,0,1,1,1010,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGenBuffers,4,1,1,1012,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGenBuffers,0,1,2,1021,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alGenBuffers,4,1,0,1023,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalGenBuffers2,0,1,1,1028,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alDeleteBuffers,4,1,1,1030,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalDeleteBuffers,0,1,2,1050,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alDeleteBuffers,3,1,1,1052,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalDeleteBuffers2,0,1,2,1056,0,,
mk12_mycraft,org.lwjgl.openal,AL10,alIsBuffer,4,1,1,1058,0,org.lwjgl.openal.AL10,org.lwjgl.openal.AL10
mk12_mycraft,org.lwjgl.openal,AL10,nalIsBuffer,0,1,1,1068,0,,
