Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
mk12_mycraft,org.lwjgl.openal,AL10,59,59,116,58,744,116,0,0,0.5,17,0,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\openal\AL10.java,8
mk12_mycraft,org.lwjgl.openal,AL11,12,12,32,15,202,32,0,0,0.53125,2,0,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\openal\AL11.java,8
mk12_mycraft,org.lwjgl.openal,EFX10,477,477,80,39,233,80,0,0,0.5125,3,0,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\openal\EFX10.java,8
mk12_mycraft,org.lwjgl.openal,AL,3,0,13,7,0,27,0,0,0.15384615384615385,13,7,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\java\org\lwjgl\openal\AL.java,38
mk12_mycraft,org.lwjgl.openal,ALC10,21,19,31,14,279,37,0,0,0.06451612903225806,10,5,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\java\org\lwjgl\openal\ALC10.java,42
mk12_mycraft,org.lwjgl.openal,ALC11,7,7,12,5,98,15,0,0,0.5,3,7,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\java\org\lwjgl\openal\ALC11.java,42
mk12_mycraft,org.lwjgl.openal,ALCcontext,2,0,5,2,59,6,0,0,0.4,5,2,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\java\org\lwjgl\openal\ALCcontext.java,38
mk12_mycraft,org.lwjgl.openal,ALCdevice,3,0,6,2,67,8,0,0,0.0,7,1,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\java\org\lwjgl\openal\ALCdevice.java,37
mk12_mycraft,org.lwjgl.openal,EFXUtil,2,0,5,3,0,37,0,0,0.4,2,2,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\java\org\lwjgl\openal\EFXUtil.java,37
mk12_mycraft,org.lwjgl.openal,OpenALException,1,0,5,5,42,5,0,0,1.0,0,1,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\java\org\lwjgl\openal\OpenALException.java,34
mk12_mycraft,org.lwjgl.openal,Util,0,0,5,4,46,9,0,0,-1.0,1,5,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\java\org\lwjgl\openal\Util.java,35
mk12_mycraft,org.lwjgl.openal,AL10,59,0,56,0,538,56,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\templates\org\lwjgl\openal\AL10.java,42
mk12_mycraft,org.lwjgl.openal,AL11,12,12,15,0,150,15,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\templates\org\lwjgl\openal\AL11.java,42
mk12_mycraft,org.lwjgl.openal,EFX10,477,0,39,0,523,39,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\templates\org\lwjgl\openal\EFX10.java,44
mk12_mycraft,org.lwjgl.opencl,AMDDeviceAttributeQuery,1,1,1,0,8,1,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\opencl\AMDDeviceAttributeQuery.java,8
mk12_mycraft,org.lwjgl.opencl,AMDDeviceMemoryFlags,1,1,1,0,8,1,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\opencl\AMDDeviceMemoryFlags.java,8
mk12_mycraft,org.lwjgl.opencl,AMDOfflineDevices,1,1,1,0,5,1,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\opencl\AMDOfflineDevices.java,8
mk12_mycraft,org.lwjgl.opencl,APPLEContextLoggingFunctions,0,0,7,0,31,7,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\opencl\APPLEContextLoggingFunctions.java,8
mk12_mycraft,org.lwjgl.opencl,APPLEGLSharing,4,4,3,1,32,7,0,0,0.6666666666666666,1,4,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\opencl\APPLEGLSharing.java,8
mk12_mycraft,org.lwjgl.opencl,APPLESetMemObjectDestructor,0,0,3,1,18,3,0,0,-1.0,0,4,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\opencl\APPLESetMemObjectDestructor.java,8
mk12_mycraft,org.lwjgl.opencl,CL10,245,245,189,113,1333,387,0,0,0.2222222222222222,9,18,E:\Repositories\Cloned_Reposit\mk12_mycraft\lib\LWJGL\lwjgl-source-2\src\generated\org\lwjgl\opencl\CL10.java,8
