Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
neureal_noo4j-core,org.noo4j.core,BtcAccount,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BtcScript; BtcUtil; BtcAccount; BtcBlockTemplate; BtcCoinbase; BtcRawTransaction; BtcTransactionDetail; BtcTransaction
neureal_noo4j-core,org.noo4j.core,BtcAddedNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcApi,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcApi,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 64 public methods
neureal_noo4j-core,org.noo4j.core,BtcBlockSubmission,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; PARAM_WORK_ID; accepted; reasons
neureal_noo4j-core,org.noo4j.core,BtcBlockTemplate,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; PARAM_CAPABILITIES; PARAM_MODE; signatureOperations; transactions; coinbase; workId; target; minimumTime; mutable; nonceRange
neureal_noo4j-core,org.noo4j.core,BtcBlockTemplate.Capability,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
neureal_noo4j-core,org.noo4j.core,BtcBlockTemplate.Capability,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcBlockTemplate.Mode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
neureal_noo4j-core,org.noo4j.core,BtcBlockTemplate.Mode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcException,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; BTC4J_ERROR_CODE; BTC4J_ERROR_MESSAGE; BTC4J_ERROR_DATA_NOT_IMPLEMENTED; code
neureal_noo4j-core,org.noo4j.core,BtcInfo,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods
neureal_noo4j-core,org.noo4j.core,BtcInput,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcNode.Operation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
neureal_noo4j-core,org.noo4j.core,BtcNode.Operation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcOutputPart,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; PARAM_TRANSACTION; PARAM_OUTPUT; PARAM_SCRIPT; transaction; output; script
neureal_noo4j-core,org.noo4j.core,BtcPeer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcPeer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
neureal_noo4j-core,org.noo4j.core,BtcRawTransaction.SignatureHash,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
neureal_noo4j-core,org.noo4j.core,BtcRawTransaction.SignatureHash,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcScript.Type,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
neureal_noo4j-core,org.noo4j.core,BtcScript.Type,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcTransaction.Category,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
neureal_noo4j-core,org.noo4j.core,BtcTransaction.Category,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
neureal_noo4j-core,org.noo4j.core,BtcTransactionTemplate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
