Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
neureal_noo4j-core,org.noo4j.core,BtcAccount,getAccount,3,1,0,36,0,,
neureal_noo4j-core,org.noo4j.core,BtcAccount,setAccount,3,1,1,40,0,,
neureal_noo4j-core,org.noo4j.core,BtcAccount,getAmount,3,1,0,44,0,,
neureal_noo4j-core,org.noo4j.core,BtcAccount,setAmount,3,1,1,48,0,,
neureal_noo4j-core,org.noo4j.core,BtcAccount,getConfirmations,3,1,0,52,0,,
neureal_noo4j-core,org.noo4j.core,BtcAccount,setConfirmations,3,1,1,56,0,,
neureal_noo4j-core,org.noo4j.core,BtcAccount,toString,11,1,0,60,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddedNode,getAddedNode,3,1,0,37,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddedNode,setAddedNode,3,1,1,41,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddedNode,isConnected,3,1,0,45,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddedNode,setConnected,3,1,1,49,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddedNode,getAddresses,3,1,0,53,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddedNode,setAddresses,3,1,1,57,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,isValid,3,1,0,40,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,setValid,3,1,1,44,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,isMine,3,1,0,48,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,setMine,3,1,1,52,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,isScript,3,1,0,56,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,setScript,3,1,1,60,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,getPublicKey,3,1,0,64,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,setPublicKey,3,1,1,68,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,isCompressed,3,1,0,72,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,setCompressed,3,1,1,76,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,getAccount,3,1,0,80,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,setAccount,3,1,1,84,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,getAmount,3,1,0,88,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,setAmount,3,1,1,92,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,getConfirmations,3,1,0,96,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,setConfirmations,3,1,1,100,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddress,toString,23,1,0,104,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddressBase,getAddress,3,1,0,33,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddressBase,setAddress,3,1,1,37,0,,
neureal_noo4j-core,org.noo4j.core,BtcAddressBase,toString,7,1,0,41,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,submitVote,0,1,3,34,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,submitWork,0,1,4,37,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,addMultiSignatureAddress,0,1,3,40,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,addNode,0,1,2,43,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,backupWallet,0,1,1,46,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,createMultiSignatureAddress,0,1,2,48,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,createRawTransaction,0,1,2,51,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,decodeRawTransaction,0,1,1,54,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,dumpPrivateKey,0,1,1,57,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,getAccount,0,1,1,59,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,getAccountAddress,0,1,1,61,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,getAddedNodeInformation,0,1,2,63,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,getAddressesByAccount,0,1,1,66,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,getCoinage,0,1,1,69,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,getBalance,0,1,2,72,0,,
neureal_noo4j-core,org.noo4j.core,BtcApi,getBlock,0,1,1,75,0,,
