Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
neureal_noo4j-core,org.noo4j.core,BtcAccount,4,0,7,7,35,7,0,0,0.0,2,1,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcAccount.java,30
neureal_noo4j-core,org.noo4j.core,BtcAddedNode,4,0,6,6,24,6,0,0,0.5,0,1,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcAddedNode.java,31
neureal_noo4j-core,org.noo4j.core,BtcAddress,9,0,17,17,82,17,0,1,0.0,1,2,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcAddress.java,29
neureal_noo4j-core,org.noo4j.core,BtcAddressBase,2,0,3,3,17,3,2,0,0.0,0,1,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcAddressBase.java,29
neureal_noo4j-core,org.noo4j.core,BtcApi,0,0,64,64,66,64,0,0,-1.0,0,15,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcApi.java,33
neureal_noo4j-core,org.noo4j.core,BtcBlock,8,0,15,15,83,15,0,1,0.0,1,1,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcBlock.java,31
neureal_noo4j-core,org.noo4j.core,BtcBlockBase,7,0,13,13,62,13,2,0,0.0,0,1,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcBlockBase.java,29
neureal_noo4j-core,org.noo4j.core,BtcBlockSubmission,4,1,5,5,27,5,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcBlockSubmission.java,31
neureal_noo4j-core,org.noo4j.core,BtcBlockTemplate,11,2,19,19,112,19,0,1,0.15789473684210525,2,2,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcBlockTemplate.java,30
neureal_noo4j-core,org.noo4j.core,BtcBlockTemplate.Capability,0,0,0,0,9,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcBlockTemplate.java,43
neureal_noo4j-core,org.noo4j.core,BtcBlockTemplate.Mode,0,0,0,0,9,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\neureal_noo4j-core\src\main\java\org\noo4j\core\BtcBlockTemplate.java,55
