Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,Long Parameter List,The method has 7 parameters. ,157
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,Long Parameter List,The method has 6 parameters. ,163
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,Long Parameter List,The method has 5 parameters. ,169
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,submitVote,Long Statement,The length of the statement "JsonArray parameters=Json.createArrayBuilder().add(BtcUtil.notNull(payment)).add(BtcUtil.notNull(tick_count)).add(BtcUtil.notNull(api)).build();" is 144.,221
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,submitWork,Long Statement,The length of the statement "JsonArray parameters=Json.createArrayBuilder().add(BtcUtil.notNull(payment)).add(BtcUtil.notNull(tick_index)).add(BtcUtil.notNull(work)).add(BtcUtil.notNull(api)).build();" is 171.,232
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,addMultiSignatureAddress,Long Identifier,The length of the field BTCAPI_ADD_MULTISIGNATURE_ADDRESS is 33.,249
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,addNode,Long Statement,The length of the statement "JsonArray parameters=Json.createArrayBuilder().add(BtcUtil.notNull(node)).add(String.valueOf(operation).toLowerCase()).build();" is 127.,271
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,createMultiSignatureAddress,Long Identifier,The length of the field BTCAPI_CREATE_MULTISIGNATURE_ADDRESS is 36.,290
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getAddedNodeInformation,Long Identifier,The length of the field BTCAPI_GET_ADDED_NODE_INFORMATION is 33.,378
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getAddressesByAccount,Long Identifier,The length of the field BTCAPI_GET_ADDRESSES_BY_ACCOUNT is 31.,402
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getReceivedByAccount,Long Identifier,The length of the field BTCAPI_GET_RECEIVED_BY_ACCOUNT is 30.,606
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getReceivedByAccount,Long Statement,The length of the statement "JsonArray parameters=Json.createArrayBuilder().add(BtcUtil.notNull(account)).add(BtcUtil.atLeast(minConfirms`1)).build();" is 121.,606
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getReceivedByAddress,Long Identifier,The length of the field BTCAPI_GET_RECEIVED_BY_ADDRESS is 30.,620
