Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
neureal_noo4j-daemon,org.noo4j.daemon,BtcAlertListener,BtcAlertListener,3,1,1,29,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcAlertListener,notifyObservers,6,2,1,33,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcBlockListener,BtcBlockListener,4,1,2,36,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcBlockListener,notifyObservers,15,2,1,41,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,3,1,4,141,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,3,1,3,145,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,3,1,2,149,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,3,1,1,153,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,4,1,7,157,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,4,1,6,163,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,4,1,5,169,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,BtcDaemon,4,1,4,175,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,startListening,11,1,3,180,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getSupportedVersions,3,1,0,192,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getAlertListener,3,1,0,196,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBlockListener,3,1,0,200,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getWalletListener,3,1,0,204,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,stopListening,11,4,0,208,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,submitVote,4,1,3,221,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,submitWork,4,1,4,232,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,addMultiSignatureAddress,3,1,2,244,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,addMultiSignatureAddress,17,5,3,249,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,addNode,4,1,2,271,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,backupWallet,7,2,1,280,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,createMultiSignatureAddress,17,5,2,290,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,createRawTransaction,3,1,1,312,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,createRawTransaction,21,5,2,316,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,decodeRawTransaction,4,1,1,341,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,dumpPrivateKey,4,1,1,350,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getAccount,4,1,1,358,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getAccountAddress,4,1,1,365,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getAddedNodeInformation,3,1,1,373,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getAddedNodeInformation,21,5,2,378,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getAddressesByAccount,12,3,1,402,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getCoinage,3,1,0,419,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getCoinage,6,2,1,423,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBalance,3,1,0,432,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBalance,3,1,1,436,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBalance,3,1,1,440,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBalance,6,2,2,444,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBlock,4,1,1,455,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBlockCount,3,1,0,462,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBlockHash,4,1,1,467,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBlockTemplate,3,1,0,475,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBlockTemplate,3,1,1,479,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getBlockTemplate,17,5,2,484,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getConnectionCount,3,1,0,507,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getDifficulty,3,1,0,512,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getGenerate,3,1,0,517,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getHashesPerSecond,3,1,0,522,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getInformation,3,1,0,527,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getMiningInformation,3,1,0,532,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getNewAddress,3,1,0,537,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getNewAddress,7,2,1,541,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getPeerInformation,11,3,0,551,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getRawMemoryPool,11,3,0,564,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getRawTransaction,3,1,1,577,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getRawTransaction,10,2,2,582,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getReceivedByAccount,3,1,0,598,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getReceivedByAccount,3,1,1,602,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getReceivedByAccount,4,1,2,606,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getReceivedByAddress,3,1,1,616,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getReceivedByAddress,4,1,2,620,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getTransaction,4,1,1,630,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getTransactionOutput,3,1,1,639,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getTransactionOutput,3,1,2,643,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getTransactionOutput,3,1,2,648,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getTransactionOutput,4,1,3,652,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getTransactionOutputSetInformation,3,1,0,660,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getWork,3,1,0,666,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,getWork,15,3,1,670,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,help,3,1,0,687,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,help,4,1,1,691,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,importPrivateKey,3,1,1,698,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,importPrivateKey,3,1,2,702,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,importPrivateKey,3,1,2,706,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,importPrivateKey,4,1,3,710,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,keyPoolRefill,3,1,0,719,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listAccounts,3,1,0,724,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listAccounts,14,3,1,728,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listAddressGroupings,22,5,0,747,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listLockUnspent,11,3,0,772,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listReceivedByAccount,3,1,0,785,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listReceivedByAccount,10,2,2,789,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listReceivedByAddress,3,1,0,804,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listReceivedByAddress,12,3,2,808,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listSinceBlock,3,1,0,825,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listSinceBlock,4,1,2,829,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listTransactions,3,1,0,839,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listTransactions,3,1,1,843,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listTransactions,3,1,2,848,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listTransactions,15,4,3,853,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listUnspent,3,1,0,874,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listUnspent,3,1,1,878,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,listUnspent,12,3,2,882,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,lockUnspent,3,1,0,899,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,lockUnspent,3,1,1,903,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,unlockUnspent,3,1,0,907,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,unlockUnspent,3,1,1,911,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,lockUnspent,14,3,2,915,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,move,3,1,3,932,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,move,4,1,5,937,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,sendFrom,3,1,3,949,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,sendFrom,4,1,6,954,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,sendMany,3,1,2,967,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,sendMany,11,3,4,972,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,sendRawTransaction,4,1,2,990,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,sendRawTransaction,6,1,1,995,0,,
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemon,sendToAddress,3,1,2,1004,0,org.noo4j.daemon.BtcDaemon,org.noo4j.daemon.BtcDaemon
