Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,daemonNotifier,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,addMultiSignatureAddress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,addMultiSignatureAddress,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,addNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,addNode,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,createMultiSignatureAddress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,createMultiSignatureAddress,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,createRawTransaction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,createRawTransaction,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,dumpPrivateKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getAddedNodeInformation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getAddedNodeInformation,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getAddressesByAccount,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getBalance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getBlock,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getBlock,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getBlockHash,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getBlockTemplate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getDifficulty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getInformation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getMiningInformation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getNewAddress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getNewAddress,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getPeerInformation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getPeerInformation,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getRawMemoryPool,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getReceivedByAccount,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getReceivedByAddress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getTransaction,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
neureal_noo4j-daemon,org.noo4j.daemon,BtcDaemonTest,getTransactionOutput,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
