Project Name,Package Name,Architecture Smell,Cause of the Smell
ngladitz_emma,com.vladium.emma.ant,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.vladium.emma.instr
ngladitz_emma,com.vladium.emma.ant,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FileTask; NestedTask; SuppressableTask; VerbosityCfg; XFileSet; FilterTask; GenericCfg; PropertyElement; IANTVersion]; [StringValue]; [VerbosityCfg.VerbosityAttribute]; [IANTVersion._ANTVersion]. LCC (Lack of Component Cohesion) = 0.33
ngladitz_emma,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 7.48. All the dependencies among components: from: com.vladium.emma.ant to: com.vladium.emma.instr; from: com.vladium.emma.ant to: com.vladium.util; from: com.vladium.emma.ant to: com.vladium.emma; from: com.vladium.emma.ant to: com.vladium.logging; from: com.vladium.emma to: com.vladium.emma.instr; from: com.vladium.emma to: com.vladium.emma.report; from: com.vladium.emma to: com.vladium.util; from: com.vladium.emma to: com.vladium.emma.ant; from: com.vladium.emma to: com.vladium.logging; from: com.vladium.emma to: com.vladium.util.args; from: com.vladium.emma to: com.vladium.util.asserts; from: com.vladium.emma to: com.vladium.emma.rt; from: com.vladium.emma.data to: com.vladium.emma.ant; from: com.vladium.emma.data to: com.vladium.util.asserts; from: com.vladium.emma.data to: com.vladium.util; from: com.vladium.emma.data to: com.vladium.emma.instr; from: com.vladium.emma.data to: com.vladium.logging; from: com.vladium.emma.data to: com.vladium.emma; from: com.vladium.emma.data to: com.vladium.util.args; from: com.vladium.emma.data to: com.vladium.util.exception; from: com.vladium.emma.instr to: com.vladium.emma.filter; from: com.vladium.emma.instr to: com.vladium.util; from: com.vladium.emma.instr to: com.vladium.emma.ant; from: com.vladium.emma.instr to: com.vladium.util.asserts; from: com.vladium.emma.instr to: com.vladium.util.args; from: com.vladium.emma.instr to: com.vladium.emma; from: com.vladium.emma.instr to: com.vladium.emma.data; from: com.vladium.emma.instr to: com.vladium.logging; from: com.vladium.emma.instr to: com.vladium.jcd.cls; from: com.vladium.emma.instr to: com.vladium.jcd.parser; from: com.vladium.emma.instr to: com.vladium.jcd.compiler; from: com.vladium.emma.instr to: com.vladium.util.exception; from: com.vladium.emma.instr to: com.vladium.jcd.cls.constant; from: com.vladium.emma.instr to: com.vladium.jcd.lib; from: com.vladium.emma.report to: com.vladium.util; from: com.vladium.emma.report to: com.vladium.emma; from: com.vladium.emma.report to: com.vladium.emma.ant; from: com.vladium.emma.report to: com.vladium.logging; from: com.vladium.emma.report to: com.vladium.emma.data; from: com.vladium.emma.report to: com.vladium.util.asserts; from: com.vladium.emma.report to: com.vladium.util.args; from: com.vladium.emma.report to: com.vladium.util.exception; from: com.vladium.emma.filter to: com.vladium.util; from: com.vladium.emma.report.html.doc to: com.vladium.util.asserts; from: com.vladium.emma.report.html.doc to: com.vladium.util; from: com.vladium.emma.report.html.doc to: com.vladium.emma; from: com.vladium.emma.report.html to: com.vladium.util; from: com.vladium.emma.report.html to: com.vladium.emma.data; from: com.vladium.emma.report.html to: com.vladium.emma.report; from: com.vladium.emma.report.html to: com.vladium.util.asserts; from: com.vladium.emma.report.html to: com.vladium.emma; from: com.vladium.emma.report.txt to: com.vladium.emma.data; from: com.vladium.emma.report.txt to: com.vladium.emma.report; from: com.vladium.emma.report.txt to: com.vladium.util; from: com.vladium.emma.report.txt to: com.vladium.emma; from: com.vladium.emma.report.txt to: com.vladium.util.asserts; from: com.vladium.emma.report.xml to: com.vladium.emma.data; from: com.vladium.emma.report.xml to: com.vladium.emma.report; from: com.vladium.emma.report.xml to: com.vladium.util; from: com.vladium.emma.report.xml to: com.vladium.emma; from: com.vladium.emma.rt to: com.vladium.logging; from: com.vladium.emma.rt to: com.vladium.emma.report; from: com.vladium.emma.rt to: com.vladium.emma.data; from: com.vladium.emma.rt to: com.vladium.util; from: com.vladium.emma.rt to: com.vladium.emma.filter; from: com.vladium.emma.rt to: com.vladium.util.exit; from: com.vladium.emma.rt to: com.vladium.util.asserts; from: com.vladium.emma.rt to: com.vladium.emma; from: com.vladium.emma.rt to: com.vladium.util.exception; from: com.vladium.emma.rt to: com.vladium.emma.instr; from: com.vladium.emma.rt to: com.vladium.jcd.cls; from: com.vladium.emma.rt to: com.vladium.jcd.parser; from: com.vladium.emma.rt to: com.vladium.jcd.compiler; from: com.vladium.jcd.cls to: com.vladium.jcd.lib; from: com.vladium.jcd.cls to: com.vladium.util.asserts; from: com.vladium.jcd.cls to: com.vladium.jcd.cls.attribute; from: com.vladium.jcd.cls to: com.vladium.util; from: com.vladium.jcd.cls to: com.vladium.jcd.cls.constant; from: com.vladium.jcd.cls.attribute to: com.vladium.jcd.cls; from: com.vladium.jcd.cls.attribute to: com.vladium.jcd.lib; from: com.vladium.jcd.cls.attribute to: com.vladium.util; from: com.vladium.jcd.cls.constant to: com.vladium.jcd.cls; from: com.vladium.jcd.cls.constant to: com.vladium.jcd.lib; from: com.vladium.jcd.compiler to: com.vladium.util; from: com.vladium.jcd.compiler to: com.vladium.jcd.cls; from: com.vladium.jcd.compiler to: com.vladium.jcd.lib; from: com.vladium.jcd.lib to: com.vladium.jcd.cls; from: com.vladium.jcd.parser to: com.vladium.jcd.lib; from: com.vladium.jcd.parser to: com.vladium.jcd.cls; from: com.vladium.logging to: com.vladium.util; from: com.vladium.logging to: com.vladium.emma; from: com.vladium.util.args to: com.vladium.util; from: com.vladium.util to: com.vladium.util.asserts; from: com.vladium.util to: com.vladium.jcd.cls; from: com.vladium.util to: com.vladium.logging; from: (default package) to: com.vladium.emma; from: com.vladium.util.exit to: com.vladium.emma; from: com.vladium.util.exit to: com.vladium.util; from: com.vladium.tools to: com.vladium.util; from: com.vladium.tools to: com.vladium.jcd.cls; from: com.vladium.tools to: com.vladium.jcd.parser.
ngladitz_emma,com.vladium.emma,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.vladium.emma.instr; com.vladium.emma.report; com.vladium.emma.ant; com.vladium.emma.rt
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.emma.instr; com.vladium.emma
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.emma.report; com.vladium.emma
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.emma.ant; com.vladium.emma
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.logging; com.vladium.emma
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.emma.rt; com.vladium.emma
ngladitz_emma,com.vladium.emma,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.vladium.emma; com.vladium.emma.rt; com.vladium.util.exit; com.vladium.emma
