Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ngladitz_emma,com.vladium.emma.ant,FileTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ngladitz_emma,com.vladium.emma.ant,FileTask,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): NestedTask
ngladitz_emma,com.vladium.emma.ant,FilterTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ngladitz_emma,com.vladium.emma.ant,FilterTask,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): NestedTask
ngladitz_emma,com.vladium.emma.ant,GenericCfg,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: GenericCfg; SuppressableTask
ngladitz_emma,com.vladium.emma.ant,StringValue,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ngladitz_emma,com.vladium.emma.ant,VerbosityCfg.VerbosityAttribute,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: VALUES
ngladitz_emma,com.vladium.emma.ant,VerbosityCfg.VerbosityAttribute,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ngladitz_emma,com.vladium.emma.ant,IANTVersion._ANTVersion,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: _ANT_1_5_PLUS
ngladitz_emma,com.vladium.emma.ant,IANTVersion._ANTVersion,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ngladitz_emma,com.vladium.emma,ANTMain,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ngladitz_emma,com.vladium.emma,emmajavaTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ngladitz_emma,com.vladium.emma,emmajavaTask,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
ngladitz_emma,com.vladium.emma,emmaTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ngladitz_emma,com.vladium.emma,AppLoggers,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PREFIX_VERBOSITY; PROPERTY_VERBOSITY_LEVEL; DEFAULT_VERBOSITY_LEVEL; PROPERTY_VERBOSITY_FILTER; COMMA_DELIMITERS
ngladitz_emma,com.vladium.emma,AppLoggers,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Logger; AppLoggers
ngladitz_emma,com.vladium.emma,Command,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: runCommand
ngladitz_emma,com.vladium.emma,EMMAException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
