Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
ngladitz_emma,com.vladium.emma.ant,FileTask,addInfileset,3,2,1,51,0,,
ngladitz_emma,com.vladium.emma.ant,FileTask,addFileset,3,2,1,56,0,,
ngladitz_emma,com.vladium.emma.ant,FileTask,FileTask,4,1,1,77,0,,
ngladitz_emma,com.vladium.emma.ant,FileTask,getDataPath,18,4,1,86,0,,
ngladitz_emma,com.vladium.emma.ant,FilterTask,init,4,1,0,29,0,,
ngladitz_emma,com.vladium.emma.ant,FilterTask,setFilter,3,1,1,39,0,,
ngladitz_emma,com.vladium.emma.ant,FilterTask,createFilter,3,1,0,44,0,,
ngladitz_emma,com.vladium.emma.ant,FilterTask,FilterTask,3,1,1,52,0,,
ngladitz_emma,com.vladium.emma.ant,FilterTask,getFilterSpecs,3,1,0,58,0,,
ngladitz_emma,com.vladium.emma.ant,GenericCfg,GenericCfg,5,2,1,41,0,,
ngladitz_emma,com.vladium.emma.ant,GenericCfg,setProperties,3,1,1,52,0,,
ngladitz_emma,com.vladium.emma.ant,GenericCfg,createProperty,6,1,0,59,0,,
ngladitz_emma,com.vladium.emma.ant,GenericCfg,getFileSettings,14,2,0,71,0,,
ngladitz_emma,com.vladium.emma.ant,GenericCfg,getGenericSettings,24,6,0,94,0,,
ngladitz_emma,com.vladium.emma.ant,NestedTask,NestedTask,4,2,1,25,0,,
ngladitz_emma,com.vladium.emma.ant,NestedTask,getTaskSettings,9,2,0,33,0,,
ngladitz_emma,com.vladium.emma.ant,PropertyElement,PropertyElement,2,1,0,21,0,,
ngladitz_emma,com.vladium.emma.ant,PropertyElement,getName,3,1,0,27,0,,
ngladitz_emma,com.vladium.emma.ant,PropertyElement,getValue,3,1,0,32,0,,
ngladitz_emma,com.vladium.emma.ant,PropertyElement,setName,3,1,1,37,0,,
ngladitz_emma,com.vladium.emma.ant,PropertyElement,setValue,3,1,1,42,0,,
ngladitz_emma,com.vladium.emma.ant,StringValue,appendValue,11,3,2,23,0,,
ngladitz_emma,com.vladium.emma.ant,StringValue,getValue,3,1,0,39,0,,
ngladitz_emma,com.vladium.emma.ant,StringValue,StringValue,4,2,1,47,0,,
