Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
nikit-cpp_VkCachingPlayer,config,Config,getGroupNames,3,1,0,10,0,,
nikit-cpp_VkCachingPlayer,config,Config,setGroupNames,3,1,1,14,0,,
nikit-cpp_VkCachingPlayer,config,Config,getCacheFolder,3,1,0,18,0,,
nikit-cpp_VkCachingPlayer,config,Config,setCacheFolder,3,1,1,22,0,,
nikit-cpp_VkCachingPlayer,config,Config,getSearchFileOnDisk,3,1,0,26,0,,
nikit-cpp_VkCachingPlayer,config,Config,setSearchFileOnDisk,3,1,1,30,0,,
nikit-cpp_VkCachingPlayer,config,ConfigTest,setUp,2,1,0,19,0,,
nikit-cpp_VkCachingPlayer,config,ConfigTest,tearDown,2,1,0,23,0,,
nikit-cpp_VkCachingPlayer,config,ConfigTest,testGetInjected,8,1,0,27,1,,
nikit-cpp_VkCachingPlayer,events,DownloadEvent,DownloadEvent,4,1,1,12,0,,
nikit-cpp_VkCachingPlayer,events,DownloadEvent,getSong,3,1,0,17,0,,
nikit-cpp_VkCachingPlayer,events,DownloadFinished,DownloadFinished,3,1,1,9,0,,
nikit-cpp_VkCachingPlayer,events,DownloadFinished,getSong,3,1,0,13,0,,
nikit-cpp_VkCachingPlayer,events,PlayIntent,PlayIntent,3,1,1,7,0,,
nikit-cpp_VkCachingPlayer,events,PlayIntent,getSong,3,1,0,10,0,,
nikit-cpp_VkCachingPlayer,events,PlayPauseEvent,PlayPauseEvent,2,1,0,4,0,,
nikit-cpp_VkCachingPlayer,events,PlayStarted,PlayStarted,3,1,1,7,0,,
nikit-cpp_VkCachingPlayer,events,PlayStarted,getSong,3,1,0,13,0,,
nikit-cpp_VkCachingPlayer,events,PlayStopped,PlayStopped,4,1,1,6,0,,
nikit-cpp_VkCachingPlayer,events,PlayStopped,getSong,3,1,0,13,0,,
nikit-cpp_VkCachingPlayer,events,ProgressEvent,ProgressEvent,4,1,2,8,0,,
nikit-cpp_VkCachingPlayer,events,ProgressEvent,getAvailable,3,1,0,12,0,,
nikit-cpp_VkCachingPlayer,events,ProgressEvent,getSong,3,1,0,15,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,MainWindow,114,6,0,93,0,gui.MainWindow,gui.MainWindow
nikit-cpp_VkCachingPlayer,gui,MainWindow,actionPerformed,3,1,1,146,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,actionPerformed,3,1,1,154,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,actionPerformed,3,1,1,162,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,mouseReleased,2,1,1,175,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,mousePressed,2,1,1,178,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,mouseExited,2,1,1,181,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,mouseEntered,2,1,1,184,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,mouseClicked,8,2,1,187,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,actionPerformed,3,1,1,207,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,main,4,1,1,235,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,getInstance,3,1,0,241,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,initNonGui,10,1,0,245,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,onPlayStarted,12,1,1,258,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,run,4,1,0,266,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,onPlayStopped,14,1,1,273,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,run,8,1,0,278,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,onDownload,14,1,1,289,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,run,6,1,0,296,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,onPlaying,30,2,1,309,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,run,23,2,0,316,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,onPaused,9,2,1,347,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,run,4,2,0,352,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,getEventBus,3,1,0,363,0,,
nikit-cpp_VkCachingPlayer,gui,MainWindow,getPlayerService,3,1,0,366,0,,
nikit-cpp_VkCachingPlayer,player,CustomPlayer,CustomPlayer,10,1,0,36,0,,
nikit-cpp_VkCachingPlayer,player,CustomPlayer,CustomPlayer,13,1,1,47,0,player.CustomPlayer,player.CustomPlayer
nikit-cpp_VkCachingPlayer,player,CustomPlayer,canResume,3,1,0,61,0,,
nikit-cpp_VkCachingPlayer,player,CustomPlayer,pause,14,2,0,65,0,,
nikit-cpp_VkCachingPlayer,player,CustomPlayer,stop,13,2,0,81,0,,
nikit-cpp_VkCachingPlayer,player,CustomPlayer,resume,4,3,0,96,0,player.CustomPlayer,player.CustomPlayer
nikit-cpp_VkCachingPlayer,player,CustomPlayer,play,36,2,1,103,0,player.CustomPlayer,player.CustomPlayer
nikit-cpp_VkCachingPlayer,player,CustomPlayer,run,15,1,0,115,0,player.CustomPlayer,player.CustomPlayer
nikit-cpp_VkCachingPlayer,player,CustomPlayer,startStatusThread,21,3,0,140,0,player.CustomPlayer,player.CustomPlayer
nikit-cpp_VkCachingPlayer,player,CustomPlayer,run,15,3,0,143,0,player.CustomPlayer,player.CustomPlayer
nikit-cpp_VkCachingPlayer,player,CustomPlayer,play,4,1,1,163,0,player.CustomPlayer,player.CustomPlayer
nikit-cpp_VkCachingPlayer,player,CustomPlayer,post,3,2,1,168,0,,
nikit-cpp_VkCachingPlayer,player,CustomPlayer,getState,3,1,0,173,0,,
nikit-cpp_VkCachingPlayer,player,CustomPlayerRunner,main,12,1,1,6,0,,
nikit-cpp_VkCachingPlayer,player,Player,play,0,1,1,6,0,,
nikit-cpp_VkCachingPlayer,player,Player,pause,0,1,0,7,0,,
nikit-cpp_VkCachingPlayer,player,Player,stop,0,1,0,8,0,,
nikit-cpp_VkCachingPlayer,player,Player,getState,0,1,0,9,0,,
nikit-cpp_VkCachingPlayer,player,Player,resume,0,1,0,10,0,,
nikit-cpp_VkCachingPlayer,service,DownloadService,getDestFile,5,1,1,35,0,,
nikit-cpp_VkCachingPlayer,service,DownloadService,download,32,3,1,41,0,service.DownloadService,service.DownloadService
nikit-cpp_VkCachingPlayer,service,DownloadService,getConfig,3,1,0,78,0,,
nikit-cpp_VkCachingPlayer,service,DownloadService,setConfig,3,1,1,82,0,,
nikit-cpp_VkCachingPlayer,service,DownloadService,setEventBus,3,1,1,86,0,,
nikit-cpp_VkCachingPlayer,service,DownloadService,getEventBus,3,1,0,90,0,,
nikit-cpp_VkCachingPlayer,service,DownloadService,updateFilesInPlayList,8,3,1,94,0,service.DownloadService,service.DownloadService
nikit-cpp_VkCachingPlayer,service,DownloadServiceException,DownloadServiceException,3,1,1,7,0,,
nikit-cpp_VkCachingPlayer,service,DownloadServiceException,DownloadServiceException,3,1,2,11,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,play,15,3,1,40,0,service.PlayerService,service.PlayerService
nikit-cpp_VkCachingPlayer,service,PlayerService,play,11,1,1,58,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,onPlayingProgress,6,2,1,69,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,playAfterDownloadFinished,4,1,1,79,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,onPlayFinished,11,2,1,86,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,next,7,2,1,99,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,onPause,12,2,1,109,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,prev,7,2,1,123,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,onStop,5,1,1,133,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,getPlayer,3,1,0,142,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,setPlayer,3,1,1,146,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,getPlayList,3,1,0,150,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,setPlayList,3,1,1,154,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,getEventBus,3,1,0,158,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,setEventBus,3,1,1,162,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,getSongMaxSize,3,1,0,166,0,,
nikit-cpp_VkCachingPlayer,service,PlayerService,getPaused,3,1,0,170,0,,
nikit-cpp_VkCachingPlayer,service,PlayerServiceException,PlayerServiceException,3,1,1,7,0,,
nikit-cpp_VkCachingPlayer,service,PlayerServiceException,PlayerServiceException,3,1,2,11,0,,
nikit-cpp_VkCachingPlayer,utils,IOHelper,toFileSystemSafeName,4,1,1,4,0,,
nikit-cpp_VkCachingPlayer,utils,IOHelperTest,setUp,2,1,0,11,0,,
nikit-cpp_VkCachingPlayer,utils,IOHelperTest,tearDown,2,1,0,15,0,,
nikit-cpp_VkCachingPlayer,utils,IOHelperTest,test1,3,1,0,19,1,,
nikit-cpp_VkCachingPlayer,utils,IOHelperTest,test2,3,1,0,24,1,,
nikit-cpp_VkCachingPlayer,utils,IOHelperTest,test3,3,1,0,29,1,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,setUp,9,1,0,43,0,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,tearDown,3,1,0,55,0,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,testPlayFirstSong,7,1,0,60,1,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,testPlaySecondSongAfterFirst,14,1,0,80,1,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,testPlayThirdSongAfterSecondAfterFirst,16,1,0,99,1,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,testBugPlaySecondSongAfterFirst,13,1,0,122,1,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,testManuallyRePlay,12,1,0,139,1,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,onDownload,6,1,1,164,0,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,onPlay,7,1,1,173,0,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,onPlayFinished,4,1,1,183,0,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,next,3,1,1,189,0,,
nikit-cpp_VkCachingPlayer,megatest,GUITestIT,download,3,1,1,194,0,,
nikit-cpp_VkCachingPlayer,megatest,RunVkEmulator,setUp,2,1,0,14,0,,
nikit-cpp_VkCachingPlayer,megatest,RunVkEmulator,tearDown,2,1,0,18,0,,
nikit-cpp_VkCachingPlayer,megatest,RunVkEmulator,test,7,1,0,22,1,,
nikit-cpp_VkCachingPlayer,megatest,ShowWindow,setUpOnce,5,1,0,51,0,,
nikit-cpp_VkCachingPlayer,megatest,ShowWindow,kill,3,1,0,58,0,,
nikit-cpp_VkCachingPlayer,megatest,ShowWindow,setUp,12,1,0,65,0,,
nikit-cpp_VkCachingPlayer,megatest,ShowWindow,executeInEDT,4,1,0,68,0,,
nikit-cpp_VkCachingPlayer,megatest,ShowWindow,tearDown,6,1,0,78,0,,
