Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
noelmkawano_digits,controllers,Application,index,3,1,0,19,0,,
noelmkawano_digits,controllers,Application,newContact,6,1,1,28,0,,
noelmkawano_digits,controllers,Application,postContact,13,2,0,41,0,,
noelmkawano_digits,(default package),Global,onStart,7,1,1,11,0,,
noelmkawano_digits,models,Contact,Contact,8,1,6,14,0,,
noelmkawano_digits,models,Contact,getFirstName,3,1,0,33,0,,
noelmkawano_digits,models,Contact,getLastName,3,1,0,42,0,,
noelmkawano_digits,models,Contact,getTelephone,3,1,0,51,0,,
noelmkawano_digits,models,Contact,getAddress,3,1,0,60,0,,
noelmkawano_digits,models,Contact,getId,3,1,0,69,0,,
noelmkawano_digits,models,Contact,getTelephoneType,3,1,0,78,0,,
noelmkawano_digits,models,ContactDB,addContact,5,1,1,17,0,,
noelmkawano_digits,models,ContactDB,getContact,7,2,1,29,0,,
noelmkawano_digits,models,ContactDB,getContacts,3,1,0,42,0,,
noelmkawano_digits,views.formdata,ContactFormData,ContactFormData,2,1,0,38,0,,
noelmkawano_digits,views.formdata,ContactFormData,ContactFormData,8,1,1,45,0,,
noelmkawano_digits,views.formdata,ContactFormData,ContactFormData,7,1,5,58,0,,
noelmkawano_digits,views.formdata,ContactFormData,validate,25,8,0,74,0,,
noelmkawano_digits,views.formdata,TelephoneTypes,getTypes,7,2,0,13,0,,
noelmkawano_digits,views.formdata,TelephoneTypes,isType,3,1,1,25,0,views.formdata.TelephoneTypes,views.formdata.TelephoneTypes
noelmkawano_digits,views.formdata,TelephoneTypes,getTypes,7,2,1,34,0,views.formdata.TelephoneTypes,views.formdata.TelephoneTypes
noelmkawano_digits,tests,IntegrationTest,testRetrieveIndexPage,11,1,0,23,1,,
noelmkawano_digits,tests,IntegrationTest,invoke,6,1,1,29,0,,
noelmkawano_digits,tests,IntegrationTest,testCreateNewContact,20,1,0,39,1,,
noelmkawano_digits,tests,IntegrationTest,invoke,15,1,1,45,0,,
noelmkawano_digits,tests.pages,IndexPage,IndexPage,4,1,2,15,0,,
noelmkawano_digits,tests.pages,IndexPage,getUrl,3,1,0,25,0,,
noelmkawano_digits,tests.pages,IndexPage,isAt,3,1,0,30,0,,
noelmkawano_digits,tests.pages,IndexPage,hasContacts,7,1,5,36,0,,
noelmkawano_digits,tests.pages,NewContactPage,NewContactPage,4,1,2,16,0,,
noelmkawano_digits,tests.pages,NewContactPage,getUrl,3,1,0,26,0,,
noelmkawano_digits,tests.pages,NewContactPage,isAt,3,1,0,31,0,,
noelmkawano_digits,tests.pages,NewContactPage,createContact,8,1,5,37,0,,
