Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
prachiyshah_CoreNettyProject,eye,Comm,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UKNOWN_VALUE; SUCCESS_VALUE; NOFOUND_VALUE; NOINCOMPLETE_VALUE; NOAUTH_VALUE; NOCONNECTION_VALUE; NOREACHABLE_VALUE; NORESOURCE_VALUE; FAILURE_VALUE; internalValueMap; VALUES; index; value; defaultInstance; unknownFields; PARSER; NODE_VALUE; VALUE_VALUE; internalValueMap; VALUES; index; value; bitField0_; NODE_TYPE_FIELD_NUMBER; nodeType_; NAME_FIELD_NUMBER; name_; VALUE_FIELD_NUMBER; value_; NODE_FIELD_NUMBER; node_; FILE_BYTE_FIELD_NUMBER; fileByte_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nodeType_; name_; value_; node_; nodeBuilder_; fileByte_; defaultInstance; unknownFields; PARSER; bitField0_; NS_ID_FIELD_NUMBER; nsId_; NAME_FIELD_NUMBER; name_; DESC_FIELD_NUMBER; desc_; CREATED_FIELD_NUMBER; created_; LAST_MODIFIED_FIELD_NUMBER; lastModified_; OWNER_FIELD_NUMBER; owner_; PROPERTIES_FIELD_NUMBER; properties_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nsId_; name_; desc_; created_; lastModified_; owner_; properties_; propertiesBuilder_; defaultInstance; unknownFields; PARSER; JOBUNKNOWN_VALUE; JOBRECEIVED_VALUE; JOBQUEUED_VALUE; JOBRUNNING_VALUE; JOBKILLED_VALUE; JOBFAILED_VALUE; internalValueMap; VALUES; index; value; bitField0_; NAME_SPACE_FIELD_NUMBER; nameSpace_; OWNER_ID_FIELD_NUMBER; ownerId_; JOB_ID_FIELD_NUMBER; jobId_; STATUS_FIELD_NUMBER; status_; OPTIONS_FIELD_NUMBER; options_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nameSpace_; ownerId_; jobId_; status_; options_; optionsBuilder_; defaultInstance; unknownFields; PARSER; bitField0_; NUMBER_FIELD_NUMBER; number_; TAG_FIELD_NUMBER; tag_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; number_; tag_; defaultInstance; unknownFields; PARSER; ADDSPACE_VALUE; UPDATESPACE_VALUE; REMOVESPACE_VALUE; LISTSPACES_VALUE; internalValueMap; VALUES; index; value; bitField0_; ACTION_FIELD_NUMBER; action_; NS_ID_FIELD_NUMBER; nsId_; DATA_FIELD_NUMBER; data_; OPTIONS_FIELD_NUMBER; options_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; action_; nsId_; data_; dataBuilder_; options_; optionsBuilder_; defaultInstance; unknownFields; PARSER; bitField0_; STATUS_FIELD_NUMBER; status_; DATA_FIELD_NUMBER; data_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; status_; data_; dataBuilder_; defaultInstance; unknownFields; PARSER; ADDJOB_VALUE; STOPJOB_VALUE; REMOVEJOB_VALUE; LISTJOBS_VALUE; internalValueMap; VALUES; index; value; bitField0_; ACTION_FIELD_NUMBER; action_; JOB_ID_FIELD_NUMBER; jobId_; DATA_FIELD_NUMBER; data_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; action_; jobId_; data_; dataBuilder_; defaultInstance; unknownFields; PARSER; bitField0_; NAME_SPACE_FIELD_NUMBER; nameSpace_; OWNER_ID_FIELD_NUMBER; ownerId_; JOB_ID_FIELD_NUMBER; jobId_; WEIGHT_FIELD_NUMBER; weight_; OPTIONS_FIELD_NUMBER; options_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nameSpace_; ownerId_; jobId_; weight_; options_; optionsBuilder_; defaultInstance; unknownFields; PARSER; bitField0_; NAME_SPACE_FIELD_NUMBER; nameSpace_; OWNER_ID_FIELD_NUMBER; ownerId_; JOB_ID_FIELD_NUMBER; jobId_; BID_FIELD_NUMBER; bid_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nameSpace_; ownerId_; jobId_; bid_; defaultInstance; unknownFields; PARSER; bitField0_; JOB_ID_FIELD_NUMBER; jobId_; STATUS_FIELD_NUMBER; status_; JOB_STATE_FIELD_NUMBER; jobState_; DATA_FIELD_NUMBER; data_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; jobId_; status_; jobState_; data_; dataBuilder_; defaultInstance; unknownFields; PARSER; bitField0_; NODE_FIELD_NUMBER; node_; TIME_FIELD_NUMBER; time_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; node_; time_; defaultInstance; unknownFields; PARSER; PING_VALUE; NAMESPACES_VALUE; JOBS_VALUE; REPORTS_VALUE; MANAGE_VALUE; internalValueMap; VALUES; index; value; bitField0_; ROUTING_ID_FIELD_NUMBER; routingId_; ORIGINATOR_FIELD_NUMBER; originator_; TAG_FIELD_NUMBER; tag_; TIME_FIELD_NUMBER; time_; REPLY_CODE_FIELD_NUMBER; replyCode_; REPLY_MSG_FIELD_NUMBER; replyMsg_; PATH_FIELD_NUMBER; path_; TONODE_FIELD_NUMBER; toNode_; OPTIONS_FIELD_NUMBER; options_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; routingId_; originator_; tag_; time_; replyCode_; replyMsg_; path_; pathBuilder_; toNode_; options_; optionsBuilder_; defaultInstance; unknownFields; PARSER; bitField0_; PING_FIELD_NUMBER; ping_; SPACE_OP_FIELD_NUMBER; spaceOp_; JOB_OP_FIELD_NUMBER; jobOp_; JOB_STATUS_FIELD_NUMBER; jobStatus_; SPACE_STATUS_FIELD_NUMBER; spaceStatus_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; ping_; pingBuilder_; spaceOp_; spaceOpBuilder_; jobOp_; jobOpBuilder_; jobStatus_; jobStatusBuilder_; spaceStatus_; spaceStatusBuilder_; defaultInstance; unknownFields; PARSER; bitField0_; HEADER_FIELD_NUMBER; header_; BODY_FIELD_NUMBER; body_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; header_; headerBuilder_; body_; bodyBuilder_; defaultInstance; unknownFields; PARSER; bitField0_; NODE_ID_FIELD_NUMBER; nodeId_; TIME_REF_FIELD_NUMBER; timeRef_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nodeId_; timeRef_; defaultInstance; unknownFields; PARSER; NODEJOIN_VALUE; NODELEAVE_VALUE; NODEDEAD_VALUE; CREATEMAP_VALUE; ANNOUNCE_VALUE; SHUTDOWN_VALUE; internalValueMap; VALUES; index; value; bitField0_; NODE_ID_FIELD_NUMBER; nodeId_; ACTION_FIELD_NUMBER; action_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nodeId_; action_; defaultInstance; unknownFields; PARSER; ELECTION_VALUE; NOMINATE_VALUE; ABSTAIN_VALUE; DECLAREWINNER_VALUE; DECLAREVOID_VALUE; internalValueMap; VALUES; index; value; bitField0_; NODE_ID_FIELD_NUMBER; nodeId_; BALLOT_ID_FIELD_NUMBER; ballotId_; DESC_FIELD_NUMBER; desc_; VOTE_FIELD_NUMBER; vote_; EXPIRES_FIELD_NUMBER; expires_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nodeId_; ballotId_; desc_; vote_; expires_; defaultInstance; unknownFields; PARSER; bitField0_; GRAPH_FIELD_NUMBER; graph_; BEAT_FIELD_NUMBER; beat_; ELECTION_FIELD_NUMBER; election_; JOB_PROPOSE_FIELD_NUMBER; jobPropose_; JOB_BID_FIELD_NUMBER; jobBid_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; graph_; graphBuilder_; beat_; beatBuilder_; election_; electionBuilder_; jobPropose_; jobProposeBuilder_; jobBid_; jobBidBuilder_; internal_static_NameValueSet_descriptor; internal_static_NameValueSet_fieldAccessorTable; internal_static_NameSpace_descriptor; internal_static_NameSpace_fieldAccessorTable; internal_static_JobDesc_descriptor; internal_static_JobDesc_fieldAccessorTable; internal_static_Ping_descriptor; internal_static_Ping_fieldAccessorTable; internal_static_NameSpaceOperation_descriptor; internal_static_NameSpaceOperation_fieldAccessorTable; internal_static_NameSpaceStatus_descriptor; internal_static_NameSpaceStatus_fieldAccessorTable; internal_static_JobOperation_descriptor; internal_static_JobOperation_fieldAccessorTable; internal_static_JobProposal_descriptor; internal_static_JobProposal_fieldAccessorTable; internal_static_JobBid_descriptor; internal_static_JobBid_fieldAccessorTable; internal_static_JobStatus_descriptor; internal_static_JobStatus_fieldAccessorTable; internal_static_RoutingPath_descriptor; internal_static_RoutingPath_fieldAccessorTable; internal_static_Header_descriptor; internal_static_Header_fieldAccessorTable; internal_static_Payload_descriptor; internal_static_Payload_fieldAccessorTable; internal_static_Request_descriptor; internal_static_Request_fieldAccessorTable; internal_static_Heartbeat_descriptor; internal_static_Heartbeat_fieldAccessorTable; internal_static_Network_descriptor; internal_static_Network_fieldAccessorTable; internal_static_LeaderElection_descriptor; internal_static_LeaderElection_fieldAccessorTable; internal_static_Management_descriptor; internal_static_Management_fieldAccessorTable; descriptor
prachiyshah_CoreNettyProject,eye,Comm.PokeStatus,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
prachiyshah_CoreNettyProject,eye,Comm.PokeStatus,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UKNOWN_VALUE; SUCCESS_VALUE; NOFOUND_VALUE; NOINCOMPLETE_VALUE; NOAUTH_VALUE; NOCONNECTION_VALUE; NOREACHABLE_VALUE; NORESOURCE_VALUE; FAILURE_VALUE; internalValueMap; VALUES; index; value
prachiyshah_CoreNettyProject,eye,Comm.PokeStatus,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: UKNOWN_VALUE; SUCCESS_VALUE; NOFOUND_VALUE; NOINCOMPLETE_VALUE; NOAUTH_VALUE; NOCONNECTION_VALUE; NOREACHABLE_VALUE; NORESOURCE_VALUE; FAILURE_VALUE; internalValueMap; VALUES; index; value
prachiyshah_CoreNettyProject,eye,Comm.NameValueSetOrBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
prachiyshah_CoreNettyProject,eye,Comm.NameValueSet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
prachiyshah_CoreNettyProject,eye,Comm.NameValueSet,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: defaultInstance; unknownFields; PARSER; NODE_VALUE; VALUE_VALUE; internalValueMap; VALUES; index; value; bitField0_; NODE_TYPE_FIELD_NUMBER; nodeType_; NAME_FIELD_NUMBER; name_; VALUE_FIELD_NUMBER; value_; NODE_FIELD_NUMBER; node_; FILE_BYTE_FIELD_NUMBER; fileByte_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nodeType_; name_; value_; node_; nodeBuilder_; fileByte_
prachiyshah_CoreNettyProject,eye,Comm.NameValueSet,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: defaultInstance; unknownFields; PARSER; NODE_VALUE; VALUE_VALUE; internalValueMap; VALUES; index; value; bitField0_; NODE_TYPE_FIELD_NUMBER; nodeType_; NAME_FIELD_NUMBER; name_; VALUE_FIELD_NUMBER; value_; NODE_FIELD_NUMBER; node_; FILE_BYTE_FIELD_NUMBER; fileByte_; memoizedIsInitialized; memoizedSerializedSize; serialVersionUID; bitField0_; nodeType_; name_; value_; node_; nodeBuilder_; fileByte_
prachiyshah_CoreNettyProject,eye,Comm.NodeType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
prachiyshah_CoreNettyProject,eye,Comm.NodeType,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NODE_VALUE; VALUE_VALUE; internalValueMap; VALUES; index; value
