Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Complex Method,Cyclomatic complexity of the method is 10,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Magic Number,The method contains a magic number: 2,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Magic Number,The method contains a magic number: 100,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Magic Number,The method contains a magic number: 101,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Magic Number,The method contains a magic number: 102,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Magic Number,The method contains a magic number: 103,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Magic Number,The method contains a magic number: 104,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Magic Number,The method contains a magic number: 105,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Magic Number,The method contains a magic number: 199,99
prachiyshah_CoreNettyProject,eye,Comm,valueOf,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@23857b9a,99
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_NameValueSet_descriptor is 39.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_NameValueSet_fieldAccessorTable is 47.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_NameSpace_descriptor is 36.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_NameSpace_fieldAccessorTable is 44.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_JobDesc_descriptor is 34.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_JobDesc_fieldAccessorTable is 42.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_Ping_descriptor is 31.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_Ping_fieldAccessorTable is 39.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_NameSpaceOperation_descriptor is 45.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_NameSpaceOperation_fieldAccessorTable is 53.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_NameSpaceStatus_descriptor is 42.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_NameSpaceStatus_fieldAccessorTable is 50.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_JobOperation_descriptor is 39.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_JobOperation_fieldAccessorTable is 47.,20099
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,Long Identifier,The length of the field internal_static_JobProposal_descriptor is 38.,20099
