Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
prachiyshah_CoreNettyProject,eye,Comm,Comm,2,1,0,7,0,,
prachiyshah_CoreNettyProject,eye,Comm,registerAllExtensions,2,1,1,8,0,,
prachiyshah_CoreNettyProject,eye,Comm,getNumber,3,1,0,97,0,,
prachiyshah_CoreNettyProject,eye,Comm,valueOf,0,10,1,99,0,,
prachiyshah_CoreNettyProject,eye,Comm,internalGetValueMap,3,1,0,114,0,,
prachiyshah_CoreNettyProject,eye,Comm,findValueByNumber,3,1,1,121,0,,
prachiyshah_CoreNettyProject,eye,Comm,getValueDescriptor,3,1,0,126,0,,
prachiyshah_CoreNettyProject,eye,Comm,getDescriptorForType,3,1,0,130,0,,
prachiyshah_CoreNettyProject,eye,Comm,getDescriptor,3,1,0,134,0,eye.Comm,eye.Comm
prachiyshah_CoreNettyProject,eye,Comm,valueOf,6,2,1,141,0,,
prachiyshah_CoreNettyProject,eye,Comm,PokeStatus,4,1,2,153,0,,
prachiyshah_CoreNettyProject,eye,Comm,getDescriptor,3,1,0,20020,0,,
prachiyshah_CoreNettyProject,eye,Comm,assignDescriptors,40,1,1,20099,0,eye.Comm,eye.Comm
prachiyshah_CoreNettyProject,misc,LoggingOptions,LoggingOptions,2,1,0,12,0,,
prachiyshah_CoreNettyProject,misc,LoggingOptions,sample,9,1,0,15,0,,
prachiyshah_CoreNettyProject,misc,LoggingOptions,main,2,1,1,27,0,,
prachiyshah_CoreNettyProject,poke.broadcast,BroadcastLeader,BroadcastLeader,3,1,1,27,0,,
prachiyshah_CoreNettyProject,poke.broadcast,BroadcastLeader,run,21,2,0,32,0,,
prachiyshah_CoreNettyProject,poke.broadcast,BroadcastLeader,terminateBroadcast,3,1,0,64,0,,
prachiyshah_CoreNettyProject,poke.broadcast.management,BroadcastHandler,channelRead0,3,1,2,13,0,,
prachiyshah_CoreNettyProject,poke.broadcast.management,BroadcastHandler,exceptionCaught,3,1,2,21,0,,
prachiyshah_CoreNettyProject,poke.client,ClientCommand,ClientCommand,5,1,2,45,0,poke.client.ClientCommand,poke.client.ClientCommand
prachiyshah_CoreNettyProject,poke.client,ClientCommand,init,3,1,0,52,0,,
prachiyshah_CoreNettyProject,poke.client,ClientCommand,addListener,3,1,1,56,0,,
prachiyshah_CoreNettyProject,poke.client,ClientCommand,poke,22,1,2,66,0,,
prachiyshah_CoreNettyProject,poke.client,ClientPrintListener,ClientPrintListener,3,1,1,36,0,,
prachiyshah_CoreNettyProject,poke.client,ClientPrintListener,getListenerID,3,1,0,40,0,,
prachiyshah_CoreNettyProject,poke.client,ClientPrintListener,onMessage,12,6,1,45,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommConnection,CommConnection,5,1,2,59,0,poke.client.comm.CommConnection,poke.client.comm.CommConnection
prachiyshah_CoreNettyProject,poke.client.comm,CommConnection,release,3,1,0,73,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommConnection,sendMessage,3,1,1,80,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommConnection,addListener,8,1,1,93,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommConnection,init,22,1,0,108,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommConnection,connect,7,3,0,141,0,poke.client.comm.CommConnection,poke.client.comm.CommConnection
prachiyshah_CoreNettyProject,poke.client.comm,CommHandler,CommHandler,2,1,0,37,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommHandler,send,8,2,2,40,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommHandler,addListener,4,2,1,60,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommHandler,channelRead0,6,2,2,77,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommInitializer,CommInitializer,4,1,2,19,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommInitializer,initChannel,12,2,1,24,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommListener,getListenerID,0,1,0,19,0,,
prachiyshah_CoreNettyProject,poke.client.comm,CommListener,onMessage,0,1,1,26,0,,
prachiyshah_CoreNettyProject,poke.client.util,ClientUtil,printJob,16,6,1,11,0,,
prachiyshah_CoreNettyProject,poke.client.util,ClientUtil,printPing,7,2,1,33,0,,
prachiyshah_CoreNettyProject,poke.client.util,ClientUtil,printHeader,11,2,1,42,0,,
prachiyshah_CoreNettyProject,poke.debug,DebugFrameDecoder,DebugFrameDecoder,3,1,5,23,0,,
prachiyshah_CoreNettyProject,poke.debug,DebugFrameDecoder,decode,21,4,2,28,0,,
prachiyshah_CoreNettyProject,poke.demo,Jab,Jab,3,1,1,32,0,,
prachiyshah_CoreNettyProject,poke.demo,Jab,run,9,2,0,36,0,,
prachiyshah_CoreNettyProject,poke.demo,Jab,main,12,1,1,47,0,poke.demo.Jab,poke.demo.Jab
prachiyshah_CoreNettyProject,poke.demo,Monitor,main,17,2,1,34,0,,
prachiyshah_CoreNettyProject,poke.demo,Route,Route,3,1,1,32,0,,
prachiyshah_CoreNettyProject,poke.demo,Route,run,9,2,0,36,0,,
prachiyshah_CoreNettyProject,poke.demo,Route,main,12,1,1,47,0,poke.demo.Route,poke.demo.Route
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,HeartMonitor,6,1,3,71,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,getHandler,3,1,0,86,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,addListener,12,2,1,90,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,release,10,2,0,108,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,connect,44,9,0,125,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,isConnected,4,2,0,202,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,getNodeInfo,4,2,0,209,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,getNodeId,3,1,0,216,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,startHeartbeat,18,1,0,219,0,poke.monitor.HeartMonitor,poke.monitor.HeartMonitor
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,getHost,3,1,0,248,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,getPort,3,1,0,252,0,,
prachiyshah_CoreNettyProject,poke.monitor,HeartMonitor,waitForever,11,2,0,256,0,poke.monitor.HeartMonitor,poke.monitor.HeartMonitor
prachiyshah_CoreNettyProject,poke.monitor,MonitorHandler,MonitorHandler,2,1,0,44,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorHandler,getNodeId,5,3,0,47,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorHandler,addListener,4,2,1,56,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorHandler,send,8,2,1,63,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorHandler,channelRead0,6,2,2,75,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorHandler,channelInactive,3,1,1,93,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorHandler,exceptionCaught,4,1,2,100,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorInitializer,MonitorInitializer,4,1,2,18,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorInitializer,initChannel,12,2,1,23,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorListener,getListenerID,0,1,0,26,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorListener,onMessage,0,1,1,36,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorListener,connectionClosed,0,1,0,43,0,,
prachiyshah_CoreNettyProject,poke.monitor,MonitorListener,connectionReady,0,1,0,48,0,,
prachiyshah_CoreNettyProject,poke.resources,ForwardResource,getCfg,3,1,0,46,0,,
prachiyshah_CoreNettyProject,poke.resources,ForwardResource,setCfg,3,1,1,50,0,,
prachiyshah_CoreNettyProject,poke.resources,ForwardResource,process,13,2,1,59,0,poke.resources.ForwardResource,poke.resources.ForwardResource
prachiyshah_CoreNettyProject,poke.resources,ForwardResource,determineForwardNode,15,5,1,75,0,,
prachiyshah_CoreNettyProject,poke.resources,JobResource,JobResource,3,1,0,81,0,,
prachiyshah_CoreNettyProject,poke.resources,JobResource,getRequestMap,3,1,0,86,0,,
prachiyshah_CoreNettyProject,poke.resources,JobResource,setCfg,3,1,1,90,0,,
prachiyshah_CoreNettyProject,poke.resources,JobResource,connectToManagement,19,2,1,95,0,,
prachiyshah_CoreNettyProject,poke.resources,JobResource,connectToPublic,19,2,1,125,0,,
prachiyshah_CoreNettyProject,poke.resources,JobResource,process,384,58,1,155,0,poke.resources.JobResource,poke.resources.JobResource
prachiyshah_CoreNettyProject,poke.resources,JobResource,getChMap,3,1,0,764,0,,
prachiyshah_CoreNettyProject,poke.resources,JobResource,addToChMap,3,1,2,768,0,,
prachiyshah_CoreNettyProject,poke.resources,NameSpaceResource,process,3,1,1,30,0,,
prachiyshah_CoreNettyProject,poke.resources,NameSpaceResource,setCfg,3,1,1,36,0,,
prachiyshah_CoreNettyProject,poke.resources,PingResource,PingResource,2,1,0,33,0,,
prachiyshah_CoreNettyProject,poke.resources,PingResource,setCfg,3,1,1,36,0,,
prachiyshah_CoreNettyProject,poke.resources,PingResource,process,13,1,1,46,0,,
prachiyshah_CoreNettyProject,poke.server.conf,JsonUtil,init,2,1,1,25,0,,
