Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pritamkesh_AccelerometerProject,com.example.accelerometerproject,BuildConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DEBUG
pritamkesh_AccelerometerProject,com.example.accelerometerproject,BuildConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pritamkesh_AccelerometerProject,com.example.accelerometerproject,BuildConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEBUG
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ic_launcher; currentX; currentY; currentZ; maxX; maxY; maxZ; menu_settings; activity_main; activity_main; app_name; hello_world; menu_settings; AppBaseTheme; AppTheme
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: ic_launcher; currentX; currentY; currentZ; maxX; maxY; maxZ; menu_settings; activity_main; activity_main; app_name; hello_world; menu_settings; AppBaseTheme; AppTheme
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.attr,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.attr,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.drawable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ic_launcher
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.drawable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.drawable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ic_launcher
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.id,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.id,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: currentX; currentY; currentZ; maxX; maxY; maxZ; menu_settings
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.id,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: currentX; currentY; currentZ; maxX; maxY; maxZ; menu_settings
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.layout,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: activity_main
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.layout,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.layout,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activity_main
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.menu,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: activity_main
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.menu,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.menu,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activity_main
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.string,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: app_name; hello_world; menu_settings
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.string,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.string,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: app_name; hello_world; menu_settings
pritamkesh_AccelerometerProject,com.example.accelerometerproject,R.style,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: AppBaseTheme; AppTheme
