Project Name,Package Name,Architecture Smell,Cause of the Smell
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): edu.ubbcluj.canvasAndroid.view.activity
pszabolcs_canvasandroid,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.6. All the dependencies among components: from: edu.ubbcluj.canvasAndroid.controller to: edu.ubbcluj.canvasAndroid.util.listener; from: edu.ubbcluj.canvasAndroid.controller to: edu.ubbcluj.canvasAndroid.view.activity; from: edu.ubbcluj.canvasAndroid.controller.rest to: edu.ubbcluj.canvasAndroid.util.listener; from: edu.ubbcluj.canvasAndroid.controller.rest to: edu.ubbcluj.canvasAndroid.persistence; from: edu.ubbcluj.canvasAndroid.controller.rest to: edu.ubbcluj.canvasAndroid.model; from: edu.ubbcluj.canvasAndroid.controller.rest to: edu.ubbcluj.canvasAndroid.util; from: edu.ubbcluj.canvasAndroid.controller.rest to: edu.ubbcluj.canvasAndroid.util.network; from: edu.ubbcluj.canvasAndroid.controller.rest to: edu.ubbcluj.canvasAndroid.persistence.model; from: edu.ubbcluj.canvasAndroid.controller.rest to: edu.ubbcluj.canvasAndroid.view.activity; from: edu.ubbcluj.canvasAndroid.persistence to: edu.ubbcluj.canvasAndroid.util; from: edu.ubbcluj.canvasAndroid.persistence to: edu.ubbcluj.canvasAndroid.model; from: edu.ubbcluj.canvasAndroid.persistence to: edu.ubbcluj.canvasAndroid.persistence.model; from: edu.ubbcluj.canvasAndroid.persistence.model to: edu.ubbcluj.canvasAndroid.persistence; from: edu.ubbcluj.canvasAndroid.util.network to: edu.ubbcluj.canvasAndroid.persistence; from: edu.ubbcluj.canvasAndroid.util.network to: edu.ubbcluj.canvasAndroid.view.activity; from: edu.ubbcluj.canvasAndroid.util.network to: edu.ubbcluj.canvasAndroid.persistence.model; from: edu.ubbcluj.canvasAndroid.util.network to: edu.ubbcluj.canvasAndroid.model; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.controller; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.model; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.persistence.model; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.persistence; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.util; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.util.network; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.view.adapter; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.util.listener; from: edu.ubbcluj.canvasAndroid.view.activity to: edu.ubbcluj.canvasAndroid.controller.rest; from: edu.ubbcluj.canvasAndroid.view.adapter to: edu.ubbcluj.canvasAndroid.persistence; from: edu.ubbcluj.canvasAndroid.view.adapter to: edu.ubbcluj.canvasAndroid.model.
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.ubbcluj.canvasAndroid.controller; edu.ubbcluj.canvasAndroid.view.activity; edu.ubbcluj.canvasAndroid.controller
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.ubbcluj.canvasAndroid.controller.rest; edu.ubbcluj.canvasAndroid.view.activity; edu.ubbcluj.canvasAndroid.controller.rest
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActiveCourse; Submission; SubmissionAttachment; SubmissionComment; User; Assignment; Enrollments; Grade]; [ActivityStream]; [ActivityStreamSummary]; [Announcement; AnnouncementComment; AnnouncementCommentReplies]; [Conversation]; [File; FileTreeElement; Folder]; [MessageSequence]; [Person]. LCC (Lack of Component Cohesion) = 0.42
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.persistence,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.ubbcluj.canvasAndroid.persistence; edu.ubbcluj.canvasAndroid.persistence.model; edu.ubbcluj.canvasAndroid.persistence
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.persistence.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): edu.ubbcluj.canvasAndroid.persistence
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.util.network,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): edu.ubbcluj.canvasAndroid.view.activity
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.util.network,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: edu.ubbcluj.canvasAndroid.util.network; edu.ubbcluj.canvasAndroid.view.activity; edu.ubbcluj.canvasAndroid.util.network
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): edu.ubbcluj.canvasAndroid.controller.rest
