Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: MessageItemActivity; ControllerFactory; UserController; LoginActivity; CheckSavedSession; NewMessageController
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamSummaryController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementCommentController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestApiControllerFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAssignmentsController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestConversationController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestCoursesController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestFolderController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestMessageSequenceController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
