Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,convertJSONtoAS,Complex Method,Cyclomatic complexity of the method is 11,125
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,convertJSONtoAS,Magic Number,The method contains a magic number: 3,125
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,convertJSONtoAS,Magic Number,The method contains a magic number: 3,125
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,convertJSONtoAS,Magic Number,The method contains a magic number: 6,125
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,convertJSONtoAS,Magic Number,The method contains a magic number: 2,125
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,doInBackground,Complex Method,Cyclomatic complexity of the method is 8,72
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,convertJSONtoA,Long Statement,The length of the statement "announcement.setRead_state(obj.getString("read_state").equals("read") || obj.getString("read_state").equals("true") ? true : false);" is 132.,131
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,convertJSONtoA,Long Statement,The length of the statement "String url=PropertyProvider.getProperty("url") + "/api/v1/courses/" + announcement.getCourseId()+ "/discussion_topics/"+ announcement.getAnnouncementId()+ "/view";" is 163.,131
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,convertJSONtoA,Magic Number,The method contains a magic number: 3,131
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,convertJSONtoAC,Complex Method,Cyclomatic complexity of the method is 8,190
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,convertJSONtoAC,Magic Number,The method contains a magic number: 3,190
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,convertJSONtoAC,Magic Number,The method contains a magic number: 4,190
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,convertJSONtoAC,Magic Number,The method contains a magic number: 3,190
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,convertJSONtoAC,Magic Number,The method contains a magic number: 4,190
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAssignmentsController,convertJSONtoAssignment,Long Statement,The length of the statement "String url=PropertyProvider.getProperty("url") + "/api/v1/courses/" + courseId+ "/assignments/"+ assignmentId+ "/submissions/self?include=submission_comments";" is 159.,131
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAssignmentsController,convertJSONtoSubmission,Complex Method,Cyclomatic complexity of the method is 12,190
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestConversationController,convertJSONtoAS,Magic Number,The method contains a magic number: 16,123
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestConversationController,convertJSONtoAS,Magic Number,The method contains a magic number: 10,123
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestConversationController,convertJSONtoAS,Magic Number,The method contains a magic number: 11,123
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestConversationController,convertJSONtoAS,Magic Number,The method contains a magic number: 16,123
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestConversationController,convertJSONtoAS,Magic Number,The method contains a magic number: 50,123
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestConversationController,convertJSONtoAS,Magic Number,The method contains a magic number: 50,123
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestFolderController,doInBackground,Complex Method,Cyclomatic complexity of the method is 11,66
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestFolderController,doInBackground,Magic Number,The method contains a magic number: 2,66
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestFolderController,doInBackground,Magic Number,The method contains a magic number: 2,66
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestMessageSequenceController,convertJSONtoMS,Magic Number,The method contains a magic number: 16,141
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestNewMessageController,convertJSONtoMS,Magic Number,The method contains a magic number: 16,113
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestToDoController,doInBackground,Complex Method,Cyclomatic complexity of the method is 8,69
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.model,Grade,Grade,Long Parameter List,The method has 6 parameters. ,16
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.model,MessageSequence,MessageSequence,Long Parameter List,The method has 5 parameters. ,10
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.model,User,User,Long Parameter List,The method has 6 parameters. ,15
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.persistence,CookieHandler,saveData,Magic Number,The method contains a magic number: 1000,33
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.persistence,ServiceProvider,initalize,Magic Number,The method contains a magic number: 2,34
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.persistence,ServiceProvider,saveStateToSharedPreferences,Long Statement,The length of the statement "String value=new String((service_started ? "true" : "false") + ";" + announcementUnreadCount+ ";"+ newAnnouncementUnreadCount);" is 127.,77
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.util.network,RestHttpClient,getNewHttpClient,Magic Number,The method contains a magic number: 80,28
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.util.network,RestHttpClient,getNewHttpClient,Magic Number,The method contains a magic number: 443,28
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onCreate,Long Statement,The length of the statement "mNavigationDrawerFragment=(NavigationDrawerFragment)getSupportFragmentManager().findFragmentById(R.id.navigation_drawer);" is 121.,39
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onPrepareOptionsMenu,Long Statement,The length of the statement "if (ServiceProvider.getInstance().getService_started()) menu.add(Menu.NONE`Menu.FIRST + 6`Menu.NONE`R.string.stop_service);" is 123.,108
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onPrepareOptionsMenu,Magic Number,The method contains a magic number: 6,108
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onPrepareOptionsMenu,Magic Number,The method contains a magic number: 7,108
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onPrepareOptionsMenu,Magic Number,The method contains a magic number: 6,108
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onPrepareOptionsMenu,Magic Number,The method contains a magic number: 7,108
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onOptionsItemSelected,Complex Method,Cyclomatic complexity of the method is 10,127
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onOptionsItemSelected,Long Statement,The length of the statement "if (!CookieHandler.checkData(this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/conversations") && !CheckNetwork.isNetworkOnline(this)) {" is 197.,127
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 6,127
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,onOptionsItemSelected,Magic Number,The method contains a magic number: 7,127
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,onTabSelected,Complex Method,Cyclomatic complexity of the method is 9,130
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,onTabSelected,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + courseID+ "/todo") && !CheckNetwork.isNetworkOnline(this)) {" is 207.,130
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,onTabSelected,Long Statement,The length of the statement "if (!CookieHandler.checkData(this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + courseID+ "/assignments") && !CheckNetwork.isNetworkOnline(this)) {" is 219.,130
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,onTabSelected,Long Statement,The length of the statement "if (!CookieHandler.checkData(this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + courseID+ "/activity_stream") && !CheckNetwork.isNetworkOnline(this)) {" is 223.,130
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,onTabSelected,Long Statement,The length of the statement "if (!CookieHandler.checkData(this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + courseID+ "/folders/by_path") && !CheckNetwork.isNetworkOnline(this)) {" is 223.,130
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,onTabSelected,Magic Number,The method contains a magic number: 2,130
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,onTabSelected,Magic Number,The method contains a magic number: 3,130
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,onTabSelected,Magic Number,The method contains a magic number: 4,130
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseSelectionActivity,onOptionsItemSelected,Long Statement,The length of the statement "if (!CookieHandler.checkData(this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/conversations") && !CheckNetwork.isNetworkOnline(this)) {" is 197.,54
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Complex Method,Cyclomatic complexity of the method is 14,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Long Method,The method has 132 lines of code.,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Long Statement,The length of the statement "dashboardController.setSharedPreferences(DashBoardActivity.this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE));" is 124.,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/discussion_topics/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 268.,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/assignments/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 262.,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/assignments/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 262.,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/assignments/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 262.,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/discussion_topics/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 268.,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onCreate,Long Statement,The length of the statement "dashboardController.setSharedPreferences(DashBoardActivity.this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE));" is 124.,46
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onItemClick,Complex Method,Cyclomatic complexity of the method is 13,69
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onItemClick,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/discussion_topics/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 268.,69
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onItemClick,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/assignments/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 262.,69
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onItemClick,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/assignments/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 262.,69
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onItemClick,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/assignments/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 262.,69
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onItemClick,Long Statement,The length of the statement "if (!CookieHandler.checkData(getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE)`PropertyProvider.getProperty("url") + "/api/v1/courses/" + as.getCourseId()+ "/discussion_topics/"+ as.getSecondaryId()) && !CheckNetwork.isNetworkOnline(DashBoardActivity.this)) {" is 268.,69
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,onRefresh,Long Statement,The length of the statement "dashboardController.setSharedPreferences(DashBoardActivity.this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE));" is 124.,218
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,LoginActivity,loginCompleted,Long Statement,The length of the statement "@SuppressWarnings("unchecked") AsyncTask<String`Void`String> asyncTask=((AsyncTask<String`Void`String>)coursesController);" is 122.,116
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MessageItemActivity,sendChatMessage,Long Statement,The length of the statement "messageSequenceController.setSharedPreferences(MessageItemActivity.this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE));" is 132.,57
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MessageItemActivity,sendChatMessage,Long Statement,The length of the statement "asyncTask=((AsyncTask<String`Void`String>)messageSequenceController).execute(new String[]{PropertyProvider.getProperty("url") + "/api/v1/conversations/" + messageID});" is 167.,57
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MessageItemActivity,sendChatMessage,Long Statement,The length of the statement "asyncTask=((AsyncTask<String`Void`String>)newMessageController).execute(new String[]{PropertyProvider.getProperty("url") + "/conversations/" + messageID+ "/add_message"});" is 171.,57
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MessageItemActivity,onComplete,Long Statement,The length of the statement "messageSequenceController.setSharedPreferences(MessageItemActivity.this.getSharedPreferences("CanvasAndroid"`Context.MODE_PRIVATE));" is 132.,68
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MessageItemActivity,onComplete,Long Statement,The length of the statement "asyncTask=((AsyncTask<String`Void`String>)messageSequenceController).execute(new String[]{PropertyProvider.getProperty("url") + "/api/v1/conversations/" + messageID});" is 167.,68
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MyService,onStartCommand,Long Statement,The length of the statement "notification=new NotificationCompat.Builder(this).setContentTitle("New Announcement").setContentText("You have " + (newAnnouncementUnreadCount - announcementUnreadCount) + " new Announcements.").setSmallIcon(R.drawable.announcement).setContentIntent(pending).setWhen(when).setAutoCancel(true).build();" is 301.,36
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MyService,onDestroy,Long Statement,The length of the statement "alarm.set(AlarmManager.RTC_WAKEUP`System.currentTimeMillis() + (1000 * 30)`PendingIntent.getService(this`0`new Intent(this`MyService.class)`0));" is 144.,75
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MyService,onDestroy,Magic Number,The method contains a magic number: 1000,75
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MyService,onDestroy,Magic Number,The method contains a magic number: 30,75
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterAssignments,getView,Magic Number,The method contains a magic number: 65,25
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterAssignments,getView,Magic Number,The method contains a magic number: 100,25
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterConversation,getView,Magic Number,The method contains a magic number: 3,27
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterConversation,getView,Magic Number,The method contains a magic number: 5,27
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterConversation,getView,Magic Number,The method contains a magic number: 3,27
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterConversation,getView,Magic Number,The method contains a magic number: 65,27
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterConversation,getView,Magic Number,The method contains a magic number: 100,27
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterMessage,getView,Magic Number,The method contains a magic number: 65,25
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterMessage,getView,Magic Number,The method contains a magic number: 100,25
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterToDo,getView,Magic Number,The method contains a magic number: 80,25
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.adapter,CustomArrayAdapterToDo,getView,Magic Number,The method contains a magic number: 100,25
