Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ActivityStreamController,addInformationListener,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ActivityStreamController,removeInformationListener,0,1,1,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ActivityStreamController,getData,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ActivityStreamController,setSharedPreferences,0,1,1,16,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ActivityStreamController,clearData,0,1,0,18,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ActivityStreamSummaryController,getData,0,1,0,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ActivityStreamSummaryController,setSharedPreferences,0,1,1,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ActivityStreamSummaryController,clearData,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AnnouncementCommentController,setComment,0,1,1,6,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AnnouncementCommentController,addInformationListener,0,1,1,8,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AnnouncementCommentController,removeInformationListener,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AnnouncementController,addInformationListener,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AnnouncementController,removeInformationListener,0,1,1,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AnnouncementController,getData,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AnnouncementController,setSharedPreferences,0,1,1,16,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AnnouncementController,clearData,0,1,0,18,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AssignmentsController,addInformationListener,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AssignmentsController,removeInformationListener,0,1,1,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AssignmentsController,getData,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AssignmentsController,setSharedPreferences,0,1,1,16,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,AssignmentsController,clearData,0,1,0,18,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getInstance,3,1,0,6,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getUserController,0,1,0,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getDashboardController,0,1,0,11,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getActivityStreamSummaryController,0,1,0,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getCoursesController,0,1,0,13,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getAssignmentsController,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getToDoController,0,1,0,15,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getAnnouncementController,0,1,0,16,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getAnnouncementCommentController,0,1,0,17,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getConversationController,0,1,0,18,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getMessageSequenceController,0,1,0,19,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getFolderController,0,1,0,20,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getSubmissionCommentController,0,1,0,21,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,getNewMessageController,0,1,0,22,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ConversationController,addInformationListener,0,1,1,11,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ConversationController,removeInformationListener,0,1,1,13,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ConversationController,getData,0,1,0,15,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ConversationController,setSharedPreferences,0,1,1,17,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ConversationController,clearData,0,1,0,19,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,CoursesController,addInformationListener,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,CoursesController,removeInformationListener,0,1,1,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,CoursesController,getData,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,CoursesController,setSharedPreferences,0,1,1,16,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,CoursesController,clearData,0,1,0,18,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,FolderController,addInformationListener,0,1,1,11,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,FolderController,removeInformationListener,0,1,1,13,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,FolderController,getData,0,1,0,15,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,FolderController,setSharedPreferences,0,1,1,17,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,FolderController,clearData,0,1,0,19,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,MessageSequenceController,addInformationListener,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,MessageSequenceController,removeInformationListener,0,1,1,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,MessageSequenceController,getData,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,MessageSequenceController,setSharedPreferences,0,1,1,16,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,MessageSequenceController,clearData,0,1,0,18,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,NewMessageController,addInformationListener,0,1,1,9,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,NewMessageController,removeInformationListener,0,1,1,11,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,NewMessageController,setMessageItemActivity,0,1,1,13,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,NewMessageController,setBody,0,1,1,15,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,NewMessageController,getData,0,1,0,17,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,SubmissionCommentController,setComment,0,1,1,6,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,SubmissionCommentController,addInformationListener,0,1,1,8,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,SubmissionCommentController,removeInformationListener,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ToDoController,addInformationListener,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ToDoController,removeInformationListener,0,1,1,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ToDoController,getData,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ToDoController,setSharedPreferences,0,1,1,16,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ToDoController,clearData,0,1,0,18,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,loginUser,0,1,1,8,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,setUsername,0,1,1,10,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,getUsername,0,1,0,12,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,getLastUsername,0,1,0,14,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,setPassword,0,1,1,16,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,getPassword,0,1,0,18,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,setLoginActivity,0,1,1,20,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,getLoginActivity,0,1,0,22,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,setSharedPreferences,0,1,1,24,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,UserController,getSavedUsersAdapter,0,1,0,26,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,RestActivityStreamController,5,1,0,28,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,addInformationListener,3,1,1,34,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,removeInformationListener,3,1,1,39,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,notifyListeners,5,2,0,44,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,getData,3,1,0,53,0,,
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestActivityStreamController,setSharedPreferences,3,1,1,58,0,,
