Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller,ControllerFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAnnouncementController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.controller.rest,RestAssignmentsController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.util.network,CheckNetwork,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: cm (11)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,AnnouncementActivity.PlaceholderFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,AssignmentActivity.PlaceholderFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,BaseActivity.PlaceholderFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,CourseActivity.PlaceholderFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,DashBoardActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,LoginActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MessageItemActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MessageItemActivity.PlaceholderFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MessagesActivity.PlaceholderFragment,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,MyService,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: alarm (23)
pszabolcs_canvasandroid,edu.ubbcluj.canvasAndroid.view.activity,NavigationDrawerFragment.NavigationDrawerCallbacks,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
