Project Name,Package Name,Architecture Smell,Cause of the Smell
rilsikane_dlt-nrct,com.aphidmobile.flip,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Card; FlipCards; FlipRenderer; FlipViewController; Texture; ViewDualCards; GrabIt]; [FlipViewController.ViewFlipListener]; [FlipViewController.MyDataSetObserver]. LCC (Lack of Component Cohesion) = 0.33
rilsikane_dlt-nrct,com.aphidmobile.flip,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.aphidmobile.flip; com.aphidmobile.utils; com.aphidmobile.flip
rilsikane_dlt-nrct,com.aphidmobile.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.aphidmobile.flip
rilsikane_dlt-nrct,com.facebook,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 108
rilsikane_dlt-nrct,com.facebook,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.facebook.widget
rilsikane_dlt-nrct,com.facebook,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AccessToken; AccessTokenSource; AuthorizationClient; AuthorizationClient.WebViewAuthHandler; AuthorizationClient.GetTokenAuthHandler; AuthorizationClient.KatanaProxyAuthHandler; AuthorizationClient.Result; GetTokenClient; HttpMethod; LoggingBehavior; LoginActivity; Request; Request.Attachment; RequestAsyncTask; RequestBatch; RequestOutputStream; RequestProgress; Response; Session; Session.SerializationProxyV1; Session.SerializationProxyV2; Session.TokenRefreshRequest; Session.TokenRefreshRequestHandler; Session.AuthorizationRequest; Session.NewPermissionsRequest; SessionDefaultAudience; SessionLoginBehavior; SessionState; Settings; SharedPreferencesTokenCachingStrategy; TestSession; TokenCachingStrategy; UiLifecycleHelper; UiLifecycleHelper.ActiveSessionBroadcastReceiver; AccessToken.SerializationProxyV1; AccessToken.SerializationProxyV2; AppEventsConstants; AppEventsLogger; FacebookRequestError; FacebookServiceException; InsightsLogger; AppEventsLogger.AppEvent; AppLinkData; AuthorizationClient.AuthorizationRequest; FacebookAppLinkResolver; FacebookAuthorizationException; FacebookException; FacebookGraphObjectException; FacebookOperationCanceledException; FacebookDialogException; FacebookSdkVersion; LegacyHelper; NonCachingTokenCachingStrategy; ProgressNoopOutputStream; ProgressOutputStream; Session.Builder; Session.AuthRequestSerializationProxyV1; TestSession.TestTokenCachingStrategy]; [AppEventsLogger.FlushBehavior]; [AppEventsLogger.SuppressionTimeoutBehavior]; [AppEventsLogger.EventSuppression]; [AppEventsLogger.AccessTokenAppIdPair]; [AppEventsLogger.SerializationProxyV1]; [AppEventsLogger.FlushReason]; [AppEventsLogger.FlushResult]; [AppEventsLogger.FlushStatistics]; [AppEventsLogger.SessionEventsState]; [AppEventsLogger.SerializationProxyV1]; [AppEventsLogger.PersistedEvents]; [AppLinkData.CompletionHandler]; [AuthorizationClient.OnCompletedListener]; [AuthorizationClient.BackgroundProcessingListener]; [AuthorizationClient.StartActivityDelegate]; [AuthorizationClient.AuthHandler]; [AuthorizationClient.KatanaAuthHandler]; [AuthorizationClient.AuthDialogBuilder]; [AuthorizationClient.Code]; [FacebookBroadcastReceiver]; [FacebookRequestError.Range]; [FacebookRequestError.Category]; [NativeAppCallAttachmentStore; NativeAppCallContentProvider]; [NativeAppCallAttachmentStore.ProcessAttachment]; [NativeAppCallContentProvider.AttachmentDataSource]; [Request.KeyValueSerializer]; [Request.Serializer]; [Request.Callback]; [Request.OnProgressCallback]; [Request.GraphUserCallback]; [Request.GraphUserListCallback]; [Request.GraphPlaceListCallback]; [Request.ParcelFileDescriptorWithMimeType]; [RequestBatch.Callback]; [RequestBatch.OnProgressCallback]; [Response.PagingDirection]; [Response.PagingInfo]; [Response.PagedResults]; [Session.PermissionsPair]; [Session.StatusCallback]; [Session.StartActivityDelegate]; [Session.AutoPublishAsyncTask]; [Session.OpenRequest]; [SessionState.Category]; [TestSession.Mode]; [TestSession.TestAccount]; [TestSession.UserAccount]; [TestSession.FqlResult]; [TestSession.FqlResponse]. LCC (Lack of Component Cohesion) = 0.46
rilsikane_dlt-nrct,com.facebook,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.facebook; com.facebook.internal; com.facebook
rilsikane_dlt-nrct,com.facebook,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.facebook; com.facebook.widget; com.facebook
rilsikane_dlt-nrct,com.facebook.android,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AsyncFacebookRunner; Facebook; FacebookError; FbDialog; Util; DialogError]; [AsyncFacebookRunner.RequestListener]; [Facebook.TokenRefreshServiceConnection]; [Facebook.TokenRefreshConnectionHandler]; [Facebook.SetterTokenCachingStrategy]; [Facebook.DialogListener]; [Facebook.ServiceListener]. LCC (Lack of Component Cohesion) = 0.58
rilsikane_dlt-nrct,com.facebook.internal,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 42
rilsikane_dlt-nrct,com.facebook.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.facebook
