Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_INTERVAL; LEFT; RIGHT; SLIDE_BORDER_MODE_NONE; SLIDE_BORDER_MODE_CYCLE; SLIDE_BORDER_MODE_TO_PARENT; interval; direction; isCycle; stopScrollWhenTouch; slideBorderMode; isBorderAnimation; handler; isAutoScroll; isStopByTouch; touchX; downX; scroller; SCROLL_WHAT
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager.MyHandler,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager.MyHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AXIS_TOP; AXIS_BOTTOM; X_00; Y_00; Z_00; X_01; Y_01; Z_01; X_11; Y_11; Z_11; X_10; Y_10; Z_10; cardVertices; indices; vertexBuffer; indexBuffer; textureCoordinates; textureBuffer; texture; angle; axis; orientationVertical; dirty
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ViewDualCards; Texture; FlipRenderer; FlipViewController; FlipCards; Card; TextureUtils
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: flipViewController; cards; created; postDestroyTextures; light0Position
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: VERTICAL; HORIZONTAL; MAX_RELEASED_VIEW_SIZE; MSG_SURFACE_CREATED; handler; surfaceView; renderer; cards; contentWidth; contentHeight; flipOrientation; inFlipAnimation; adapter; adapterDataCount; adapterDataObserver; bufferedViews; releasedViews; bufferIndex; adapterIndex; sideBufferSize; touchSlop; onViewFlipListener; overFlipEnabled; flipByTouchEnabled; animationBitmapFormat
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController.ViewFlipListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
