Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,AutoScrollViewPager,4,1,1,68,0,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,AutoScrollViewPager,4,1,2,73,0,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,init,4,1,0,78,0,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,startAutoScroll,4,1,0,83,0,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,startAutoScroll,4,1,1,91,0,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,stopAutoScroll,4,1,0,101,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,setScrollDurationFactor,3,1,1,109,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,sendScrollMessage,4,1,1,116,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,setViewPagerScroller,13,1,0,122,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,scrollOnce,22,6,0,139,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,onTouchEvent,34,9,1,164,0,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager,cn.trinea.android.view.autoscrollviewpager.AutoScrollViewPager
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,getInterval,3,1,0,228,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,setInterval,3,1,1,237,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,getDirection,3,1,0,246,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,setDirection,3,1,1,255,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,isCycle,3,1,0,264,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,setCycle,3,1,1,273,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,isStopScrollWhenTouch,3,1,0,282,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,setStopScrollWhenTouch,3,1,1,291,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,getSlideBorderMode,3,1,0,300,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,setSlideBorderMode,3,1,1,310,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,isBorderAnimation,3,1,0,320,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,setBorderAnimation,3,1,1,329,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,CustomDurationScroller,CustomDurationScroller,3,1,1,16,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,CustomDurationScroller,CustomDurationScroller,3,1,2,20,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,CustomDurationScroller,setScrollDurationFactor,3,1,1,36,0,,
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,CustomDurationScroller,startScroll,3,1,5,43,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,getTexture,3,1,0,98,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,setTexture,3,1,1,102,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,getCardVertices,3,1,0,106,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,getIndices,3,1,0,110,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,getIndexBuffer,3,1,0,114,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,setCardVertices,4,1,1,118,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,setTextureCoordinates,4,1,1,123,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,setAngle,3,1,1,128,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,setAxis,3,1,1,132,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,setOrientation,3,1,1,136,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,draw,111,17,1,140,0,com.aphidmobile.flip.Card,com.aphidmobile.flip.Card
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,updateVertices,5,1,0,287,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,FlipCards,6,1,2,64,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,isVisible,3,1,0,72,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,setVisible,3,1,1,76,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,isFirstDrawFinished,3,1,0,80,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,setFirstDrawFinished,3,1,1,84,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,refreshPageView,12,3,1,88,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,refreshPage,12,3,1,102,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,refreshAllPages,4,1,0,116,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,reloadTexture,12,3,4,121,0,com.aphidmobile.flip.FlipCards,com.aphidmobile.flip.FlipCards
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,resetSelection,10,1,2,145,0,com.aphidmobile.flip.FlipCards,com.aphidmobile.flip.FlipCards
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,draw,0,17,2,159,0,com.aphidmobile.flip.FlipCards,com.aphidmobile.flip.FlipCards
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,invalidateTexture,4,1,0,272,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,handleTouchEvent,77,21,2,277,0,com.aphidmobile.flip.FlipCards,com.aphidmobile.flip.FlipCards
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,swapCards,5,1,0,381,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,setState,6,2,1,387,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,getPageIndexFromAngle,3,1,1,397,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,getDisplayAngle,3,1,0,401,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,FlipRenderer,4,1,2,55,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,onSurfaceCreated,14,2,2,60,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,onSurfaceChanged,20,2,3,81,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,onDrawFrame,12,3,1,117,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,postDestroyTexture,5,1,1,135,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,updateTexture,6,2,4,141,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,checkError,8,3,1,148,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,handleMessage,12,2,1,61,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,FlipViewController,3,1,1,111,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,FlipViewController,4,1,2,115,0,com.aphidmobile.flip.FlipViewController,com.aphidmobile.flip.FlipViewController
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,FlipViewController,25,4,3,120,0,com.aphidmobile.flip.FlipViewController,com.aphidmobile.flip.FlipViewController
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,FlipViewController,3,1,2,153,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,init,6,1,2,160,0,com.aphidmobile.flip.FlipViewController,com.aphidmobile.flip.FlipViewController
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,getAnimationBitmapFormat,3,1,0,167,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,setAnimationBitmapFormat,3,1,1,171,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,getOnViewFlipListener,3,1,0,182,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,setOnViewFlipListener,3,1,1,186,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,onResume,3,1,0,190,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,onPause,3,1,0,194,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,refreshPage,5,2,1,198,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,refreshPage,5,2,1,210,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,refreshAllPages,4,1,0,219,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,isOverFlipEnabled,3,1,0,227,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,setOverFlipEnabled,3,1,1,231,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,isFlipByTouchEnabled,3,1,0,235,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,setFlipByTouchEnabled,3,1,1,239,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,onInterceptTouchEvent,8,2,1,245,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,onTouchEvent,8,2,1,254,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,onConfigurationChanged,3,1,1,265,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,getAdapter,3,1,0,273,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,setAdapter,3,1,1,278,0,com.aphidmobile.flip.FlipViewController,com.aphidmobile.flip.FlipViewController
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,setAdapter,13,3,2,283,0,com.aphidmobile.flip.FlipViewController,com.aphidmobile.flip.FlipViewController
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,getSelectedView,3,1,0,300,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,setSelection,24,5,1,306,0,com.aphidmobile.flip.FlipViewController,com.aphidmobile.flip.FlipViewController
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,getSelectedItemPosition,3,1,0,340,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,onLayout,25,7,5,347,0,,
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,onMeasure,7,2,2,379,0,,
