Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: light0Position (79)
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController.ViewFlipListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook,AppEventsLogger,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
rilsikane_dlt-nrct,com.facebook,AuthorizationClient,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
rilsikane_dlt-nrct,com.facebook,Request,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
rilsikane_dlt-nrct,com.facebook,Response,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
rilsikane_dlt-nrct,com.facebook,Session,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
rilsikane_dlt-nrct,com.facebook,Session.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook,Session.AuthorizationRequest,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook,Session.OpenRequest,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook,Session.NewPermissionsRequest,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook,Settings,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
rilsikane_dlt-nrct,com.facebook,TestSession,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
rilsikane_dlt-nrct,com.facebook.android,AsyncFacebookRunner.RequestListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.android,Facebook.DialogListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.android,Facebook.ServiceListener,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.internal,FileLruCache.Limits,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.internal,ImageRequest.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.internal,Utility.FetchedAppSettings,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.widget,FacebookDialog.ShareDialogBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.widget,FacebookDialog.PhotoShareDialogBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.widget,FacebookDialog.PhotoMessageDialogBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.widget,FacebookDialog.MessageDialogBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.widget,FacebookDialog.OpenGraphActionDialogBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.widget,FacebookDialog.OpenGraphMessageDialogBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.widget,FacebookDialog.PendingCall,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rilsikane_dlt-nrct,com.facebook.widget,GraphObjectAdapter.SectionAndItem,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
