Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager,19,7,23,20,0,36,0,0,0.0,1,1,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\android-auto-scroll-view-pager\src\cn\trinea\android\view\autoscrollviewpager\AutoScrollViewPager.java,14
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,AutoScrollViewPager.MyHandler,0,0,0,0,0,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\android-auto-scroll-view-pager\src\cn\trinea\android\view\autoscrollviewpager\AutoScrollViewPager.java,212
rilsikane_dlt-nrct,cn.trinea.android.view.autoscrollviewpager,CustomDurationScroller,1,0,4,4,22,4,0,0,0.75,1,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\android-auto-scroll-view-pager\src\cn\trinea\android\view\autoscrollviewpager\CustomDurationScroller.java,7
rilsikane_dlt-nrct,com.aphidmobile.flip,Card,25,14,12,11,178,28,0,0,0.0,2,2,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\Card.java,52
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipCards,21,0,17,9,0,60,0,0,0.0,2,7,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\FlipCards.java,31
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipRenderer,5,1,7,7,76,14,0,0,0.42857142857142855,4,5,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\FlipRenderer.java,45
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController,25,2,53,29,436,98,0,0,0.07547169811320754,4,3,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\FlipViewController.java,46
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController.ViewFlipListener,0,0,0,0,3,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\FlipViewController.java,51
rilsikane_dlt-nrct,com.aphidmobile.flip,FlipViewController.MyDataSetObserver,0,0,0,0,8,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\FlipViewController.java,609
rilsikane_dlt-nrct,com.aphidmobile.flip,GrabIt,0,0,2,1,20,4,0,0,-1.0,1,1,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\GrabIt.java,25
rilsikane_dlt-nrct,com.aphidmobile.flip,Texture,7,0,10,9,0,17,0,0,0.2,4,2,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\Texture.java,41
rilsikane_dlt-nrct,com.aphidmobile.flip,ViewDualCards,7,0,14,10,100,20,0,0,0.0,1,6,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\flip\ViewDualCards.java,32
rilsikane_dlt-nrct,com.aphidmobile.utils,AphidLog,5,2,15,13,69,15,0,0,0.26666666666666666,8,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\utils\AphidLog.java,23
rilsikane_dlt-nrct,com.aphidmobile.utils,AphidLog.ReusableFormatter,2,0,0,0,17,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\utils\AphidLog.java,32
rilsikane_dlt-nrct,com.aphidmobile.utils,IO,2,2,7,6,88,14,0,0,0.42857142857142855,0,1,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\utils\IO.java,31
rilsikane_dlt-nrct,com.aphidmobile.utils,TextureUtils,0,0,4,4,24,4,0,0,-1.0,3,1,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\utils\TextureUtils.java,26
rilsikane_dlt-nrct,com.aphidmobile.utils,UI,1,0,7,7,40,11,0,0,0.5714285714285714,2,1,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\Aphid-FlipView-Library\src\com\aphidmobile\utils\UI.java,28
rilsikane_dlt-nrct,com.facebook,AccessToken,28,0,27,9,290,45,0,0,0.1111111111111111,8,7,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AccessToken.java,36
rilsikane_dlt-nrct,com.facebook,AccessToken.SerializationProxyV1,6,0,0,0,18,0,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AccessToken.java,345
rilsikane_dlt-nrct,com.facebook,AccessToken.SerializationProxyV2,7,0,0,0,20,0,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AccessToken.java,367
rilsikane_dlt-nrct,com.facebook,AccessTokenSource,1,0,0,0,32,0,0,0,-1.0,9,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AccessTokenSource.java,19
rilsikane_dlt-nrct,com.facebook,AppEventsConstants,27,27,0,0,113,0,0,0,-1.0,4,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AppEventsConstants.java,19
rilsikane_dlt-nrct,com.facebook,AppEventsLogger,52,8,42,24,818,83,0,0,0.0,6,8,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AppEventsLogger.java,36
rilsikane_dlt-nrct,com.facebook,AppEventsLogger.FlushBehavior,0,0,0,0,10,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AppEventsLogger.java,109
rilsikane_dlt-nrct,com.facebook,AppEventsLogger.SuppressionTimeoutBehavior,0,0,0,0,1,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AppEventsLogger.java,125
rilsikane_dlt-nrct,com.facebook,AppEventsLogger.EventSuppression,2,0,0,0,14,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rilsikane_dlt-nrct\FacebookSDK\src\com\facebook\AppEventsLogger.java,134
