Project Name,Package Name,Architecture Smell,Cause of the Smell
rmsor_waa_practice,net.mumde.cs545,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AjaxPhaseListener]; [Label]; [Student; TableServlet]; [User]; [UserServlet]. LCC (Lack of Component Cohesion) = 0.83
rmsor_waa_practice,com.example.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BeerExpert]; [Tea; TeaExpert]; [Category; Tea; TeaExpert; Tea; TeaExpert; Tea; TeaExpert]; [Registration]; [Category]; [Tea]; [TeaExpert]; [Category]. LCC (Lack of Component Cohesion) = 0.53
rmsor_waa_practice,com.example.web,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BeerSelect]; [TeaSelect]; [TeaSelect]; [TeaSelect]; [TeaSelect]; [TeaSelect]. LCC (Lack of Component Cohesion) = 1.0
rmsor_waa_practice,com.corejsf,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 138
rmsor_waa_practice,com.corejsf,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserBean]; [UserBean]; [UserBean]; [ProblemBean; QuizBean]; [Problem]; [QuizBean]; [Problem]; [QuizBean]; [LocaleChanger]; [UserBean]; [UserBean]; [UserBean]; [RegisterForm]; [RegisterForm.Education]; [RegisterForm.Weekday]; [Planetarium]; [User]; [CustomerBean]; [Name; TableData; TableData; TableData; TableData; TableData; SortFilterModel]; [Name]; [Name]; [Name]; [Name]; [LuhnCheckValidator]; [PaymentBean]; [PaymentBean]; [CreditCard; PaymentBean; PaymentBean; PaymentBean; PaymentBean]; [CreditCardConverter]; [CreditCard]; [CreditCardConverter]; [CreditCardValidator; CreditCardValidator; CreditCardValidator; UIValidatorScript]; [PaymentBean]; [CreditCard]; [CreditCardConverter]; [BackingBean; BackingBean]; [LocaleChanger]; [UserBean]; [LocaleChanger]; [UserBean]; [LocaleChanger]; [UserBean]; [LocaleChanger]; [UserBean]; [FormBean]; [PhaseTracker]; [Rushmore]; [UserBean]; [TabbedPane]; [RegisterForm]; [Dates]; [UserBean]; [LoginActionListener; Registrar; User]; [PasswordValidator]; [UserBean]; [AutoComplete]; [AutocompleteListener]; [UserBean]; [UserBean]; [UserBean]; [UserBean]; [CreditCardExpiration]; [UISpinner; UISpinner]; [FontSpecifics]; [FontSpinnerRenderer]; [UIFontSpinner]; [FontSpecifics]; [JSSpinnerRenderer]; [UISpinner]; [CreditCardExpiration]; [JSSpinnerRenderer]; [UISpinner]; [CreditCardExpiration]; [SpinnerHandler]; [SpinnerRenderer]; [UISpinner]; [TabbedPaneRenderer; UITabbedPane]; [UITabbedPane.PropertyKeys]; [UserBean]; [UserBean]; [Credentials; UserBean; UserBean; CredentialsManager; UserBean]; [NewAccount]; [Credentials]; [Credentials]; [WeatherBean]; [BinaryData; BinaryServlet; ChartData; ChartRenderer; BinaryPhaseListener; ChartData; ChartRenderer]; [Planets]; [BinaryData]; [Planets]; [CreditCard]; [CreditCardConverter]; [ErrorBean]; [UserBean]; [ComponentIdResolver]; [ELFunctions]; [SystemPropertyResolver]; [SystemPropertyResolver.PartialResolution]; [UploadFilter]; [UploadRenderer]; [UserBean]; [PagerRenderer]; [TimeZoneBean]; [BackingBean]; [ComponentIdResolver]; [SystemPropertyResolver]; [SystemPropertyResolver.PartialResolution]; [CreditCardExpiration]; [User]; [User]; [User]. LCC (Lack of Component Cohesion) = 0.79
rmsor_waa_practice,com.corejsf.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Messages; Messages; Messages; Messages; Messages; Messages; Messages; Messages; Messages]; [Renderers; Renderers; Renderers; Renderers; Renderers]; [MethodEvent]; [MethodListener]; [MethodRule]. LCC (Lack of Component Cohesion) = 0.29
rmsor_waa_practice,application,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): business.shoppingCartSubsystem
rmsor_waa_practice,application,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BrowseSelectController]; [CheckoutController]; [GuiBrowseSelect]; [GuiCheckout]; [GuiManageProducts]; [GuiOrder; ViewOrderController]; [ManageProductsController]. LCC (Lack of Component Cohesion) = 0.88
rmsor_waa_practice,application.gui,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
rmsor_waa_practice,application.gui,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddEditCatalog; GuiControl; LoginWindow; MaintainCatalogTypes; MaintainCatalogTypes.AddButtonListener; MaintainCatalogTypes.EditButtonListener; MaintainProductCatalog; MaintainProductCatalog.AddButtonListener; MaintainProductCatalog.EditButtonListener; ParentWindow; PaymentWindow; ProductDetailsWindow; ProductListWindow; QuantityWindow; SelectOrderWindow; ShipAddressesWindow; ShippingBillingWindow; TermsWindow; ViewOrderDetailsWindow; AddEditProduct; DefaultData; FinalOrderWindow; ShipAddressesWindow.SelectListener; CartItemsWindow; CustomTableModel; CatalogListWindow; EbazaarMainFrame]; [AddEditCatalog.SaveListener]; [AddEditCatalog.BackListener]; [AddEditProduct.SaveListener]; [AddEditProduct.BackListener]; [CartItemsWindow.ProceedListener]; [CartItemsWindow.ContinueListener]; [CartItemsWindow.SaveCartListener]; [CatalogListWindow.BrowseButtonListener]; [CatalogListWindow.BackToMainButtonListener]; [EbazaarMainFrame.PurchaseOnlineActionListener]; [EbazaarMainFrame.MaintainProductActionListener]; [EbazaarMainFrame.SelectOrderActionListener]; [EbazaarMainFrame.MaintainCatalogTypesActionListener]; [EbazaarMainFrame.RetrieveCartActionListener]; [ExitButtonListener]; [FinalOrderWindow.SubmitListener]; [FinalOrderWindow.CancelListener]; [LoginWindow.SubmitListener]; [LoginWindow.CancelListener]; [MaintainCatalogTypes.DeleteButtonListener]; [MaintainCatalogTypes.BackButtonListener]; [MaintainProductCatalog.ComboBoxListener]; [MaintainProductCatalog.DeleteButtonListener]; [MaintainProductCatalog.SearchButtonListener]; [MaintainProductCatalog.BackToMainButtonListener]; [PaymentWindow.ProceedListener]; [PaymentWindow.BackToCartListener]; [ProductDetailsWindow.AddToCartListener]; [ProductDetailsWindow.BackToCatalogListener]; [ProductListWindow.SelectButtonListener]; [ProductListWindow.BackButtonListener]; [QuantityWindow.OkListener]; [QuantityWindow.CancelListener]; [SelectOrderWindow.ViewDetailsListener]; [SelectOrderWindow.CancelListener]; [ShipAddressesWindow.CancelListener]; [ShippingBillingWindow.SelectShipButtonListener]; [ShippingBillingWindow.ProceedCheckoutButtonListener]; [ShippingBillingWindow.BackToCartButtonListener]; [TermsWindow.ProceedListener]; [ViewOrderDetailsWindow.OkButtonListener]; [WindowBorder]. LCC (Lack of Component Cohesion) = 0.62
