Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
rmsor_waa_practice,ajax,AjaxServlet,processRequest,8,2,2,24,0,,
rmsor_waa_practice,ajax,AjaxServlet,doGet,3,1,2,56,0,ajax.AjaxServlet,ajax.AjaxServlet
rmsor_waa_practice,ajax,AjaxServlet,doPost,3,1,2,65,0,ajax.AjaxServlet,ajax.AjaxServlet
rmsor_waa_practice,beans,PersonBean,PersonBean,2,1,0,28,0,,
rmsor_waa_practice,beans,PersonBean,getFirstName,3,1,0,32,0,,
rmsor_waa_practice,beans,PersonBean,setFirstName,3,1,1,38,0,,
rmsor_waa_practice,beans,PersonBean,getLastName,3,1,0,44,0,,
rmsor_waa_practice,beans,PersonBean,setLastName,3,1,1,50,0,,
rmsor_waa_practice,beans,PersonBean,getFullName,3,1,0,56,0,,
rmsor_waa_practice,beans,GeoCodeView,init,4,1,0,31,0,,
rmsor_waa_practice,beans,GeoCodeView,onGeocode,11,3,1,37,0,,
rmsor_waa_practice,beans,GeoCodeView,onReverseGeocode,8,2,1,51,0,,
rmsor_waa_practice,beans,GeoCodeView,getGeoModel,3,1,0,61,0,,
rmsor_waa_practice,beans,GeoCodeView,getRevGeoModel,3,1,0,65,0,,
rmsor_waa_practice,beans,GeoCodeView,getCenterGeoMap,3,1,0,69,0,,
rmsor_waa_practice,beans,GeoCodeView,getCenterRevGeoMap,3,1,0,73,0,,
rmsor_waa_practice,beans,PersonBean,PersonBean,5,1,0,37,0,,
rmsor_waa_practice,beans,PersonBean,searchName,21,4,0,43,0,beans.PersonBean,beans.PersonBean
rmsor_waa_practice,beans,PersonBean,getFirstName,3,1,0,65,0,,
rmsor_waa_practice,beans,PersonBean,setFirstName,3,1,1,71,0,,
rmsor_waa_practice,beans,PersonBean,getLastName,3,1,0,77,0,,
rmsor_waa_practice,beans,PersonBean,setLastName,3,1,1,83,0,,
rmsor_waa_practice,beans,PersonBean,getEmail,3,1,0,89,0,,
rmsor_waa_practice,beans,PersonBean,setEmail,3,1,1,93,0,,
rmsor_waa_practice,beans,PersonBean,getStreetAddress,3,1,0,97,0,,
rmsor_waa_practice,beans,PersonBean,setStreetAddress,3,1,1,101,0,,
rmsor_waa_practice,beans,PersonBean,getZip,3,1,0,105,0,,
rmsor_waa_practice,beans,PersonBean,setZip,3,1,1,109,0,,
rmsor_waa_practice,beans,PersonBean,getState,3,1,0,113,0,,
rmsor_waa_practice,beans,PersonBean,setState,3,1,1,117,0,,
rmsor_waa_practice,beans,PersonBean,getMsg,3,1,0,121,0,,
rmsor_waa_practice,beans,PersonBean,setMsg,3,1,1,125,0,,
rmsor_waa_practice,beans,PersonBean,getMsgColor,3,1,0,129,0,,
rmsor_waa_practice,beans,PersonBean,setMsgColor,3,1,1,133,0,,
rmsor_waa_practice,beans,User,User,3,1,0,32,0,,
rmsor_waa_practice,beans,User,getFirstName,3,1,0,36,0,,
rmsor_waa_practice,beans,User,getLastName,3,1,0,40,0,,
rmsor_waa_practice,beans,User,setFirstName,3,1,1,44,0,,
rmsor_waa_practice,beans,User,setLastName,3,1,1,48,0,,
rmsor_waa_practice,beans,User,saveUser,4,1,0,53,0,,
rmsor_waa_practice,beans,User,getPersons,3,1,0,58,0,,
rmsor_waa_practice,beans,User,searchLastName,11,3,1,61,0,,
rmsor_waa_practice,beans,User,findLastName,4,1,1,73,0,beans.User,beans.User
rmsor_waa_practice,beans,User,findLastNameV2,4,1,0,77,0,beans.User,beans.User
rmsor_waa_practice,beans,User,getResult,3,1,0,82,0,,
rmsor_waa_practice,beans,User,getResultV2,3,1,0,86,0,,
rmsor_waa_practice,net.mumde.cs545,AjaxPhaseListener,getPhaseId,3,1,0,26,0,,
rmsor_waa_practice,net.mumde.cs545,AjaxPhaseListener,beforePhase,2,1,1,32,0,,
rmsor_waa_practice,net.mumde.cs545,AjaxPhaseListener,afterPhase,18,2,1,36,0,,
rmsor_waa_practice,net.mumde.cs545,Label,doTag,9,2,0,16,0,,
rmsor_waa_practice,net.mumde.cs545,Label,setForeColor,3,1,1,29,0,,
rmsor_waa_practice,net.mumde.cs545,Label,setText,3,1,1,35,0,,
rmsor_waa_practice,net.mumde.cs545,Student,Student,2,1,0,9,0,,
rmsor_waa_practice,net.mumde.cs545,Student,Student,4,1,2,13,0,,
rmsor_waa_practice,net.mumde.cs545,Student,setName,3,1,1,21,0,,
rmsor_waa_practice,net.mumde.cs545,Student,getName,3,1,0,27,0,,
rmsor_waa_practice,net.mumde.cs545,Student,setAge,3,1,1,33,0,,
rmsor_waa_practice,net.mumde.cs545,Student,getAge,3,1,0,39,0,,
rmsor_waa_practice,net.mumde.cs545,TableServlet,doGet,6,1,2,13,0,,
rmsor_waa_practice,net.mumde.cs545,TableServlet,doPost,4,1,2,31,0,,
rmsor_waa_practice,net.mumde.cs545,User,getName,3,1,0,38,0,,
rmsor_waa_practice,net.mumde.cs545,User,setName,3,1,1,47,0,,
rmsor_waa_practice,net.mumde.cs545,User,getPassword,3,1,0,57,0,,
rmsor_waa_practice,net.mumde.cs545,User,setPassword,3,1,1,65,0,,
rmsor_waa_practice,net.mumde.cs545,User,isError,3,1,0,77,0,,
rmsor_waa_practice,net.mumde.cs545,User,onLogin,5,2,0,91,0,,
rmsor_waa_practice,net.mumde.cs545,UserServlet,doGet,2,1,2,23,0,,
rmsor_waa_practice,net.mumde.cs545,UserServlet,doPost,15,2,2,29,0,,
rmsor_waa_practice,net.mumde.cs545,UserServlet,getServletInfo,3,1,0,55,0,,
rmsor_waa_practice,com.example.model,BeerExpert,getBrands,12,2,1,16,0,,
rmsor_waa_practice,com.example.model,Tea,Tea,9,1,7,21,0,,
rmsor_waa_practice,com.example.model,Tea,getName,3,1,0,31,0,,
rmsor_waa_practice,com.example.model,Tea,getDescription,3,1,0,35,0,,
rmsor_waa_practice,com.example.model,Tea,getCaffine,3,1,0,39,0,,
rmsor_waa_practice,com.example.model,Tea,getHealthBenifits,3,1,0,43,0,,
rmsor_waa_practice,com.example.model,Tea,getWaterTemperature,3,1,0,47,0,,
rmsor_waa_practice,com.example.model,Tea,getSleepTime,3,1,0,51,0,,
rmsor_waa_practice,com.example.model,Tea,getVarities,3,1,0,55,0,,
rmsor_waa_practice,com.example.model,TeaExpert,TeaExpert,8,1,0,16,0,,
rmsor_waa_practice,com.example.model,TeaExpert,findTea,3,1,1,25,0,,
rmsor_waa_practice,com.example.model,TeaExpert,getKeys,3,1,0,29,0,,
rmsor_waa_practice,com.example.model,Category,Category,4,1,2,16,0,,
rmsor_waa_practice,com.example.model,Category,getCatname,3,1,0,21,0,,
rmsor_waa_practice,com.example.model,Category,getPicture,3,1,0,25,0,,
rmsor_waa_practice,com.example.model,Registration,getName,3,1,0,28,0,,
rmsor_waa_practice,com.example.model,Registration,setName,3,1,1,32,0,,
rmsor_waa_practice,com.example.model,Registration,getEmail,3,1,0,36,0,,
rmsor_waa_practice,com.example.model,Registration,setEmail,3,1,1,40,0,,
rmsor_waa_practice,com.example.model,Registration,getBirthDate,3,1,0,44,0,,
rmsor_waa_practice,com.example.model,Registration,setBirthDate,3,1,1,48,0,,
rmsor_waa_practice,com.example.model,Registration,getStrtAddress,3,1,0,52,0,,
rmsor_waa_practice,com.example.model,Registration,setStrtAddress,3,1,1,56,0,,
rmsor_waa_practice,com.example.model,Registration,getState,3,1,0,60,0,,
rmsor_waa_practice,com.example.model,Registration,setState,3,1,1,64,0,,
rmsor_waa_practice,com.example.model,Registration,getZip,3,1,0,68,0,,
rmsor_waa_practice,com.example.model,Registration,setZip,3,1,1,72,0,,
