Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
rmsor_waa_practice,unittests,TestBrowseSelectController,testGetCatalogNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rmsor_waa_practice,unittests,TestBrowseSelectController,testGetProducts,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rmsor_waa_practice,unittests,TestBrowseSelectController,testGetProducts,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: application.BrowseSelectController.getProducts; business.subsystemExternalInterfaces.Product.getProdName
rmsor_waa_practice,unittests,TestBrowseSelectController,testGetProductNameList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rmsor_waa_practice,unittests,TestBrowseSelectController,testAdd2Cart,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rmsor_waa_practice,unittests,TestBrowseSelectController,testAdd2Cart,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: application.BrowseSelectController.setCat2Browse; application.BrowseSelectController.add2Cart; business.subsystemExternalInterfaces.ShoppingCart.getCartItems
rmsor_waa_practice,unittests,TestBrowseSelectController,testGetCatalogNamesList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rmsor_waa_practice,unittests,TestBrowseSelectController,testGetCartDisplayList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rmsor_waa_practice,unittests,TestBrowseSelectController,testGetCartDisplayList,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: application.BrowseSelectController.getCartDisplayList; business.subsystemExternalInterfaces.ShoppingCart.getCartItems
rmsor_waa_practice,unittests,TestCustomerSubsystemFacade,testCreateAddress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
rmsor_waa_practice,unittests,TestCustomerSubsystemFacade,testCreateAddress,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: business.subsystemExternalInterfaces.Address.getState; business.subsystemExternalInterfaces.Address.getCity
rmsor_waa_practice,unittests,TestCustomerSubsystemFacade,testCreateAddress,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
rmsor_waa_practice,unittests,TestCustomerSubsystemFacade,testCreateCreditCard,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
rmsor_waa_practice,unittests,TestCustomerSubsystemFacade,testCreateCreditCard,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: business.subsystemExternalInterfaces.CreditCard.getCardType; business.subsystemExternalInterfaces.CreditCard.getNameOnCard; business.subsystemExternalInterfaces.CreditCard.getExpirationDate; business.subsystemExternalInterfaces.CreditCard.getCardNum; business.subsystemExternalInterfaces.CustomerSubsystem.createCreditCard
rmsor_waa_practice,unittests,TestCustomerSubsystemFacade,testCreateCreditCard,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
rmsor_waa_practice,unittests,TestManageProductsController,testGetCatalogNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
rmsor_waa_practice,unittests,TestManageProductsController,testGetProductNameArrays,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rmsor_waa_practice,unittests,TestProductSubsystemFacade,testGetCatalogNames,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
rmsor_waa_practice,unittests,TestProductSubsystemFacade,testGetCatalogNames,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
