Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
rmsor_waa_practice,com.example.web,BeerSelect,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.model.BeerExpert
rmsor_waa_practice,com.example.web,TeaSelect,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.model.TeaExpert
rmsor_waa_practice,com.corejsf,RegisterForm.Weekday,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rmsor_waa_practice,com.corejsf,SystemPropertyResolver.PartialResolution,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rmsor_waa_practice,com.corejsf,SystemPropertyResolver.PartialResolution,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
rmsor_waa_practice,application,BrowseSelectController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.subsystemExternalInterfaces.ShoppingCart
rmsor_waa_practice,application.gui,CatalogListWindow,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: application.BrowseSelectController
rmsor_waa_practice,application.gui,CatalogListWindow,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: instance (153)
rmsor_waa_practice,application.gui,DefaultData,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: instance (38); STREET_INT (237); CITY_INT (238); STATE_INT (239); ZIP_INT (240)
rmsor_waa_practice,application.gui,GuiControl,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SCREEN_WIDTH (64); SCREEN_HEIGHT (65); DARK_BLUE (85); LIGHT_BLUE (86); DARK_GRAY (87); APRICOT (88); MAIN_SCREEN_COLOR (90); TABLE_BACKGROUND (91); TABLE_PANE_BACKGROUND (92); SCREEN_BACKGROUND (93); QUANTITY_SCREEN_BGRND (94); QUANTITY_SCREEN_TEXT (95); TABLE_HEADER_FOREGROUND (96); TABLE_HEADER_BACKGROUND (97); WINDOW_BORDER (98); FILLER_COLOR (99)
rmsor_waa_practice,application.jsf,BrowseSelectPCB,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: application.BrowseSelectController
rmsor_waa_practice,application.jsf.validators,QuantityValidator,Law of Demeter violation,The tool detected the smell in this method (validate) because the method voilates the law of Demeter. The long chain of method invocations is : application.jsf.BrowseSelectPCB.getSelectedProduct; business.subsystemExternalInterfaces.Product.getProdName
rmsor_waa_practice,business.productSubsystem,DbCatalog,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: middleware.externalinterfaces.IDataAccessSubsystem
rmsor_waa_practice,business.productSubsystem,MPTestProductSubsystemFacade,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BOOKS (15); CLOTHES (16)
rmsor_waa_practice,business.productSubsystem,ProductSubsystemFacade,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.subsystemExternalInterfaces.Catalog
rmsor_waa_practice,business.shoppingCartSubsystem,ShoppingCartImpl,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.subsystemExternalInterfaces.ShoppingCartLineItem
rmsor_waa_practice,business.shoppingCartSubsystem,ShoppingCartSubsystemFacade,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.shoppingCartSubsystem.ShoppingCartImpl
rmsor_waa_practice,middleware.dataaccess,DataAccessSubsystemFacade,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: middleware.dataaccess.DbAction
rmsor_waa_practice,middleware,MiddlewareCleanup,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: middleware.externalinterfaces.IDataAccessSubsystem
rmsor_waa_practice,unittests,TestBrowseSelectController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.subsystemExternalInterfaces.ProductSubsystem; application.BrowseSelectController; business.subsystemExternalInterfaces.ShoppingCart
rmsor_waa_practice,unittests,TestCustomerSubsystemFacade,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.subsystemExternalInterfaces.CustomerSubsystem
rmsor_waa_practice,unittests,TestManageProductsController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: application.ManageProductsController
rmsor_waa_practice,unittests,TestOrderSubsystem,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.subsystemExternalInterfaces.OrderSubsystem; business.subsystemExternalInterfaces.ProductSubsystem; business.subsystemExternalInterfaces.ShoppingCart
rmsor_waa_practice,unittests,TestOrderSubsystem,Law of Demeter violation,The tool detected the smell in this method (testGetOrderTotal) because the method voilates the law of Demeter. The long chain of method invocations is : business.subsystemExternalInterfaces.OrderSubsystem.getOrder; business.subsystemExternalInterfaces.Order.getTotalPrice
rmsor_waa_practice,unittests,TestProductSubsystemFacade,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.productSubsystem.ProductSubsystemFacade
rmsor_waa_practice,unittests,TestShoppingCartfacade,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: business.subsystemExternalInterfaces.ProductSubsystem; business.subsystemExternalInterfaces.ShoppingCart
