Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
rmsor_waa_practice,ajax,AjaxServlet,0,0,3,0,19,4,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\AjaxTest\src\java\ajax\AjaxServlet.java,16
rmsor_waa_practice,beans,PersonBean,2,0,6,6,21,6,0,0,0.3333333333333333,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\AjaxTest\src\java\beans\PersonBean.java,18
rmsor_waa_practice,beans,GeoCodeView,4,0,7,7,41,10,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\JSFAjax\src\java\beans\GeoCodeView.java,21
rmsor_waa_practice,beans,PersonBean,9,0,18,18,85,21,0,0,0.4444444444444444,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\JSFAjax\src\java\beans\PersonBean.java,20
rmsor_waa_practice,beans,User,5,0,12,12,57,14,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\SimpleApplicationListener\src\java\beans\User.java,17
rmsor_waa_practice,net.mumde.cs545,AjaxPhaseListener,0,0,3,3,25,4,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\AjaxTest\src\java\net\mumde\cs545\AjaxPhaseListener.java,24
rmsor_waa_practice,net.mumde.cs545,Label,2,0,3,3,19,4,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\ForEachDemo\src\java\net\mumde\cs545\Label.java,9
rmsor_waa_practice,net.mumde.cs545,Student,2,0,6,6,22,6,0,0,0.3333333333333333,1,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\ForEachDemo\src\java\net\mumde\cs545\Student.java,3
rmsor_waa_practice,net.mumde.cs545,TableServlet,1,0,2,2,13,2,0,0,1.0,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\ForEachDemo\src\java\net\mumde\cs545\TableServlet.java,9
rmsor_waa_practice,net.mumde.cs545,User,3,0,6,6,25,7,0,0,0.3333333333333333,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\JSFintroDemo\src\java\net\mumde\cs545\User.java,22
rmsor_waa_practice,net.mumde.cs545,UserServlet,0,0,3,1,36,4,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\JSPFromJSF\src\java\net\mumde\cs545\UserServlet.java,16
rmsor_waa_practice,com.example.model,BeerExpert,0,0,1,1,17,2,0,0,-1.0,1,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\BeerAdvisor\src\java\com\example\model\BeerExpert.java,11
rmsor_waa_practice,com.example.model,Tea,7,0,8,8,42,8,0,0,0.0,5,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaAdvisorJSF\src\java\com\example\model\Tea.java,8
rmsor_waa_practice,com.example.model,TeaExpert,1,0,3,3,17,3,0,0,0.0,5,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaAdvisorJSF\src\java\com\example\model\TeaExpert.java,12
rmsor_waa_practice,com.example.model,Category,2,0,3,3,17,3,0,0,0.0,6,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletConversionValidation\src\java\com\example\model\Category.java,8
rmsor_waa_practice,com.example.model,Registration,7,0,15,15,57,15,0,0,0.5333333333333333,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletConversionValidation\src\java\com\example\model\Registration.java,12
rmsor_waa_practice,com.example.model,Tea,7,0,11,11,49,11,0,0,0.2727272727272727,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletConversionValidation\src\java\com\example\model\Tea.java,10
rmsor_waa_practice,com.example.model,TeaExpert,2,0,3,3,27,3,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletConversionValidation\src\java\com\example\model\TeaExpert.java,10
rmsor_waa_practice,com.example.model,Category,2,0,3,3,17,3,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletsOrder\src\java\com\example\model\Category.java,8
rmsor_waa_practice,com.example.model,Tea,7,0,11,11,49,11,0,0,0.2727272727272727,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletsOrder\src\java\com\example\model\Tea.java,10
rmsor_waa_practice,com.example.model,TeaExpert,2,0,3,3,27,3,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletsOrder\src\java\com\example\model\TeaExpert.java,10
rmsor_waa_practice,com.example.model,Tea,10,0,14,14,64,14,0,0,0.21428571428571427,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaOrderDataTable\src\java\com\example\model\Tea.java,10
rmsor_waa_practice,com.example.model,TeaExpert,1,0,2,2,14,2,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaOrderDataTable\src\java\com\example\model\TeaExpert.java,10
rmsor_waa_practice,com.example.model,Category,2,0,3,3,17,3,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaStoreUserValidation\src\java\com\example\model\Category.java,8
rmsor_waa_practice,com.example.model,Tea,7,0,11,11,49,11,0,0,0.2727272727272727,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaStoreUserValidation\src\java\com\example\model\Tea.java,10
rmsor_waa_practice,com.example.model,TeaExpert,2,0,3,3,27,3,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaStoreUserValidation\src\java\com\example\model\TeaExpert.java,10
rmsor_waa_practice,com.example.web,BeerSelect,0,0,3,1,36,3,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\BeerAdvisor\src\java\com\example\web\BeerSelect.java,17
rmsor_waa_practice,com.example.web,TeaSelect,4,0,6,6,29,6,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaAdvisorJSF\src\java\com\example\web\TeaSelect.java,15
rmsor_waa_practice,com.example.web,TeaSelect,6,0,11,11,63,16,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletConversionValidation\src\java\com\example\web\TeaSelect.java,15
rmsor_waa_practice,com.example.web,TeaSelect,6,0,11,11,63,16,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaFaceletsOrder\src\java\com\example\web\TeaSelect.java,15
rmsor_waa_practice,com.example.web,TeaSelect,3,0,5,5,32,7,0,0,0.0,0,1,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaOrderDataTable\src\java\com\example\web\TeaSelect.java,15
rmsor_waa_practice,com.example.web,TeaSelect,6,0,11,11,63,16,0,0,0.0,0,2,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\TeaStoreUserValidation\src\java\com\example\web\TeaSelect.java,15
rmsor_waa_practice,com.corejsf,UserBean,2,0,4,4,16,4,0,0,0.5,0,0,E:\Repositories\Cloned_Reposit\rmsor_waa_practice\CompositeTest\src\java\com\corejsf\UserBean.java,10
