Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.Word2VecTrainerBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.Word2VecTrainerBuilder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: window; layerSize; minCount; initAlpha; numWorker; sampling; model; samplingThreshold; tokenizer
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.TrainingContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.TrainingContext,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: totalWordCount; vocab; window; layerSize; wordCount; sentenceCount; alpha
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.HuffmanTree,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: vocab; wordCount
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.HuffmanTree,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.HuffmanNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: word; count; left; right
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.HuffmanNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.NeuralNetworkLanguageModel,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.NeuralNetworkLanguageModel,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.Word2VecWorker,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: context; sentences
spininertia_w2v4j,com.medallia.w2v4j,Word2VecTrainer.Word2VecWorker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j,WordVector.Code,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
spininertia_w2v4j,com.medallia.w2v4j,WordVector.Code,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j.tokenizer,RegexTokenizer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j.example,Word2VecExample,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
spininertia_w2v4j,com.medallia.w2v4j.example,Word2VecExample,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TRAIN_PATH; MODEL_PATH
