Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboConsumerConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboConsumerConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APPLICATION_NAME; REGISTRY_ADDRESS; ANNOTATION_PACKAGE
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboProviderConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboProviderConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APPLICATION_NAME; REGISTRY_ADDRESS; ANNOTATION_PACKAGE
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo,SampleWebSocketsApplicationTests.ClientConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: webSocketUri; latch; messagePayload
springprojects_spring-boot-showcase,com.gaodashang.demo,SampleWebSocketsApplicationTests.ClientConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo,HandshakeInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,HelloController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,LoginController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,MessageController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,TemplateController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.service,HelloService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.service,HelloServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration.AtomikosJtaJmsConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration.AtomikosJtaJmsConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaPlatform,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: logger; transactionManager; userTransaction
springprojects_spring-boot-showcase,com.gaodashang.jmd,HelloWorldServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd,JtaAutoConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
springprojects_spring-boot-showcase,com.gaodashang.jmd,JtaAutoConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd,MainApplicationConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd,MainController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd.book,BookConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd.person,PersonConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.jmd.person,PersonConfiguration,Feature Envy,The tool detected a instance of this smell because personDataSource is more interested in members of the type: PersonDatasourceProperties
springprojects_spring-boot-showcase,com.gaodashang.demo.client,SimpleClientWebSocketHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.client,SimpleGreetingService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.echo,EchoServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.echo,EchoWebSocketHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.echo,CustomContainerWebSocketsApplicationTests.CustomContainerConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
springprojects_spring-boot-showcase,com.gaodashang.demo.echo,CustomContainerWebSocketsApplicationTests.CustomContainerConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.echo,CustomContainerWebSocketsApplicationTests.ClientConfiguration,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: webSocketUri; latch; messagePayload
springprojects_spring-boot-showcase,com.gaodashang.demo.echo,CustomContainerWebSocketsApplicationTests.ClientConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.reverse,ReverseWebSocketEndpoint,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,Direction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,Location,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: x; y; GRID_SIZE; PLAYFIELD_HEIGHT; PLAYFIELD_WIDTH
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLAYFIELD_WIDTH; PLAYFIELD_HEIGHT; GRID_SIZE; random
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLAYFIELD_WIDTH; PLAYFIELD_HEIGHT; GRID_SIZE; snakeIds; random; id; snake
