Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboConsumerConfig,providerConfig,Magic Number,The method contains a magic number: 30881,58
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboProviderConfig,providerConfig,Magic Number,The method contains a magic number: 30881,58
springprojects_spring-boot-showcase,com.gaodashang.demo,SampleWebSocketsApplicationTests,echoEndpoint,Long Statement,The length of the statement "ConfigurableApplicationContext context=new SpringApplicationBuilder(ClientConfiguration.class`PropertyPlaceholderAutoConfiguration.class).properties("websocket.uri:ws://localhost:" + this.port + "/echo/websocket").run("--spring.main.web_environment=false");" is 257.,59
springprojects_spring-boot-showcase,com.gaodashang.demo,SampleWebSocketsApplicationTests,reverseEndpoint,Long Statement,The length of the statement "ConfigurableApplicationContext context=new SpringApplicationBuilder(ClientConfiguration.class`PropertyPlaceholderAutoConfiguration.class).properties("websocket.uri:ws://localhost:" + this.port + "/reverse").run("--spring.main.web_environment=false");" is 250.,74
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,registerWebSocketHandlers,Long Statement,The length of the statement "registry.addHandler(textMessageHandler()`"/websocket/socketjs").addInterceptors(new HandshakeInterceptor()).withSockJS();" is 121.,18
springprojects_spring-boot-showcase,com.gaodashang.jmd.book,BookConfiguration,bookEntityManagerFactory,Long Statement,The length of the statement "return factory.dataSource(bookDataSource()).properties(customizedJpaProperties).jta(true).packages(Book.class).persistenceUnit("books").build();" is 144.,61
springprojects_spring-boot-showcase,com.gaodashang.jmd.person,PersonConfiguration,personEntityManagerFactory,Long Statement,The length of the statement "return factory.dataSource(personDataSource()).properties(customizedJpaProperties).jta(true).packages(Person.class).persistenceUnit("people").build();" is 149.,63
springprojects_spring-boot-showcase,com.gaodashang.demo.echo,CustomContainerWebSocketsApplicationTests,echoEndpoint,Long Statement,The length of the statement "ConfigurableApplicationContext context=new SpringApplicationBuilder(ClientConfiguration.class`PropertyPlaceholderAutoConfiguration.class).properties("websocket.uri:ws://localhost:" + PORT + "/ws/echo/websocket").run("--spring.main.web_environment=false");" is 255.,64
springprojects_spring-boot-showcase,com.gaodashang.demo.echo,CustomContainerWebSocketsApplicationTests,reverseEndpoint,Long Statement,The length of the statement "ConfigurableApplicationContext context=new SpringApplicationBuilder(ClientConfiguration.class`PropertyPlaceholderAutoConfiguration.class).properties("websocket.uri:ws://localhost:" + PORT + "/ws/reverse").run("--spring.main.web_environment=false");" is 248.,78
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,Location,getAdjacentLocation,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@5e05dd42,33
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,Location,hashCode,Magic Number,The method contains a magic number: 31,71
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeUtils,getRandomHexColor,Magic Number,The method contains a magic number: 2000,31
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeUtils,getRandomHexColor,Magic Number,The method contains a magic number: 1000,31
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeUtils,getRandomHexColor,Magic Number,The method contains a magic number: 10000f,31
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeUtils,getRandomHexColor,Magic Number,The method contains a magic number: 0.9f,31
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeUtils,getRandomHexColor,Magic Number,The method contains a magic number: 0xffffff,31
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeUtils,getRandomHexColor,Magic Number,The method contains a magic number: 0x1000000,31
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeUtils,roundByGridSize,Magic Number,The method contains a magic number: 2,47
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,getRandomHexColor,Magic Number,The method contains a magic number: 2000,29
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,getRandomHexColor,Magic Number,The method contains a magic number: 1000,29
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,getRandomHexColor,Magic Number,The method contains a magic number: 10000f,29
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,getRandomHexColor,Magic Number,The method contains a magic number: 0.9f,29
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,getRandomHexColor,Magic Number,The method contains a magic number: 0xffffff,29
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,getRandomHexColor,Magic Number,The method contains a magic number: 0x1000000,29
springprojects_spring-boot-showcase,com.gaodashang.demo.snake,SnakeWebSocketHandler,roundByGridSize,Magic Number,The method contains a magic number: 2,45
