Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboConsumerConfig,applicationConfig,5,1,0,37,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboConsumerConfig,registryConfig,5,1,0,44,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboConsumerConfig,annotationBean,5,1,0,51,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboConsumerConfig,providerConfig,5,1,0,58,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,main,3,1,1,13,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboProviderConfig,applicationConfig,5,1,0,37,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboProviderConfig,registryConfig,5,1,0,44,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboProviderConfig,annotationBean,5,1,0,51,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboProviderConfig,providerConfig,5,1,0,58,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,main,3,1,1,13,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,main,3,1,1,15,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,configure,3,1,1,19,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,registerWebSocketHandlers,4,1,1,27,0,com.gaodashang.demo.WebSocketConfiguration,com.gaodashang.demo.WebSocketConfiguration
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,echoService,3,1,0,33,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,echoWebSocketHandler,3,1,0,38,0,com.gaodashang.demo.WebSocketConfiguration,com.gaodashang.demo.WebSocketConfiguration
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,snakeWebSocketHandler,3,1,0,43,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,greetingService,3,1,0,48,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,reverseWebSocketEndpoint,3,1,0,54,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,serverEndpointExporter,3,1,0,59,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,SampleWebSocketsApplicationTests,echoEndpoint,8,1,0,59,1,,
springprojects_spring-boot-showcase,com.gaodashang.demo,SampleWebSocketsApplicationTests,reverseEndpoint,8,1,0,74,1,,
springprojects_spring-boot-showcase,com.gaodashang.demo,HandshakeInterceptor,afterHandshake,4,1,4,14,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,HandshakeInterceptor,beforeHandshake,13,4,4,20,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,main,3,1,1,15,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,configure,3,1,1,19,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,TextMessageHandler,afterConnectionEstablished,6,1,1,23,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,TextMessageHandler,handleMessage,3,1,2,34,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,TextMessageHandler,handleTextMessage,4,1,2,39,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,TextMessageHandler,handleTransportError,8,2,2,48,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,TextMessageHandler,afterConnectionClosed,4,1,2,58,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,TextMessageHandler,sendMessageToUser,14,4,2,64,0,com.gaodashang.demo.TextMessageHandler,com.gaodashang.demo.TextMessageHandler
springprojects_spring-boot-showcase,com.gaodashang.demo,TextMessageHandler,sendMessageToUsers,12,3,1,79,0,com.gaodashang.demo.TextMessageHandler,com.gaodashang.demo.TextMessageHandler
springprojects_spring-boot-showcase,com.gaodashang.demo,TextMessageHandler,userIterator,4,1,0,93,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,registerWebSocketHandlers,4,1,1,18,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,textMessageHandler,3,1,0,24,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,HelloController,hello,4,1,1,19,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,LoginController,login,5,1,2,14,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,MessageController,textMessageHandler,3,1,0,17,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,MessageController,view,3,1,0,22,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,MessageController,send,5,1,2,27,0,com.gaodashang.demo.endpoint.MessageController,com.gaodashang.demo.endpoint.MessageController
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,TemplateController,index,3,1,0,14,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,TemplateController,login,3,1,0,19,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.endpoint,TemplateController,message,3,1,0,24,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.service,HelloService,hello,0,1,1,10,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.service,HelloService,hello,0,1,1,10,0,,
springprojects_spring-boot-showcase,com.gaodashang.demo.service,HelloServiceImpl,hello,3,1,1,13,0,,
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration,atomikosProperties,3,1,0,54,0,,
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration,userTransactionService,9,2,1,61,0,com.gaodashang.jmd.AtomikosJtaConfiguration,com.gaodashang.jmd.AtomikosJtaConfiguration
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration,getLogBaseDir,7,2,0,75,0,,
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration,atomikosTransactionManager,6,1,1,83,0,,
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration,xaDataSourceWrapper,3,1,0,93,0,,
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration,atomikosDependsOnBeanFactoryPostProcessor,3,1,0,99,0,,
springprojects_spring-boot-showcase,com.gaodashang.jmd,AtomikosJtaConfiguration,transactionManager,5,1,2,105,0,,
