Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboConsumerConfig,3,3,4,4,28,4,0,0,1.0,0,0,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\dubbo-consumer\src\main\java\com\gaodashang\demo\DubboConsumerConfig.java,25
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,0,0,1,1,5,1,0,0,-1.0,3,0,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\dubbo-consumer\src\main\java\com\gaodashang\demo\MainApplicationConfiguration.java,10
springprojects_spring-boot-showcase,com.gaodashang.demo,DubboProviderConfig,3,3,4,4,28,4,0,0,1.0,0,0,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\dubbo-provider\src\main\java\com\gaodashang\demo\DubboProviderConfig.java,25
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,0,0,1,1,5,1,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\dubbo-provider\src\main\java\com\gaodashang\demo\MainApplicationConfiguration.java,10
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,0,0,2,1,8,2,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\websocket-tomcat\src\main\java\com\gaodashang\demo\MainApplicationConfiguration.java,12
springprojects_spring-boot-showcase,com.gaodashang.demo,WebSocketConfiguration,0,0,7,7,28,7,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\websocket-tomcat\src\main\java\com\gaodashang\demo\WebSocketConfiguration.java,19
springprojects_spring-boot-showcase,com.gaodashang.demo,SampleWebSocketsApplicationTests,5,0,2,2,48,2,0,0,0.0,0,0,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\websocket-tomcat\src\test\java\com\gaodashang\demo\SampleWebSocketsApplicationTests.java,47
springprojects_spring-boot-showcase,com.gaodashang.demo,SampleWebSocketsApplicationTests.ClientConfiguration,3,0,0,0,28,0,0,0,-1.0,0,0,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\websocket-tomcat\src\test\java\com\gaodashang\demo\SampleWebSocketsApplicationTests.java,88
springprojects_spring-boot-showcase,com.gaodashang.demo,Constants,2,0,0,0,10,0,0,0,-1.0,3,0,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\websocket-tomcat-a\src\main\java\com\gaodashang\demo\Constants.java,3
springprojects_spring-boot-showcase,com.gaodashang.demo,HandshakeInterceptor,0,0,2,2,19,5,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\websocket-tomcat-a\src\main\java\com\gaodashang\demo\HandshakeInterceptor.java,12
springprojects_spring-boot-showcase,com.gaodashang.demo,MainApplicationConfiguration,0,0,2,1,8,2,0,0,-1.0,0,1,E:\Repositories\Cloned_Reposit\springprojects_spring-boot-showcase\websocket-tomcat-a\src\main\java\com\gaodashang\demo\MainApplicationConfiguration.java,12
