Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,importSongs,Empty catch clause,The method has an empty catch block.,20
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,importSongs,Long Statement,The length of the statement "String query="insert into songs (id` title` alternate_title` lyrics` search_title` search_lyrics)" + " values (?` ?` ?` ?` ?` ?)";" is 130.,20
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,importSongs,Magic Number,The method contains a magic number: 2,20
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,importSongs,Magic Number,The method contains a magic number: 3,20
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,importSongs,Magic Number,The method contains a magic number: 4,20
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,importSongs,Magic Number,The method contains a magic number: 5,20
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,importSongs,Magic Number,The method contains a magic number: 6,20
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,getId,Empty catch clause,The method has an empty catch block.,74
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDaoTest,testImportSongs,Magic Number,The method contains a magic number: 25,44
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,Main,main,Long Statement,The length of the statement "System.out.println("Enter the lyrics file or directory you would like to import (For example` /your-home-dir/lyrics): ");" is 121.,11
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,Main,getDbPath,Long Statement,The length of the statement "System.out.println("Enter the path of your sqlite database" + " (For example` /your-home-dir/.local/share/openlp/songs/songs.sqlite): ");" is 137.,38
