Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,ISongImportDao,importSongs,0,1,1,9,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,importSongs,36,3,1,20,0,org.simpleopenlpimporter.dao.SqliteSongImportDao,org.simpleopenlpimporter.dao.SqliteSongImportDao
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,getConnection,4,1,0,63,0,org.simpleopenlpimporter.dao.SqliteSongImportDao,org.simpleopenlpimporter.dao.SqliteSongImportDao
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,getDbPath,3,1,0,69,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDao,getId,26,3,1,74,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDaoTest,getDbPath,3,1,0,20,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDaoTest,setUp,7,1,0,26,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDaoTest,testGetConnection,5,1,0,36,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.dao,SqliteSongImportDaoTest,testImportSongs,28,4,0,44,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,Song,2,1,0,17,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,Song,7,1,2,22,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,getId,3,1,0,31,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,setId,3,1,1,36,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,getTitle,3,1,0,41,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,setTitle,3,1,1,46,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,getAlternateTitle,3,1,0,51,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,setAlternateTitle,3,1,1,56,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,getLyrics,3,1,0,61,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,setLyrics,3,1,1,66,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,getSearchTitle,3,1,0,71,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,setSearchTitle,3,1,1,76,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,getSearchLyrics,3,1,0,81,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,setSearchLyrics,3,1,1,86,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,toString,3,1,0,91,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,equals,6,2,1,98,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter.domain,Song,hashCode,3,1,0,106,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,ISongsImporter,importSongs,0,1,1,7,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,Main,main,16,3,1,11,0,org.simpleopenlpimporter.Main,org.simpleopenlpimporter.Main
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,Main,getDbPath,9,2,1,38,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,importSongs,12,2,1,21,0,org.simpleopenlpimporter.SongsImporter,org.simpleopenlpimporter.SongsImporter
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getSongsInDir,13,3,1,36,0,org.simpleopenlpimporter.SongsImporter,org.simpleopenlpimporter.SongsImporter
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getSongFromFile,11,1,1,51,0,org.simpleopenlpimporter.SongsImporter,org.simpleopenlpimporter.SongsImporter
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,wrapLyricsInXml,12,1,1,65,0,org.simpleopenlpimporter.SongsImporter,org.simpleopenlpimporter.SongsImporter
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getXmlHeader,3,1,0,87,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getOpenSongElement,3,1,0,92,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getCloseSongElement,3,1,0,97,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getOpenLyricsElement,3,1,1,102,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getCloseLyricsElement,3,1,0,107,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getOpenVerseElement,3,1,2,112,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getCloseVerseElement,3,1,0,117,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getCData,3,1,1,122,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporter,getSongImportDao,3,1,0,127,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,getSongImportDao,8,1,0,19,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,getDbPath,3,1,0,22,0,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetXmlHeader,5,1,0,30,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetOpenSongElement,5,1,0,38,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetCloseSongElement,5,1,0,46,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetOpenLyricsElement,5,1,0,54,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetCloseLyricsElement,5,1,0,62,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetOpenVerseElement,5,1,0,70,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetCloseVerseElement,5,1,0,78,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetCData,6,1,0,86,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testWrapLyricsInXml,15,1,0,95,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetSongFromFile,5,1,0,116,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testGetSongsInDir,4,1,0,126,1,,
sskjames_simpleopenlpimporter,org.simpleopenlpimporter,SongsImporterTest,testImportSongs,4,1,0,133,1,,
