Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverter,getUnicodeText,10,3,1,43,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverter,getUnicodeTextUsingJavaScript,14,1,1,56,0,org.tamilunicodeconverter.converter.BaminiConverter,org.tamilunicodeconverter.converter.BaminiConverter
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverter,getScriptContent,7,1,0,72,0,org.tamilunicodeconverter.converter.BaminiConverter,org.tamilunicodeconverter.converter.BaminiConverter
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverter,getScriptUrl,3,1,0,81,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,ConverterFactory,getConverter,3,1,0,26,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,IUnicodeConverter,getUnicodeText,0,1,1,25,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,BaminiConverterTest,2,1,0,42,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testGetScriptUrl,5,1,0,46,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testGetScriptContent,5,1,0,56,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testConvertBaminiToUnicode,10,1,0,64,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testConvertBaminiWord_1,7,1,0,78,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testBaminiWord_2,7,1,0,88,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testBaminiWord_3,7,1,0,99,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testBaminiWord_4,7,1,0,110,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testBaminiWord_5,7,1,0,121,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.converter,BaminiConverterTest,testBaminiWord_6,7,1,0,132,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.extractor,ContentExtractor,ContentExtractor,2,1,0,35,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.extractor,ContentExtractor,get,6,2,0,39,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.extractor,ContentExtractor,getContent,11,1,1,47,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.extractor,ContentExtractorTest,ContentExtractorTest,2,1,0,35,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.extractor,ContentExtractorTest,testExtract,6,1,0,39,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,Main,main,15,2,1,32,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,TamilUnicodeConverter,2,1,0,47,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,TamilUnicodeConverter,3,1,1,51,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,convert,10,2,2,56,0,org.tamilunicodeconverter.TamilUnicodeConverter,org.tamilunicodeconverter.TamilUnicodeConverter
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,convertFilesInDir,11,3,2,67,0,org.tamilunicodeconverter.TamilUnicodeConverter,org.tamilunicodeconverter.TamilUnicodeConverter
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,convertFile,13,1,2,81,0,org.tamilunicodeconverter.TamilUnicodeConverter,org.tamilunicodeconverter.TamilUnicodeConverter
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,storeContent,12,2,4,105,0,org.tamilunicodeconverter.TamilUnicodeConverter,org.tamilunicodeconverter.TamilUnicodeConverter
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,writeContentToFile,11,2,2,127,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,getRawOutputFile,4,1,2,139,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,getUnicodeOutputFile,4,1,2,146,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,getFileNameFromContent,17,4,1,159,0,org.tamilunicodeconverter.TamilUnicodeConverter,org.tamilunicodeconverter.TamilUnicodeConverter
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,isCreateOutputFileNameFromContent,3,1,0,179,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,setCreateOutputFileNameFromContent,3,1,1,184,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,getMaxFileNameLength,3,1,0,190,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,setMaxFileNameLength,3,1,1,195,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,getMaxFileNameTokens,3,1,0,200,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,setMaxFileNameTokens,3,1,1,205,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,getConvertedFilesCount,3,1,0,210,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverter,resetConvertedFilesCount,3,1,0,215,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverterTest,testGetRawOutputFile,5,1,0,39,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverterTest,testGetUnicodeOutputFile,5,1,0,49,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverterTest,testGetFileNameFromContent_1,7,1,0,59,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverterTest,testGetFileNameFromContent_2,7,1,0,69,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverterTest,testConvertFile,5,1,0,79,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverterTest,testConvertFile_createOutputFileNameFromContent,6,1,0,89,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter,TamilUnicodeConverterTest,testConvert,4,1,0,98,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.map,BaminiUnicodeMap,getMap,3,1,0,65,0,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.map,BaminiUnicodeMapTest,testPrintAllEntries,5,2,0,35,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.map,BaminiUnicodeMapTest,testChars,6,1,0,43,1,,
sskjames_tamilunicodeconverter,org.tamilunicodeconverter.map,BaminiUnicodeMapTest,testBaminiWord_1,10,2,0,52,1,,
