Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
stephensanchez_familiar,characters,BaseCharacter,getName,3,1,0,15,0,,
stephensanchez_familiar,characters,BaseCharacter,setName,3,1,1,20,0,,
stephensanchez_familiar,characters,BaseCharacterService,BaseCharacterService,3,1,0,15,0,,
stephensanchez_familiar,characters,BaseCharacterService,getCharacter,9,1,1,19,0,,
stephensanchez_familiar,characters,BaseCharacterService,createCharacter,9,1,1,30,0,,
stephensanchez_familiar,characters,BaseCharacterService,updateCharacter,7,1,1,41,0,,
stephensanchez_familiar,characters,Character,getName,0,1,0,14,0,,
stephensanchez_familiar,characters,Character,setName,0,1,1,16,0,,
stephensanchez_familiar,characters,CharacterAppConfig,serviceBean,3,1,0,12,0,,
stephensanchez_familiar,characters,CharacterResource,CharacterResource,6,1,0,16,0,,
stephensanchez_familiar,characters,CharacterResource,getCharacter,9,2,1,24,0,,
stephensanchez_familiar,characters,CharacterResource,createCharacter,4,1,1,36,0,,
stephensanchez_familiar,characters,CharacterService,getCharacter,0,1,1,8,0,,
stephensanchez_familiar,characters,CharacterService,createCharacter,0,1,1,10,0,,
stephensanchez_familiar,characters,CharacterService,updateCharacter,0,1,1,12,0,,
