Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,NewClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,NewClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio.dao,AsistenciaDao,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio.dao,EmpleadoDao,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio.dao,EmpresaDao,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,AsistenciaDaoImp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,Borrador,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,Borrador,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpresaDaoImp,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.estudiandojmf,eventos,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Camara; eventos; miPlayer; jDispositivos; JMenuFormato; panelCamara
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.estudiandojmf,jDispositivos,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TITULOJPane
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.estudiandojmf,mensajero,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NOMBRE_SISTEMA; ACCION_ALTA; ACCION_BAJA; ACCION_ACTUALIZACION; OPERACION_OK
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.main,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.util,AsistenciaUtil,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.util,Constantes,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: TITLE_APP
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.util,Constantes,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TITLE_APP
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.util,DetalleReporte,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.util,OrdenarAsistenciaPorId,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.asistencia,GestorAsistencia,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.empleado,AltaEmpleado,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: GESTOR_EMPLEADO; icono; imgByte; pathFoto; resp; seleccionofoto; legajo; BotonGuardarSelecciono; nombredelarchivo; btnCancelarOperacion; btnGuardar; btneEliminar; elegirFichero; jButton1; labelMetric10; labelMetric11; labelMetric12; labelMetric13; labelMetric14; labelMetric15; labelMetric9; lblFoto; panel1; txtApellido; txtDireccion; txtDni; txtLegajo; txtLocalidad; txtNombre; txtTelefono
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.empleado,AltaEmpleado,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 36 methods
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.empleado,GestorEmpleado,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: VENTANA_GESTOR_ASISTENCIA; MENU; isModificar; modelo; listaEmpleado; seleccionado; legajo; quienloyamo; parent; icono; canEdit; btnCancelarOperacion; btnModificar; btnNuevo; btnReporte; btnSeleccion; btnSeleccion2; comboBoxRound1; elegirFoto; jScrollPane2; labelMetric1; panel1; tblEmpleado; txtEmpleado
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.empleado,GestorEmpleado,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 36 methods
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.empresa,AltaEmpresa,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.main,Camara,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Camara; eventos; miPlayer; jDispositivos; JMenuFormato; panelCamara
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.main,Camara,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.vistas.main,jacerca,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
