Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,Asistencia,2,1,0,25,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,Asistencia,12,1,10,28,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getIdAsistencia,3,1,0,41,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setIdAsistencia,3,1,1,45,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getEmpleado,3,1,0,48,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setEmpleado,3,1,1,52,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getEstado,3,1,0,55,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setEstado,3,1,1,59,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getImagen,3,1,0,62,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setImagen,3,1,1,66,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getFecha,3,1,0,69,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setFecha,3,1,1,73,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getHora,3,1,0,76,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setHora,3,1,1,80,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getModificado,3,1,0,83,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setModificado,3,1,1,87,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getFechaModificado,3,1,0,90,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setFechaModificado,3,1,1,94,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getCorrecto,3,1,0,97,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setCorrecto,3,1,1,101,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getObservacion,3,1,0,104,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setObservacion,3,1,1,108,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,getReajuste,3,1,0,111,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Asistencia,setReajuste,3,1,1,115,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,Empleado,2,1,0,29,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,Empleado,4,1,2,33,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,Empleado,15,1,13,37,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getLegajo,3,1,0,53,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setLegajo,3,1,1,57,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getEmpresa,3,1,0,60,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setEmpresa,3,1,1,64,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getDni,3,1,0,67,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setDni,3,1,1,71,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getApellido,3,1,0,74,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setApellido,3,1,1,78,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getNombre,3,1,0,81,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setNombre,3,1,1,85,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getFechaIngreso,3,1,0,88,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setFechaIngreso,3,1,1,92,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getDireccion,3,1,0,95,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setDireccion,3,1,1,99,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getLocalidad,3,1,0,102,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setLocalidad,3,1,1,106,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getClave,3,1,0,109,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setClave,3,1,1,113,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getAdministrador,3,1,0,116,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setAdministrador,3,1,1,120,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getImagen,3,1,0,123,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setImagen,3,1,1,127,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getTelefono,3,1,0,130,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setTelefono,3,1,1,134,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,getAsistencias,3,1,0,137,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empleado,setAsistencias,3,1,1,141,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,Empresa,2,1,0,25,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,Empresa,4,1,2,29,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,Empresa,10,1,8,33,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,getIdEmpresa,3,1,0,44,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,setIdEmpresa,3,1,1,48,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,getCuit,3,1,0,51,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,setCuit,3,1,1,55,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,getDenominacion,3,1,0,58,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,setDenominacion,3,1,1,62,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,getDomicilio,3,1,0,65,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,setDomicilio,3,1,1,69,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,getFechaInicio,3,1,0,72,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,setFechaInicio,3,1,1,76,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,getIngresoBruto,3,1,0,79,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,setIngresoBruto,3,1,1,83,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,getCategoria,3,1,0,86,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,setCategoria,3,1,1,90,0,,
tecnomatico_AsistenciaTecnomatica,com.freelancersteam.www.java.tomafoto.dominio,Empresa,getImagen,3,1,0,93,0,,
