Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexInfo,IndexInfo,2,1,0,17,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexInfo,IndexInfo,4,1,2,20,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexInfo,getName,3,1,0,25,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexInfo,setName,3,1,1,29,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexInfo,getType,3,1,0,33,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexInfo,setType,3,1,1,37,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,addToBulk,0,1,2,13,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,executeBulkAdd,0,1,0,22,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,get,0,1,2,29,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,putMapping,0,1,1,39,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,indexExists,0,1,1,46,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,createIndex,0,1,3,54,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,deleteIndices,0,1,1,63,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,deleteIndex,0,1,1,65,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,updateSettings,0,1,1,67,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManager,getElasticSearchClient,0,1,0,73,0,,
thiguetta_elastiky-framework,com.arquivolivre.elastikjay.commons,IndexManagerImpl,IndexManagerImpl,3,1,1,48,0,,
