Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
tsinux_JavaSE,day01,TestVeriable,method1,Magic Number,The method contains a magic number: 10,49
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 12,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 2,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 12.3f,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 12.3,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 12,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 11,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 12345l,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 12,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 3,5
tsinux_JavaSE,day01,TestVeriable1,main,Magic Number,The method contains a magic number: 4,5
tsinux_JavaSE,day02,TestExer1,main,Magic Number,The method contains a magic number: 12,5
tsinux_JavaSE,day02,TestExer1,main,Magic Number,The method contains a magic number: 5,5
tsinux_JavaSE,day02,TestIf1,main,Magic Number,The method contains a magic number: 28,5
tsinux_JavaSE,day02,TestIf1,main,Magic Number,The method contains a magic number: 18,5
tsinux_JavaSE,day02,TestIf1,main,Magic Number,The method contains a magic number: 200,5
tsinux_JavaSE,day02,TestIf1,main,Magic Number,The method contains a magic number: 30,5
tsinux_JavaSE,day02,TestIf2,main,Magic Number,The method contains a magic number: 100,7
tsinux_JavaSE,day02,TestIf2,main,Magic Number,The method contains a magic number: 100,7
tsinux_JavaSE,day02,TestIf2,main,Magic Number,The method contains a magic number: 80,7
tsinux_JavaSE,day02,TestIf2,main,Magic Number,The method contains a magic number: 99,7
tsinux_JavaSE,day02,TestIf2,main,Magic Number,The method contains a magic number: 60,7
tsinux_JavaSE,day02,TestIf2,main,Magic Number,The method contains a magic number: 80,7
tsinux_JavaSE,day02,TestSanYuan,main,Magic Number,The method contains a magic number: 10,5
tsinux_JavaSE,day02,TestSanYuan,main,Magic Number,The method contains a magic number: 20,5
tsinux_JavaSE,day02,TestSanYuan,main,Magic Number,The method contains a magic number: 60,5
tsinux_JavaSE,day02,TestSortStruc,main,Magic Number,The method contains a magic number: 12,5
tsinux_JavaSE,day02,TestSwitch1,main,Magic Number,The method contains a magic number: 2,5
tsinux_JavaSE,day02,TestSwitch1,main,Magic Number,The method contains a magic number: 2,5
tsinux_JavaSE,day02,TestSwitch1,main,Magic Number,The method contains a magic number: 3,5
