Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
tsinux_JavaSE,day01,TestVeriable,main,2,1,1,5,0,,
tsinux_JavaSE,day01,TestVeriable,method1,4,1,0,49,0,,
tsinux_JavaSE,day01,TestVeriable1,main,37,1,1,5,0,,
tsinux_JavaSE,day02,TestExer1,main,9,1,1,5,0,,
tsinux_JavaSE,day02,TestIf1,main,18,4,1,5,0,,
tsinux_JavaSE,day02,TestIf2,main,22,5,1,7,0,,
tsinux_JavaSE,day02,TestIf3,main,32,6,1,7,0,,
tsinux_JavaSE,day02,TestSanYuan,main,13,1,1,5,0,,
tsinux_JavaSE,day02,TestScanner,main,6,1,1,7,0,,
tsinux_JavaSE,day02,TestSortStruc,main,5,1,1,5,0,,
tsinux_JavaSE,day02,TestSwitch1,main,0,5,1,5,0,,
tsinux_JavaSE,day02,TestSwitch2,main,0,5,1,5,0,,
tsinux_JavaSE,day02,TestSwitch3,main,0,12,1,5,0,,
tsinux_JavaSE,day02,TestSwitch4,main,35,13,1,8,0,,
tsinux_JavaSE,day03,FooBizBaz,main,15,5,1,7,0,,
tsinux_JavaSE,day03,ShuiXianHua,main,10,3,1,7,0,,
tsinux_JavaSE,day03,TestBreakContinue,main,17,6,1,15,0,,
tsinux_JavaSE,day03,TestDoWhile,main,10,3,1,5,0,,
tsinux_JavaSE,day03,TestExer,main,20,4,1,9,0,,
tsinux_JavaSE,day03,TestFor,main,25,5,1,5,0,,
tsinux_JavaSE,day03,TestForFor,main,20,7,1,6,0,,
tsinux_JavaSE,day03,TestJiuJiu,main,8,3,1,12,0,,
tsinux_JavaSE,day03,TestPrimeNum,main,18,5,1,9,0,,
tsinux_JavaSE,day03,TestPrimeNum1,main,13,4,1,9,0,,
tsinux_JavaSE,day03,TestWanShu,main,14,5,1,11,0,,
tsinux_JavaSE,day03,TestWhile,main,12,3,1,5,0,,
tsinux_JavaSE,day04,HelloWorld,main,3,1,1,5,0,,
tsinux_JavaSE,day04,TestArray,main,34,7,1,5,0,,
tsinux_JavaSE,day04,TestArray0,main,17,2,1,5,0,,
tsinux_JavaSE,day04,TestArray1,main,12,3,1,6,0,,
tsinux_JavaSE,day04,TestArray2,main,26,3,1,6,0,,
tsinux_JavaSE,day04,TestArray3,main,59,15,1,10,0,,
tsinux_JavaSE,day04,TestException,main,12,2,1,6,0,,
tsinux_JavaSE,day04,TestGetSum,main,12,3,1,6,0,,
tsinux_JavaSE,day04,TestPritimive,main,6,2,1,5,0,,
tsinux_JavaSE,day04,TestStudentScore,main,32,7,1,16,0,,
tsinux_JavaSE,day04,TestYangHui,main,20,7,1,15,0,,
tsinux_JavaSE,day05,ArrayUtil,getMax,9,3,1,8,0,,
tsinux_JavaSE,day05,ArrayUtil,getMin,9,3,1,19,0,,
tsinux_JavaSE,day05,ArrayUtil,printArray,7,2,1,30,0,,
tsinux_JavaSE,day05,ArrayUtil,avg,4,1,1,39,0,day05.ArrayUtil,day05.ArrayUtil
tsinux_JavaSE,day05,ArrayUtil,getSum,7,2,1,45,0,,
tsinux_JavaSE,day05,ArrayUtil,reverse,8,2,1,54,0,,
tsinux_JavaSE,day05,ArrayUtil,copy,7,2,1,64,0,,
tsinux_JavaSE,day05,ArrayUtil,sort,23,9,2,73,0,day05.ArrayUtil,day05.ArrayUtil
tsinux_JavaSE,day05,ArrayUtil,swap,5,1,3,102,0,,
tsinux_JavaSE,day05,TestArray,main,15,1,1,5,0,,
tsinux_JavaSE,day05,TestCircle,main,7,1,1,7,0,,
tsinux_JavaSE,day05,TestOverLoad1,main,9,1,1,7,0,day05.TestOverLoad1,day05.TestOverLoad1
tsinux_JavaSE,day05,TestOverLoad1,max,3,1,2,19,0,,
tsinux_JavaSE,day05,TestOverLoad1,max,3,1,2,23,0,,
tsinux_JavaSE,day05,TestOverLoad1,max,3,1,3,27,0,,
tsinux_JavaSE,day05,TestOverLoad1,mOL,3,1,1,32,0,,
tsinux_JavaSE,day05,TestOverLoad1,mOL,3,1,2,36,0,,
tsinux_JavaSE,day05,TestOverLoad1,mOL,3,1,1,40,0,,
tsinux_JavaSE,day05,TestPerson,main,22,1,1,12,0,,
tsinux_JavaSE,day05,TestPerson1,main,9,1,1,9,0,,
tsinux_JavaSE,day05,Zoo,main,24,1,1,46,0,,
tsinux_JavaSE,day06,Circle,findArea,3,1,0,10,0,,
tsinux_JavaSE,day06,Circle,setRadius,3,1,1,14,0,,
tsinux_JavaSE,day06,Circle,getRadius,3,1,0,18,0,,
tsinux_JavaSE,day06,Circle,show,3,1,0,22,0,,
tsinux_JavaSE,day06,TestAnimal,main,9,1,1,23,0,,
tsinux_JavaSE,day06,TestArgs,main,5,1,1,13,0,day06.TestArgs,day06.TestArgs
tsinux_JavaSE,day06,TestArgs,sayHello,3,1,0,20,0,,
tsinux_JavaSE,day06,TestArgs,sayHello,3,1,1,24,0,,
tsinux_JavaSE,day06,TestArgs,sayHello,5,2,1,29,0,,
tsinux_JavaSE,day06,TestArgs,sayHello,6,2,2,35,0,,
tsinux_JavaSE,day06,TestArgs,sayHello1,5,2,1,43,0,,
tsinux_JavaSE,day06,TestArgs,getSum,3,1,2,50,0,,
tsinux_JavaSE,day06,TestArgs,getSum,3,1,3,53,0,,
tsinux_JavaSE,day06,TestArgs,getSum,7,2,1,57,0,,
tsinux_JavaSE,day06,TestArgsTransfer,main,8,1,1,15,0,day06.TestArgsTransfer,day06.TestArgsTransfer
tsinux_JavaSE,day06,TestArgsTransfer,swap,6,1,2,33,0,,
tsinux_JavaSE,day06,TestArgsTransfer1,main,7,1,1,7,0,day06.TestArgsTransfer1,day06.TestArgsTransfer1
tsinux_JavaSE,day06,TestArgsTransfer1,swap,5,1,1,20,0,,
tsinux_JavaSE,day06,TestCar,main,15,1,1,5,0,,
tsinux_JavaSE,day06,TestPerson,main,5,1,1,15,0,,
tsinux_JavaSE,day06,TestPerson1,main,14,1,1,25,0,,
