Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetRemoteViewsService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetRemoteViewsService.WidgetRemoveViewsFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetRemoteViewsService.WidgetRemoveViewsFactory,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: TAG; mContext; mCursor; mPMap; mSections; mHeaderPositionMap; mBuffer; mFormatter
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetRemoteViewsService.BlocksQuery,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetRemoteViewsService.BlocksQuery,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: PROJECTION; _ID; BLOCK_ID; BLOCK_TITLE; BLOCK_START; BLOCK_END; BLOCK_TYPE; BLOCK_META; NUM_STARRED_SESSIONS; NUM_LIVESTREAMED_SESSIONS; STARRED_SESSION_ID; STARRED_SESSION_TITLE; STARRED_SESSION_ROOM_NAME
wiki-w_google,com.google.android.apps.iosched,Config,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CONFERENCE_YEAR; APP_NAME; API_KEY; EVENT_ID; CONFERENCE_IMAGE_PREFIX_URL; ANNOUNCEMENTS_PLUS_ID; GET_MAP_URL; YOUTUBE_API_KEY; YOUTUBE_SHARE_URL_PREFIX; PRIMARY_LIVESTREAM_CAPTIONS_URL; SECONDARY_LIVESTREAM_CAPTIONS_URL; PRIMARY_LIVESTREAM_TRACK; SECONDARY_LIVESTREAM_TRACK; WIFI_SSID; WIFI_PASSPHRASE; GCM_SERVER_URL; GCM_SENDER_ID; GCM_API_KEY
wiki-w_google,com.google.android.apps.iosched,Config,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: CONFERENCE_YEAR; APP_NAME; API_KEY; EVENT_ID; CONFERENCE_IMAGE_PREFIX_URL; ANNOUNCEMENTS_PLUS_ID; GET_MAP_URL; YOUTUBE_API_KEY; YOUTUBE_SHARE_URL_PREFIX; PRIMARY_LIVESTREAM_CAPTIONS_URL; SECONDARY_LIVESTREAM_CAPTIONS_URL; PRIMARY_LIVESTREAM_TRACK; SECONDARY_LIVESTREAM_TRACK; WIFI_SSID; WIFI_PASSPHRASE; GCM_SERVER_URL; GCM_SENDER_ID; GCM_API_KEY
wiki-w_google,com.google.android.apps.iosched.gcm.command,AnnouncementCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncCommand.SyncData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sync_jitter
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncCommand.SyncData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncUserCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncUserCommand.SyncData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: sync_jitter
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncUserCommand.SyncData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.gcm.command,TestCommand,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.gcm,GCMIntentService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.gcm,GCMRedirectedBroadcastReceiver,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SyncHelper; ScheduleContract; ScheduleDatabase; AccountUtils; AccountActivity; PrefUtils; UIUtils; BitmapCache; ImageLoader; ServerUtilities
wiki-w_google,com.google.android.apps.iosched.io,AnnouncementsFetcher,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.io,BlocksHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.io,FeedbackHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.io,HandlerException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.io,RoomsHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.io,SearchSuggestHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
