Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,getRefreshBroadcastIntent,Long Statement,The length of the statement "return new Intent(REFRESH_ACTION).setComponent(new ComponentName(context`ScheduleWidgetProvider.class)).putExtra(EXTRA_PERFORM_SYNC`performSync);" is 145.,56
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,onUpdate,Long Statement,The length of the statement "final Intent intent=new Intent(context`ScheduleWidgetRemoteViewsService.class).putExtra(AppWidgetManager.EXTRA_APPWIDGET_ID`appWidgetId);" is 137.,84
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,onUpdate,Long Statement,The length of the statement "rv.setTextViewText(android.R.id.empty`context.getResources().getString(isAuthenticated ? R.string.empty_widget_text : R.string.empty_widget_text_signed_out));" is 158.,84
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,onUpdate,Long Statement,The length of the statement "final PendingIntent refreshPendingIntent=PendingIntent.getBroadcast(context`0`getRefreshBroadcastIntent(context`true)`PendingIntent.FLAG_UPDATE_CURRENT);" is 153.,84
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,onUpdate,Long Statement,The length of the statement "final PendingIntent onClickPendingIntent=PendingIntent.getActivity(context`0`onClickIntent`PendingIntent.FLAG_UPDATE_CURRENT);" is 126.,84
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,onUpdate,Long Statement,The length of the statement "final PendingIntent openAppPendingIntent=PendingIntent.getActivity(context`0`openAppIntent`PendingIntent.FLAG_UPDATE_CURRENT);" is 126.,84
wiki-w_google,com.google.android.apps.iosched.gcm.command,AnnouncementCommand,displayNotification,Long Statement,The length of the statement "((NotificationManager)context.getSystemService(Context.NOTIFICATION_SERVICE)).notify(0`new NotificationCompat.Builder(context).setWhen(System.currentTimeMillis()).setSmallIcon(R.drawable.ic_stat_notification).setTicker(message).setContentTitle(context.getString(R.string.app_name)).setContentText(message).setContentIntent(PendingIntent.getActivity(context`0`new Intent(context`HomeActivity.class).setFlags(Intent.FLAG_ACTIVITY_CLEAR_TOP | Intent.FLAG_ACTIVITY_SINGLE_TOP)`0)).setAutoCancel(true).build());" is 506.,39
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncCommand,execute,Long Identifier,The length of the field DEFAULT_TRIGGER_SYNC_MAX_JITTER_MILLIS is 38.,37
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncCommand,scheduleSync,Long Statement,The length of the statement "((AlarmManager)context.getSystemService(Context.ALARM_SERVICE)).set(AlarmManager.RTC`System.currentTimeMillis() + jitterMillis`PendingIntent.getBroadcast(context`0`new Intent(context`TriggerSyncReceiver.class)`PendingIntent.FLAG_CANCEL_CURRENT));" is 246.,60
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncUserCommand,scheduleSync,Long Statement,The length of the statement "((AlarmManager)context.getSystemService(Context.ALARM_SERVICE)).set(AlarmManager.RTC`System.currentTimeMillis() + jitterMillis`PendingIntent.getBroadcast(context`0`new Intent(context`TriggerSyncReceiver.class)`PendingIntent.FLAG_CANCEL_CURRENT));" is 246.,62
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,register,Magic Number,The method contains a magic number: 1000,50
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,register,Magic Number,The method contains a magic number: 2,50
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,post,Magic Number,The method contains a magic number: 200,192
wiki-w_google,com.google.android.apps.iosched.io,AnnouncementsFetcher,fetchAndParse,Long Statement,The length of the statement "Plus plus=new Plus.Builder(httpTransport`jsonFactory`null).setApplicationName(NetUtils.getUserAgent(mContext)).setGoogleClientRequestInitializer(new CommonGoogleClientRequestInitializer(Config.API_KEY)).build();" is 211.,54
wiki-w_google,com.google.android.apps.iosched.io,AnnouncementsFetcher,fetchAndParse,Long Statement,The length of the statement "batch.add(ContentProviderOperation.newDelete(ScheduleContract.addCallerIsSyncAdapterParameter(Announcements.CONTENT_URI)).build());" is 131.,54
wiki-w_google,com.google.android.apps.iosched.io,AnnouncementsFetcher,fetchAndParse,Long Statement,The length of the statement "batch.add(ContentProviderOperation.newInsert(ScheduleContract.addCallerIsSyncAdapterParameter(Announcements.CONTENT_URI)).withValue(SyncColumns.UPDATED`System.currentTimeMillis()).withValue(Announcements.ANNOUNCEMENT_ID`activity.getId()).withValue(Announcements.ANNOUNCEMENT_DATE`activity.getUpdated().getValue()).withValue(Announcements.ANNOUNCEMENT_TITLE`activity.getTitle()).withValue(Announcements.ANNOUNCEMENT_ACTIVITY_JSON`activity.toPrettyString()).withValue(Announcements.ANNOUNCEMENT_URL`activity.getUrl()).build());" is 525.,54
wiki-w_google,com.google.android.apps.iosched.io,AnnouncementsFetcher,fetchAndParse,Magic Number,The method contains a magic number: 100l,54
wiki-w_google,com.google.android.apps.iosched.io,BlocksHandler,parseSlot,Long Statement,The length of the statement "ContentProviderOperation.Builder builder=ContentProviderOperation.newInsert(ScheduleContract.addCallerIsSyncAdapterParameter(Blocks.CONTENT_URI));" is 146.,68
wiki-w_google,com.google.android.apps.iosched.io,FeedbackHandler,uploadNew,Long Statement,The length of the statement "Googledevelopers.Events.Sessions.Feedback feedback=conferenceApi.events().sessions().feedback(Config.EVENT_ID`sessionId`feedbackRequest);" is 137.,46
wiki-w_google,com.google.android.apps.iosched.io,FeedbackHandler,uploadNew,Long Statement,The length of the statement "batch.add(ContentProviderOperation.newDelete(ScheduleContract.addCallerIsSyncAdapterParameter(ScheduleContract.Feedback.CONTENT_URI)).build());" is 143.,46
wiki-w_google,com.google.android.apps.iosched.io,JSONHandler,parseResource,Magic Number,The method contains a magic number: 1024,58
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,parseMarkers,Long Statement,The length of the statement "ContentProviderOperation.Builder builder=ContentProviderOperation.newInsert(ScheduleContract.addCallerIsSyncAdapterParameter(ScheduleContract.MapMarkers.CONTENT_URI));" is 167.,66
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,parseTileOverlays,Long Statement,The length of the statement "ContentProviderOperation.Builder builder=ContentProviderOperation.newInsert(ScheduleContract.addCallerIsSyncAdapterParameter(ScheduleContract.MapTiles.CONTENT_URI));" is 165.,97
wiki-w_google,com.google.android.apps.iosched.io,RoomsHandler,parseRoom,Long Statement,The length of the statement "ContentProviderOperation.Builder builder=ContentProviderOperation.newInsert(ScheduleContract.addCallerIsSyncAdapterParameter(ScheduleContract.Rooms.CONTENT_URI));" is 162.,51
wiki-w_google,com.google.android.apps.iosched.io,SearchSuggestHandler,parse,Long Statement,The length of the statement "batch.add(ContentProviderOperation.newDelete(ScheduleContract.addCallerIsSyncAdapterParameter(ScheduleContract.SearchSuggest.CONTENT_URI)).build());" is 148.,37
wiki-w_google,com.google.android.apps.iosched.io,SearchSuggestHandler,parse,Long Statement,The length of the statement "batch.add(ContentProviderOperation.newInsert(ScheduleContract.addCallerIsSyncAdapterParameter(ScheduleContract.SearchSuggest.CONTENT_URI)).withValue(SearchManager.SUGGEST_COLUMN_TEXT_1`word).build());" is 200.,37
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,fetchAndParse,Complex Conditional,The conditional expression 401 == e.getStatusCode() && e.getDetails() != null && e.getDetails().getMessage() != null && e.getDetails().getMessage().contains("developers.google.com") is complex.,70
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,fetchAndParse,Long Statement,The length of the statement "if (401 == e.getStatusCode() && e.getDetails() != null && e.getDetails().getMessage() != null && e.getDetails().getMessage().contains("developers.google.com")) {" is 161.,70
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,fetchAndParse,Long Statement,The length of the statement "Cursor c=cr.query(ScheduleContract.BASE_CONTENT_URI.buildUpon().appendPath("sessions").appendPath("starred").build()`projection`null`null`null);" is 144.,70
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,fetchAndParse,Magic Number,The method contains a magic number: 9999L,70
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,fetchAndParse,Magic Number,The method contains a magic number: 401,70
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,buildContentProviderOperations,Complex Conditional,The conditional expression !sandboxBlocks.containsKey(blockId) && !blockIds.contains(blockId) && EVENT_TYPE_SANDBOX.equals(sessionSubtype) is complex.,161
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,buildContentProviderOperations,Complex Method,Cyclomatic complexity of the method is 32,161
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,buildContentProviderOperations,Empty catch clause,The method has an empty catch block.,161
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,buildContentProviderOperations,Long Identifier,The length of the field PARSE_FLAG_FORCE_SCHEDULE_REMOVE is 32.,161
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,buildContentProviderOperations,Long Method,The method has 145 lines of code.,161
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,buildContentProviderOperations,Long Statement,The length of the statement "Cursor starredSessionsCursor=mContext.getContentResolver().query(Sessions.CONTENT_STARRED_URI`new String[]{ScheduleContract.Sessions.SESSION_ID}`null`null`null);" is 161.,161
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,buildContentProviderOperations,Long Statement,The length of the statement "batch.add(ContentProviderOperation.newDelete(ScheduleContract.addCallerIsSyncAdapterParameter(Sessions.CONTENT_URI)).build());" is 126.,161
