Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
xinyu-liu_Car-Park-System,carparksystem.controls,AccountControl,viewStaffAccount,4,1,0,17,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,AccountControl,addStaffAccount,4,1,4,28,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,AccountControl,modifyStaffAccount,9,1,5,42,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,EmergencyControl,informAdmin,3,1,0,13,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,checkLeftSpaces,5,2,0,20,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,checkNonworkingday,6,2,0,34,0,carparksystem.controls.InControl,carparksystem.controls.InControl
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,isWeekend,7,2,1,52,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,checkBlankTicket,5,2,0,70,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,checkStaffAccount,5,2,1,84,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,generatePublicNum,5,1,0,99,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,addStaffRecord,5,1,1,111,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,addPublicRecord,7,1,1,122,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,InControl,openBarrier,5,1,0,137,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,OutControl,checkStaffCar,10,3,1,21,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,OutControl,checkTicket,7,3,1,41,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,OutControl,recordStaffExitTime,7,1,1,61,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,OutControl,recordPublicExitTime,6,1,1,75,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,OutControl,calculateHours,7,1,1,88,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,OutControl,calculatePrice,13,5,1,107,0,carparksystem.controls.OutControl,carparksystem.controls.OutControl
xinyu-liu_Car-Park-System,carparksystem.controls,OutControl,addCoins,4,1,1,137,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,OutControl,openBarrier,5,1,0,147,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,ReportControl,viewStaffRecords,4,1,0,20,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,ReportControl,viewPublicRecords,4,1,0,30,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,ReportControl,generateReport,17,5,2,40,0,carparksystem.controls.ReportControl,carparksystem.controls.ReportControl
xinyu-liu_Car-Park-System,carparksystem.controls,ReportControl,toDay,4,1,1,75,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,ReportControl,toMonth,4,1,1,86,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,ReportControl,getIntervalDay,12,1,2,97,0,carparksystem.controls.ReportControl,carparksystem.controls.ReportControl
xinyu-liu_Car-Park-System,carparksystem.controls,ReportControl,setTimeToMidnight,5,1,1,117,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,ReportControl,sendReport,3,1,0,128,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,SettingControl,viewNonworkingday,4,1,0,16,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,SettingControl,addNonworkingday,4,1,1,27,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,SettingControl,delNonworkingday,4,1,1,38,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,SettingControl,setTicketNum,4,1,1,49,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,SettingControl,cleanCionNum,4,1,0,60,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,SettingControl,displaySpaces,4,1,0,69,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,SettingControl,displayLeftBlankTicket,4,1,0,80,0,,
xinyu-liu_Car-Park-System,carparksystem.controls,SettingControl,diaplayLeftCoin,4,1,0,91,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Admin,Admin,16,2,0,23,0,carparksystem.entities.Admin,carparksystem.entities.Admin
xinyu-liu_Car-Park-System,carparksystem.entities,Admin,login,4,2,2,46,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Admin,synchronize,17,1,0,60,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Admin,getUsername,3,1,0,84,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Admin,setUsername,4,1,1,88,0,carparksystem.entities.Admin,carparksystem.entities.Admin
xinyu-liu_Car-Park-System,carparksystem.entities,Admin,getPassword,3,1,0,93,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Admin,setPassword,4,1,1,97,0,carparksystem.entities.Admin,carparksystem.entities.Admin
xinyu-liu_Car-Park-System,carparksystem.entities,DBUtil,DBUtil,17,2,1,23,0,carparksystem.entities.DBUtil,carparksystem.entities.DBUtil
xinyu-liu_Car-Park-System,carparksystem.entities,DBUtil,insert,8,1,1,44,0,carparksystem.entities.DBUtil,carparksystem.entities.DBUtil
xinyu-liu_Car-Park-System,carparksystem.entities,DBUtil,update,13,2,1,61,0,carparksystem.entities.DBUtil,carparksystem.entities.DBUtil
xinyu-liu_Car-Park-System,carparksystem.entities,DBUtil,get,10,3,2,79,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,DBUtil,query,9,3,2,99,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,DBUtil,getAll,3,1,0,118,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,DBUtil,fileReader,26,4,0,127,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,DBUtil,fileWriter,27,5,1,162,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Nonworkingdays,Nonworkingdays,28,4,0,26,0,carparksystem.entities.Nonworkingdays,carparksystem.entities.Nonworkingdays
xinyu-liu_Car-Park-System,carparksystem.entities,Nonworkingdays,synchronize,18,2,0,60,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Nonworkingdays,isNonworkingday,12,3,1,86,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Nonworkingdays,addNonworkingday,4,1,1,112,0,carparksystem.entities.Nonworkingdays,carparksystem.entities.Nonworkingdays
xinyu-liu_Car-Park-System,carparksystem.entities,Nonworkingdays,delNonworkingday,7,3,1,122,0,carparksystem.entities.Nonworkingdays,carparksystem.entities.Nonworkingdays
xinyu-liu_Car-Park-System,carparksystem.entities,Nonworkingdays,getNonworkingdaylist,3,1,0,136,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,ParkStatus,ParkStatus,17,2,0,24,0,carparksystem.entities.ParkStatus,carparksystem.entities.ParkStatus
xinyu-liu_Car-Park-System,carparksystem.entities,ParkStatus,synchronize,18,1,0,48,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,ParkStatus,getTicketNum,3,1,0,73,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,ParkStatus,setTicketNum,4,1,1,77,0,carparksystem.entities.ParkStatus,carparksystem.entities.ParkStatus
xinyu-liu_Car-Park-System,carparksystem.entities,ParkStatus,getCoinNum,3,1,0,82,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,ParkStatus,setCoinNum,4,1,1,86,0,carparksystem.entities.ParkStatus,carparksystem.entities.ParkStatus
xinyu-liu_Car-Park-System,carparksystem.entities,ParkStatus,getSpaceNum,3,1,0,91,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,ParkStatus,setSpaceNum,4,1,1,95,0,carparksystem.entities.ParkStatus,carparksystem.entities.ParkStatus
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,create,8,1,2,22,0,carparksystem.entities.PublicRecord,carparksystem.entities.PublicRecord
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,getByPublicNum,4,1,1,40,0,carparksystem.entities.PublicRecord,carparksystem.entities.PublicRecord
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,getAll,9,2,0,51,0,carparksystem.entities.PublicRecord,carparksystem.entities.PublicRecord
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,store,4,1,1,68,0,carparksystem.entities.PublicRecord,carparksystem.entities.PublicRecord
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,store,4,1,1,78,0,carparksystem.entities.PublicRecord,carparksystem.entities.PublicRecord
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,toPublicRecord,10,3,1,87,0,carparksystem.entities.PublicRecord,carparksystem.entities.PublicRecord
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,toStrings,10,2,1,108,0,carparksystem.entities.PublicRecord,carparksystem.entities.PublicRecord
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,toString,3,1,0,132,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,getPublicNum,3,1,0,139,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,PublicRecord,setPublicNum,3,1,1,143,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,stringToTime,11,1,1,21,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,timeToString,4,1,1,39,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,getId,3,1,0,51,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,setId,3,1,1,55,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,getEnterTime,3,1,0,59,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,setEnterTime,3,1,1,63,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,getDepartTime,3,1,0,67,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,setDepartTime,3,1,1,71,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,getPayment,3,1,0,75,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,Record,setPayment,3,1,1,79,0,,
xinyu-liu_Car-Park-System,carparksystem.entities,StaffAccount,create,10,1,4,24,0,carparksystem.entities.StaffAccount,carparksystem.entities.StaffAccount
xinyu-liu_Car-Park-System,carparksystem.entities,StaffAccount,modify,3,1,0,45,0,carparksystem.entities.StaffAccount,carparksystem.entities.StaffAccount
xinyu-liu_Car-Park-System,carparksystem.entities,StaffAccount,getByCampusCard,3,1,1,52,0,carparksystem.entities.StaffAccount,carparksystem.entities.StaffAccount
xinyu-liu_Car-Park-System,carparksystem.entities,StaffAccount,getAll,8,2,0,63,0,carparksystem.entities.StaffAccount,carparksystem.entities.StaffAccount
xinyu-liu_Car-Park-System,carparksystem.entities,StaffAccount,toStaffAccount,10,2,1,79,0,carparksystem.entities.StaffAccount,carparksystem.entities.StaffAccount
