Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
yangqing0314_CircelProgressTime,com.yq.circlepress,BuildConfig,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: DEBUG
yangqing0314_CircelProgressTime,com.yq.circlepress,BuildConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
yangqing0314_CircelProgressTime,com.yq.circlepress,BuildConfig,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEBUG
yangqing0314_CircelProgressTime,com.yq.circlepress,R,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: max; roundColor; roundProgressColor; roundProgressWidth; roundWidth; style; textColor; textIsDisplayable; textSize; activity_horizontal_margin; activity_vertical_margin; ic_launcher; FILL; STROKE; iv_progress; activity_main; action_settings; app_name; hello_world; RoundProgressBar; RoundProgressBar_max; RoundProgressBar_roundColor; RoundProgressBar_roundProgressColor; RoundProgressBar_roundProgressWidth; RoundProgressBar_roundWidth; RoundProgressBar_style; RoundProgressBar_textColor; RoundProgressBar_textIsDisplayable; RoundProgressBar_textSize
yangqing0314_CircelProgressTime,com.yq.circlepress,R,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: max; roundColor; roundProgressColor; roundProgressWidth; roundWidth; style; textColor; textIsDisplayable; textSize; activity_horizontal_margin; activity_vertical_margin; ic_launcher; FILL; STROKE; iv_progress; activity_main; action_settings; app_name; hello_world; RoundProgressBar; RoundProgressBar_max; RoundProgressBar_roundColor; RoundProgressBar_roundProgressColor; RoundProgressBar_roundProgressWidth; RoundProgressBar_roundWidth; RoundProgressBar_style; RoundProgressBar_textColor; RoundProgressBar_textIsDisplayable; RoundProgressBar_textSize
yangqing0314_CircelProgressTime,com.yq.circlepress,R.attr,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
yangqing0314_CircelProgressTime,com.yq.circlepress,R.attr,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: max; roundColor; roundProgressColor; roundProgressWidth; roundWidth; style; textColor; textIsDisplayable; textSize
yangqing0314_CircelProgressTime,com.yq.circlepress,R.attr,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: max; roundColor; roundProgressColor; roundProgressWidth; roundWidth; style; textColor; textIsDisplayable; textSize
yangqing0314_CircelProgressTime,com.yq.circlepress,R.dimen,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: activity_horizontal_margin; activity_vertical_margin
yangqing0314_CircelProgressTime,com.yq.circlepress,R.dimen,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
yangqing0314_CircelProgressTime,com.yq.circlepress,R.dimen,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activity_horizontal_margin; activity_vertical_margin
yangqing0314_CircelProgressTime,com.yq.circlepress,R.drawable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ic_launcher
yangqing0314_CircelProgressTime,com.yq.circlepress,R.drawable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
yangqing0314_CircelProgressTime,com.yq.circlepress,R.drawable,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ic_launcher
yangqing0314_CircelProgressTime,com.yq.circlepress,R.id,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: FILL; STROKE; iv_progress
