Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
yangqing0314_CircelProgressTime,com.yq.circlepress,MainActivity,onCreate,Magic Number,The method contains a magic number: 5,10
yangqing0314_CircelProgressTime,com.yq.circlepress,MainActivity,onCreate,Magic Number,The method contains a magic number: 1000,10
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,RoundProgressBar,Magic Number,The method contains a magic number: 15,98
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,RoundProgressBar,Magic Number,The method contains a magic number: 5,98
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,RoundProgressBar,Magic Number,The method contains a magic number: 5,98
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,RoundProgressBar,Magic Number,The method contains a magic number: 100,98
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,startTimer,Magic Number,The method contains a magic number: 1000,129
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,startTimer,Magic Number,The method contains a magic number: 1000,129
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,startTimer,Magic Number,The method contains a magic number: 1000,129
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,run,Magic Number,The method contains a magic number: 1000,137
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,run,Magic Number,The method contains a magic number: 1000,137
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,run,Magic Number,The method contains a magic number: 1000,137
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,onDraw,Magic Number,The method contains a magic number: 2,168
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,onDraw,Magic Number,The method contains a magic number: 2,168
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,onDraw,Magic Number,The method contains a magic number: 2,168
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,onDraw,Magic Number,The method contains a magic number: 2,168
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,onDraw,Magic Number,The method contains a magic number: 90,168
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,onDraw,Magic Number,The method contains a magic number: 360,168
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,onDraw,Magic Number,The method contains a magic number: 360,168
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 24,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 24,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
yangqing0314_CircelProgressTime,com.yq.circlepress,RoundProgressBar,dealTime,Magic Number,The method contains a magic number: 60,233
